,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,999,20.266307433107233,38.0596353367806,-0.020781079034387417,0.13573646545410156,0.056967973709106445,0.8700294494628906,15,2,13,13,0,3,1000.0
1,1999,20.858342919624704,42.86841538423336,-0.004131195579389901,0.29430365562438965,0.12596559524536133,1.2714271545410156,27,6,21,21,0,4,2000.0
2,2999,20.0084083185518,39.70422854723188,-0.005857686166930387,0.4082012176513672,0.18544936180114746,2.4262313842773438,31,6,25,25,0,4,3000.0
3,3999,20.303290045178198,44.84057439657988,-0.008072309601300454,0.536952018737793,0.24363327026367188,3.128002166748047,43,8,35,35,0,5,4000.0
4,4999,19.897116457545906,42.332911188404125,-0.008459955603941527,0.7411313056945801,0.3061201572418213,3.5353775024414062,52,11,41,41,0,5,5000.0
5,5999,19.54950852981562,40.85308422240252,-0.007373710715300019,0.913449764251709,0.37764668464660645,3.7372589111328125,58,14,44,44,0,6,6000.0
6,6999,19.47145960492341,39.73541413269695,-0.005239646411926646,1.0609748363494873,0.4393794536590576,4.142177581787109,64,17,47,47,0,6,7000.0
7,7999,19.614324670640833,39.168028307760665,-0.002676435518572662,1.2233366966247559,0.5080442428588867,4.273040771484375,74,20,54,54,0,6,8000.0
8,8999,19.986669150766858,39.39913927141959,-0.002623357252328651,1.382610559463501,0.5696260929107666,4.313556671142578,91,24,67,67,0,7,9000.0
9,9999,20.560001987282792,40.06628922150856,0.00024967422443500364,1.5209052562713623,0.6318318843841553,4.868804931640625,95,26,69,69,0,7,10000.0
10,10999,20.77263367323039,39.80156100896059,0.002198244640319258,1.6702542304992676,0.6954853534698486,5.2539825439453125,114,29,85,85,0,7,11000.0
11,11999,20.922618645138726,39.49288090148949,0.006123782141123302,1.8062129020690918,0.7570998668670654,6.035923004150391,118,30,88,88,0,7,12000.0
12,12999,21.49112823775492,40.81076575751193,0.0095320568680618,1.9620952606201172,0.8208603858947754,6.22088623046875,131,34,97,97,0,7,13000.0
13,13999,22.088175761205935,41.353881368076195,0.014754277313173914,2.0862984657287598,0.8830475807189941,6.875785827636719,131,34,97,97,0,7,14000.0
14,14999,22.633662922755786,41.80794141090178,0.0184728315546705,2.299499034881592,0.9460468292236328,7.137477874755859,136,36,100,100,0,7,15000.0
15,15999,22.888226980428446,41.729571426008285,0.020719912733635715,2.4346539974212646,1.009359359741211,7.439525604248047,142,38,104,104,0,7,16000.0
16,16999,23.280776777284228,42.20526888640593,0.022832757313889784,2.581923723220825,1.0716357231140137,7.746150970458984,146,40,106,106,0,7,17000.0
17,17999,23.56170692598351,42.15727595061227,0.02335038984043758,2.7040231227874756,1.1339213848114014,8.299571990966797,147,40,107,107,0,7,18000.0
18,18999,23.60837876351947,41.8403572847749,0.022331843778966798,2.8431448936462402,1.1951138973236084,8.499710083007812,170,43,127,127,0,8,19000.0
19,19999,23.474716075052672,41.475795754376485,0.021042535533020268,3.008850574493408,1.2585229873657227,10.041702270507812,215,47,168,168,0,8,20000.0
20,20999,23.123800085604287,41.07996207550748,0.022653140223807156,3.14418888092041,1.3206865787506104,11.024349212646484,225,48,177,177,0,8,21000.0
21,21999,22.76473400649014,40.517943951468894,0.024916245862033226,3.2692580223083496,1.3830552101135254,12.127201080322266,233,48,185,185,0,8,22000.0
22,22999,22.523145118274158,40.24370803430744,0.02468077517116052,3.394975185394287,1.445552110671997,13.18951416015625,241,48,193,193,0,8,23000.0
23,23999,22.28045605843562,39.72180185220442,0.026046074170539946,3.6098055839538574,1.507660150527954,14.028549194335938,251,49,202,202,0,8,24000.0
24,24999,22.06260903825195,39.27978417489966,0.026582314110524585,3.7564916610717773,1.569173812866211,14.592208862304688,251,49,202,202,0,8,25000.0
25,25999,21.90864922183353,38.95505724985503,0.025916548302398423,3.8862802982330322,1.6314969062805176,15.58868408203125,259,49,210,210,0,8,26000.0
26,26999,21.791059613535573,38.60792479363454,0.025309871694167763,4.0162811279296875,1.6935391426086426,16.44690704345703,269,50,219,219,0,8,27000.0
27,27999,21.665589948169835,38.313845328589636,0.024939016326965713,4.141014814376831,1.7554643154144287,16.827594757080078,271,51,220,220,0,8,28000.0
28,28999,21.602661492763396,38.19277975190412,0.023722460433974413,4.298007488250732,1.8174519538879395,17.70181655883789,281,52,229,229,0,8,29000.0
29,29999,21.529575824413335,37.92443244503868,0.022859360294471665,4.441257476806641,1.8790051937103271,18.3060302734375,287,53,234,234,0,8,30000.0
30,30999,21.51704593717509,38.07713678879231,0.021421091691747773,4.576009273529053,1.9408783912658691,18.7608642578125,297,54,243,243,0,8,31000.0
31,31999,21.454199061121415,37.82456057988069,0.02100657023197694,4.709468364715576,2.0026369094848633,19.628555297851562,303,54,249,249,0,8,32000.0
32,32999,21.433867472344993,37.70749828569113,0.020405135736097257,4.84748101234436,2.065000295639038,20.24197769165039,306,54,252,252,0,8,33000.0
33,33999,21.396047138946685,37.546452221480294,0.019570568383966314,4.996461868286133,2.1262834072113037,20.659576416015625,332,56,276,276,0,8,34000.0
34,34999,21.37200405102449,37.430666772885886,0.018623272929772505,5.24413275718689,2.189424514770508,21.50531768798828,337,56,281,281,0,8,35000.0
35,35999,21.383876372357644,37.30370449710829,0.018350902726538276,5.384895086288452,2.251236915588379,21.737998962402344,341,58,283,283,0,8,36000.0
36,36999,21.358172542159448,37.15331091982123,0.01756864244404155,5.522391080856323,2.3133764266967773,22.26761245727539,360,59,301,301,0,8,37000.0
37,37999,21.33308288591617,36.96784056141713,0.017023783982355378,5.674271106719971,2.375361919403076,22.513099670410156,362,60,302,302,0,8,38000.0
38,38999,21.31590438413081,36.80037986383545,0.016601178742969513,5.82758641242981,2.438699722290039,22.912460327148438,368,62,306,306,0,8,39000.0
