n_samples,time,memory,MAE,RMSE,R2
100,0.036733800000000004,0.387017578125,3.0104885999999995,3.9312334,-0.14994259999999998
200,0.1625494,0.647087890625,2.9976127999999997,3.8593786000000003,-0.07711699999999999
300,0.2037804,1.0079999999999998,2.9431795999999997,3.7846694,-0.0526142
400,0.3865624,1.1519999999999997,2.9430424,3.783441,-0.0395756
500,0.4389716,1.512,2.9349560000000006,3.7510348000000002,-0.032453
600,0.6817086,1.6620000000000001,2.9431802,3.7591414,-0.027204600000000002
700,0.7479005999999999,2.0239999999999996,2.9236054,3.7476570000000002,-0.0236502
800,1.0497612,2.132,2.9461488000000005,3.7624656,-0.020582999999999997
900,1.1279308000000001,2.496,2.9415798,3.7545366000000002,-0.0184924
1000,1.4693918,2.652,2.9757094000000004,3.8027082,-0.0162076
1100,1.5597982,3.014,3.0103792,3.8582853999999998,-0.0144202
1200,1.9620404,3.17,3.0406212000000004,3.9097880000000003,-0.012917600000000001
1300,2.0656011999999997,3.5340000000000003,3.0674042,3.9535221999999997,-0.011796200000000001
1400,2.524477,3.678,3.0676076,3.950199,-0.011028399999999999
1500,2.6409776000000003,4.044,3.0734205999999995,3.9396584,-0.0103636
1600,3.1409498,3.39883203125,3.058789,3.9059766,-0.009921799999999998
1700,3.250267,3.7606406250000006,3.0326606,3.8624374,-0.0091352
1800,3.7033414000000002,2.066568359375,2.985869,3.8059421999999996,-0.0100934
1900,3.7782055999999997,2.433369140625,2.9381344,3.7480888,-0.009687600000000001
2000,4.080245,1.423142578125,2.8931902,3.693682,-0.009188600000000002
2100,4.16688,1.6947500000000002,2.8446584,3.6384514,-0.0131376
2200,4.360995,1.8831367187499999,2.7995928,3.5862665999999996,-0.014935600000000002
2300,4.457469999999999,2.1340000000000003,2.751163,3.5340066000000006,-0.0115164
2400,4.684812599999999,2.2960000000000003,2.7197071999999998,3.5024971999999996,0.0010588
2500,4.8344916,2.39,2.7187267999999998,3.5091276000000002,0.0161788
2600,5.0429623999999995,1.26683203125,2.7218774,3.5151792,0.028187800000000002
2700,5.1232974,1.568544921875,2.7071236,3.4968874,0.038768399999999995
2800,5.259863600000001,1.4065742187499999,2.6794934,3.4659660000000003,0.044535399999999996
2900,5.387575200000001,1.434,2.6371355999999997,3.4246737999999994,0.0507428
3000,5.488123799999999,1.540748046875,2.5933384,3.3813808,0.053966400000000005
3100,5.565244999999999,1.8699999999999999,2.559328,3.345075,0.0592908
3200,5.6794134,2.0460000000000003,2.5507852,3.332862,0.0646852
3300,5.824116,2.1019999999999994,2.5595027999999997,3.34478,0.0692718
3400,5.9725074000000005,2.346,2.5404314,3.325031,0.07442520000000001
3500,6.0898752,2.438,2.514281,3.2968263999999996,0.07962899999999999
3600,6.247075,2.722,2.4845902000000004,3.2657186000000005,0.0821788
3700,6.3776952,2.8220000000000005,2.4726276,3.2524718,0.08632500000000001
3800,6.532006999999998,3.076,2.4602905999999996,3.2393730000000005,0.08975960000000001
3900,6.7450096,3.072,2.4355756,3.2146756000000005,0.0924354
4000,6.864048199999999,3.22,2.4345542,3.2149842,0.0985828
4100,7.0675951999999995,3.3080000000000007,2.4323697999999996,3.2134271999999995,0.105575
4200,7.2299038,3.5660000000000003,2.4141854,3.1928842,0.11226379999999998
4300,7.482764399999999,3.4899999999999998,2.3941285999999997,3.1718959999999994,0.11652740000000002
4400,7.622099399999999,3.5119999999999996,2.373826,3.1536368,0.12013699999999998
4500,7.8008304,3.684,2.3711612000000004,3.153409,0.12472799999999999
4600,8.025964400000001,3.7999999999999994,2.3574154,3.1382483999999997,0.1282876
4700,8.1673734,4.05,2.3462325999999996,3.1270246,0.1313136
4800,8.3979968,4.303999999999999,2.3353146,3.1136548000000004,0.13272560000000003
4900,8.6048688,4.618,2.3239448000000005,3.1000659999999995,0.1351212
