n_samples,time,memory,MAE,RMSE,R2
100,0.064987,0.209955078125,0.00012480000000000002,0.00016619999999999997,-0.4517432
200,0.1305858,0.19708203124999998,0.0001234,0.00016,-0.2065672
300,0.19099539999999998,0.284630859375,0.000126,0.0001616,-0.14043419999999998
400,0.2565875999999999,0.15181445312499997,0.0001302,0.000165,-0.10278179999999999
500,0.31672360000000005,0.33433203125000005,0.00013360000000000002,0.00016800000000000002,-0.11111520000000001
600,0.3801956,0.41347265625,0.000155,0.000225,-0.068877
700,0.4524808,0.49126171875,0.0001902,0.0002926,-0.020876799999999997
800,0.5195795999999999,0.560353515625,0.0002076,0.00031439999999999994,-0.0096848
900,0.6020356,0.55193359375,0.00021559999999999998,0.0003192,-0.0061818
1000,0.67662,0.500521484375,0.0002172,0.0003146,0.0094888
1100,0.7430534,0.5943085937499999,0.00021599999999999996,0.0003104,0.028864800000000003
1200,0.81884,0.63704296875,0.0002222,0.00031759999999999997,0.016408
1300,0.890015,0.7337578125,0.0002256,0.00031939999999999996,0.0041018
1400,0.9631231999999998,0.777119140625,0.00022720000000000002,0.0003188,-0.0018870000000000002
1500,1.0457074,0.79969921875,0.00023499999999999997,0.0003318,0.0058724
1600,1.1215942,0.8742929687500001,0.00024380000000000002,0.00034520000000000004,0.0326672
1700,1.1986294000000002,0.9780488281249999,0.00025,0.0003532,0.0536114
1800,1.2761628000000003,1.03702734375,0.000252,0.00035520000000000007,0.0589816
1900,1.3565628,1.11105078125,0.0002544,0.00036020000000000003,0.061885
2000,1.438569,1.1647519531250001,0.0002608,0.0003690000000000001,0.06733639999999999
2100,1.52439,1.19305078125,0.0002632,0.00037240000000000005,0.068898
2200,1.6085304,1.207439453125,0.0002636,0.00037200000000000004,0.06876960000000001
2300,1.6984122,1.24308203125,0.0002712,0.0003866,0.0954214
2400,1.7892926,1.2543417968750001,0.000272,0.000388,0.1112064
2500,1.8792054,1.25934375,0.00026900000000000003,0.0003842,0.1181886
2600,1.9695632,1.2036992187500002,0.00026479999999999993,0.0003792,0.12736920000000002
2700,2.0543478,1.23001171875,0.00026060000000000005,0.00037440000000000005,0.1356638
2800,2.1396246,1.25341796875,0.0002564,0.0003698,0.1451484
2900,2.2278588,1.282,0.0002546,0.0003656,0.15905339999999998
3000,2.3135046000000004,1.3039999999999998,0.0002528,0.00036179999999999996,0.172379
3100,2.400941,1.3319999999999999,0.00025159999999999994,0.00035880000000000005,0.1758756
3200,2.4902504,1.35,0.0002506,0.0003566,0.1750716
3300,2.5762998,1.364,0.0002504,0.0003548,0.1714964
3400,2.6647086,1.378,0.0002536,0.0003584,0.1783212
3500,2.7515034000000003,1.386,0.00025499999999999996,0.0003598,0.1909302
3600,2.8444044,1.388,0.000254,0.00035820000000000003,0.2022086
3700,2.9337086,1.402,0.00025180000000000005,0.00035539999999999997,0.2084482
3800,3.0236744,1.466,0.0002544,0.000362,0.20339999999999997
3900,3.1245138,1.474,0.00025580000000000004,0.0003656,0.1995882
4000,3.2199528,1.5100000000000002,0.0002542,0.00036500000000000004,0.202182
4100,3.3285784,1.556,0.0002544,0.0003676,0.211347
4200,3.4204038000000003,1.5779999999999998,0.00025699999999999996,0.00037180000000000004,0.22685899999999998
4300,3.5139682,1.586,0.0002574,0.0003718,0.238481
4400,3.6067308,1.5979999999999999,0.0002572,0.0003708,0.24687260000000003
4500,3.7017012,1.614,0.00025640000000000005,0.00036899999999999997,0.2496406
4600,3.7962004,1.616,0.00025660000000000006,0.00036940000000000003,0.24757220000000002
4700,3.8955116000000003,1.6179999999999999,0.00025560000000000003,0.0003684,0.24632139999999997
4800,3.9919836,1.638,0.0002536,0.0003666,0.2447742
4900,4.0903434,1.672,0.0002516,0.000364,0.24523780000000003
5000,4.1902604,1.6800000000000002,0.000249,0.000361,0.24773079999999997
5100,4.2872074,1.6960000000000002,0.0002468,0.00035820000000000003,0.2541004
5200,4.3892166,1.698,0.0002458,0.00035580000000000003,0.26098180000000004
5300,4.487116,1.7100000000000002,0.00024460000000000004,0.0003538,0.26350100000000004
5400,4.5896144,1.716,0.0002428,0.0003516,0.2677602
5500,4.688781999999999,1.722,0.00024099999999999998,0.000349,0.27292140000000004
5600,4.7877568,1.73,0.0002398,0.0003472,0.27802720000000003
5700,4.8857492,1.734,0.00023940000000000002,0.0003464,0.28061379999999997
5800,4.983936,1.736,0.0002384,0.00034480000000000003,0.28493080000000004
5900,5.0822634,1.734,0.0002372,0.00034260000000000003,0.2897486
6000,5.1864242,1.7440000000000002,0.0002376,0.00034399999999999996,0.2946982
6100,5.2874394,1.746,0.00023920000000000001,0.0003458,0.29840479999999997
6200,5.3860596,1.7560000000000002,0.0002402,0.0003462,0.2992494
6300,5.4900596,1.7560000000000002,0.00024000000000000003,0.00034600000000000006,0.2998464
6400,5.5898328,1.7600000000000002,0.00023920000000000001,0.0003446,0.2986526
6500,5.688364,1.762,0.00023920000000000001,0.0003446,0.2995436
6600,5.7899472,1.766,0.00023960000000000002,0.0003444,0.301443
6700,5.8915798,1.7740000000000002,0.0002408,0.00034520000000000004,0.3046788
6800,5.9935491999999995,1.782,0.00024260000000000002,0.000347,0.3046974
6900,6.0954596,1.786,0.00024260000000000002,0.0003468,0.3038784
7000,6.1978916,1.7920000000000003,0.0002418,0.00034540000000000005,0.304425
7100,6.296126800000001,1.794,0.00024059999999999997,0.00034420000000000007,0.3076872
7200,6.3944794,1.796,0.0002404,0.0003438,0.3118382
7300,6.499836999999999,1.7899999999999998,0.00024119999999999995,0.0003444,0.316083
7400,6.6027258,1.81,0.0002418,0.000347,0.3189114
7500,6.705483799999999,1.818,0.0002432,0.0003494,0.325597
7600,6.807884999999999,1.8200000000000003,0.0002432,0.0003498,0.328199
7700,6.910612,1.802,0.0002432,0.0003496,0.3283222
7800,7.0140174,1.8539999999999999,0.00024279999999999997,0.0003486,0.32702259999999994
7900,7.116981,1.888,0.0002418,0.0003476,0.3265788
8000,7.221963,1.8559999999999999,0.00024139999999999999,0.00034659999999999997,0.3248356
8100,7.324671,1.884,0.00024079999999999994,0.00034560000000000005,0.3238944
8200,7.4274936,1.908,0.00024019999999999996,0.00034419999999999996,0.3232688
8300,7.531211999999999,1.92,0.00023959999999999997,0.00034340000000000005,0.3226294
8400,7.6381597999999995,1.886,0.00023920000000000001,0.0003424,0.32161
8500,7.744096600000001,1.85,0.00023880000000000003,0.00034159999999999995,0.3210834
8600,7.8463178,1.902,0.00023920000000000001,0.0003418,0.318839
8700,7.953554399999999,1.918,0.00023920000000000001,0.0003422,0.31806159999999994
8800,8.0603568,1.9439999999999997,0.000239,0.0003412,0.3199444
8900,8.166144200000002,1.95,0.0002386,0.00033999999999999997,0.32327859999999997
9000,8.2737098,1.918,0.0002376,0.000339,0.32749740000000005
9100,8.3796978,1.95,0.00023779999999999998,0.00033880000000000005,0.3308134
9200,8.483424600000001,1.988,0.0002376,0.0003386,0.332658
9300,8.6042008,2.036,0.00023700000000000001,0.00033759999999999997,0.3348858
9400,8.7138294,2.0559999999999996,0.0002362,0.0003366,0.337619
9500,8.8194096,2.0740000000000003,0.00023520000000000002,0.00033499999999999996,0.3404062
9600,8.9302132,2.05,0.00023420000000000003,0.000334,0.34340859999999995
9700,9.038455599999999,2.068,0.00023360000000000004,0.000333,0.3440752
9800,9.146120200000002,2.084,0.000233,0.000332,0.34374499999999997
9900,9.255875000000001,2.0959999999999996,0.00023280000000000002,0.00033120000000000003,0.34263959999999993
10000,9.3623234,2.09,0.00023219999999999998,0.0003304,0.3420686
