n_samples,time,memory,MAE,RMSE,R2
100,0.0713464,0.82202734375,0.00012480000000000002,0.00016619999999999997,-0.4517432
200,0.1850404,0.8419921875,0.0001234,0.00016,-0.2065672
300,0.2624812,1.218,0.0001252,0.0001606,-0.1281384
400,0.38042940000000003,0.855984375,0.0001294,0.000164,-0.09013220000000001
500,0.48421539999999996,1.28261328125,0.00013120000000000002,0.000165,-0.0723828
600,0.5964942,1.5559999999999998,0.000152,0.0002222,-0.039897
700,0.6977728000000001,1.9619999999999997,0.000187,0.00028900000000000003,0.004596800000000001
800,0.8405644000000001,1.828,0.00020380000000000002,0.0003098,0.0197712
900,0.9639635999999999,1.666,0.00021099999999999998,0.0003142,0.0259092
1000,1.0837744,1.874,0.00021419999999999998,0.0003104,0.035897000000000005
1100,1.1848064,2.0460000000000003,0.0002168,0.000308,0.042149599999999995
1200,1.3320585999999999,2.186,0.00022260000000000002,0.0003134,0.0408788
1300,1.4633450000000001,2.0759999999999996,0.0002242,0.00031340000000000003,0.041326
1400,1.6017356,2.3280000000000003,0.00022439999999999998,0.00031099999999999997,0.0449762
1500,1.7152944,2.554,0.00023140000000000001,0.0003242,0.05174259999999999
1600,1.8928146,2.718,0.00024060000000000002,0.00033879999999999994,0.0679336
1700,2.016072,2.896,0.0002478,0.0003482,0.08012140000000001
1800,2.1815276,3.1060000000000003,0.0002504,0.00035079999999999996,0.08042780000000001
1900,2.3148164,3.2939999999999996,0.000252,0.0003562,0.08199320000000002
2000,2.5059671999999997,3.344,0.0002578,0.00036560000000000005,0.0841952
2100,2.6632834,3.478,0.00026,0.00036819999999999995,0.08760659999999998
2200,2.8570210000000005,3.5700000000000003,0.0002594,0.00036799999999999995,0.0892586
2300,3.0147357999999995,3.5300000000000002,0.0002692,0.0003864,0.09585999999999999
2400,3.2080238000000003,3.604,0.0002712,0.00039000000000000005,0.1002466
2500,3.3536586,3.774,0.00026999999999999995,0.0003872,0.10359720000000001
2600,3.557892,3.72,0.0002674,0.0003834,0.10727
2700,3.7173234,3.572,0.00026460000000000003,0.0003796,0.11125579999999999
2800,3.8950015999999996,3.65,0.0002632,0.0003759999999999999,0.1153764
2900,4.045787,3.7659999999999996,0.0002632,0.00037339999999999997,0.12163600000000001
3000,4.227218000000001,3.85,0.0002636,0.000371,0.12746719999999997
3100,4.4039628,3.976,0.00026300000000000005,0.0003686,0.1296488
3200,4.586791,4.048,0.0002614,0.00036560000000000005,0.13113160000000001
3300,4.750264400000001,4.112,0.00025979999999999997,0.00036260000000000003,0.13192379999999998
3400,4.950608,3.355984375,0.0002632,0.00036760000000000004,0.134219
3500,5.1196247999999995,3.8019999999999996,0.00026579999999999996,0.0003698,0.1419114
3600,5.281594800000001,3.97,0.000266,0.00036960000000000004,0.148087
3700,5.450704,4.064,0.00026419999999999997,0.0003668,0.15275339999999998
3800,5.6235712,4.252000000000001,0.0002668,0.0003742,0.1454444
3900,5.7862186,4.564,0.00026880000000000003,0.0003784,0.14051940000000002
4000,5.9788274,4.494,0.0002678,0.00037779999999999997,0.1416046
4100,6.1666066,4.506,0.00026900000000000003,0.000382,0.1459188
4200,6.376083599999999,4.236,0.0002724,0.0003876,0.156125
4300,6.5849434,4.459999999999999,0.00027319999999999997,0.00038780000000000005,0.1691686
4400,6.761483199999999,4.552,0.0002732,0.00038679999999999997,0.17732479999999998
4500,6.954301200000001,4.406000000000001,0.000272,0.00038520000000000004,0.17933819999999998
4600,7.1302678,4.5440000000000005,0.0002728,0.000387,0.1732204
4700,7.3187724,4.766,0.00027259999999999996,0.000386,0.16981480000000002
4800,7.4991972,4.917999999999999,0.00027079999999999997,0.00038419999999999996,0.1674318
4900,7.681594199999999,5.116,0.00026859999999999997,0.00038140000000000005,0.167819
5000,7.8830802,5.174,0.000266,0.00037859999999999993,0.1702242
5100,8.0711516,5.246,0.0002638,0.00037559999999999997,0.17775819999999998
5200,8.2776616,5.392,0.0002618,0.0003732,0.1863662
5300,8.4696344,5.6259999999999994,0.0002604,0.0003706,0.18904459999999998
5400,8.678396000000001,5.616,0.0002582,0.00036819999999999995,0.19439120000000001
5500,8.903257400000001,5.712,0.0002562,0.0003656,0.20049419999999998
5600,9.130742999999999,5.928,0.0002546,0.00036379999999999995,0.20606460000000001
5700,9.342923199999998,6.166,0.0002544,0.00036299999999999993,0.2087818
5800,9.555892599999998,6.298,0.0002532,0.0003608,0.213746
5900,9.7803936,6.298,0.00025100000000000003,0.0003588,0.2201572
6000,9.999734400000001,6.358,0.00025100000000000003,0.0003596,0.22647219999999998
6100,10.241049,6.508,0.0002526,0.0003616,0.23152660000000003
6200,10.499094,6.279999999999999,0.00025340000000000003,0.0003622,0.23239360000000003
6300,10.7131144,6.606,0.00025299999999999997,0.0003616,0.23342079999999998
6400,10.950337999999999,6.593999999999999,0.0002522,0.00036020000000000003,0.23283399999999999
6500,11.195216599999998,6.772,0.000252,0.0003598,0.2346042
6600,11.4410606,6.952,0.000252,0.000359,0.2379222
6700,11.6853856,7.109999999999999,0.0002526,0.00035979999999999996,0.24270160000000002
6800,11.9572232,7.109999999999999,0.0002542,0.0003612,0.24557800000000002
6900,12.200731600000001,7.462000000000001,0.000254,0.00036020000000000003,0.24641539999999998
7000,12.4576152,7.636,0.0002528,0.00035899999999999994,0.24744760000000002
7100,12.720064,7.726000000000001,0.0002512,0.00035720000000000006,0.2524088
7200,12.988268,7.715999999999999,0.00025100000000000003,0.0003566,0.259188
7300,13.280415600000001,7.897999999999999,0.00025140000000000004,0.0003568,0.2644146
7400,13.554942799999997,8.052000000000001,0.0002516,0.0003586,0.27022779999999996
7500,13.8149588,8.18,0.0002526,0.0003606,0.28065900000000005
7600,14.1036698,8.334,0.0002526,0.00036060000000000004,0.2848978
7700,14.3714074,8.518,0.0002524,0.00036020000000000003,0.2862632
7800,14.6700768,8.594,0.0002516,0.0003592,0.2854812
7900,14.951733,8.681999999999999,0.0002504,0.0003576,0.2854892
8000,15.253436599999997,8.862,0.0002496,0.00035640000000000004,0.28505339999999996
8100,15.5332528,9.0,0.00024859999999999997,0.000355,0.2850652
8200,15.8292332,9.017999999999999,0.0002476,0.00035360000000000003,0.2850332
8300,16.1321594,8.913999999999998,0.0002468,0.00035239999999999995,0.2854156
8400,16.4515438,8.764,0.0002458,0.000351,0.28596140000000003
8500,16.7489594,8.662,0.00024480000000000004,0.0003498,0.2865266
8600,17.0329442,8.856,0.0002452,0.0003498,0.2862452
8700,17.328274799999996,9.004000000000001,0.0002452,0.0003492,0.2862304
8800,17.630496800000003,9.26,0.0002448,0.0003486,0.28861499999999995
8900,17.939156,9.25,0.00024380000000000002,0.0003474,0.29311800000000005
9000,18.253529399999998,9.179999999999998,0.00024240000000000004,0.000346,0.2985118
9100,18.5542034,9.334,0.0002418,0.0003456,0.30381939999999996
9200,18.859549199999996,9.506,0.00024139999999999999,0.0003448,0.3068666
9300,19.167319799999998,9.506,0.0002408,0.0003436,0.3097728
9400,19.480157800000004,9.586,0.00023959999999999997,0.0003426,0.3133316
9500,19.8114864,9.492,0.0002386,0.0003408,0.31679140000000006
9600,20.124029,9.674000000000001,0.00023700000000000001,0.00033939999999999996,0.3205654
9700,20.4383306,9.786,0.0002362,0.0003382,0.32204859999999996
9800,20.7623696,10.052000000000001,0.0002348,0.00033680000000000006,0.3221916
9900,21.1000442,10.022000000000002,0.0002346,0.00033620000000000004,0.3215862
10000,21.4113852,10.203999999999999,0.0002344,0.0003356,0.32053499999999996
10100,21.7333568,10.326,0.000234,0.000335,0.32248319999999997
10200,22.068976600000003,10.338000000000001,0.00023360000000000004,0.0003344,0.32367039999999997
10300,22.419431,10.308,0.00023360000000000004,0.000334,0.3236354
10400,22.7457896,10.416,0.0002334,0.00033339999999999997,0.323501
10500,23.0800956,10.416,0.0002334,0.00033339999999999997,0.3245302
10600,23.435763400000003,10.4,0.00023359999999999999,0.00033339999999999997,0.32390220000000003
10700,23.7839904,10.553999999999998,0.00023359999999999999,0.0003326,0.3233584
10800,24.119269800000005,10.722,0.00023319999999999998,0.0003324,0.32253719999999997
10900,24.459824599999997,10.91,0.000233,0.0003318,0.3217038
11000,24.810940199999997,10.959999999999999,0.00023239999999999996,0.00033079999999999996,0.3227968
11100,25.1679722,11.092,0.00023140000000000001,0.00032960000000000004,0.3248942
11200,25.5162506,11.112,0.00023080000000000003,0.0003286,0.32757620000000004
11300,25.875040000000002,11.104000000000001,0.00022960000000000002,0.0003274,0.33161879999999994
11400,26.241977199999997,11.226,0.0002294,0.000327,0.336737
11500,26.613422800000002,11.262,0.00022859999999999997,0.0003262,0.3382636
11600,26.997218399999998,11.236,0.00022800000000000004,0.0003256,0.33821200000000007
11700,27.3757048,11.102,0.0002284,0.0003266,0.3422634
11800,27.734203200000003,11.348,0.00022920000000000001,0.0003272,0.3451944
11900,28.1111582,11.568000000000001,0.00022920000000000001,0.0003272,0.3459622
12000,28.496139399999997,11.069999999999999,0.00022920000000000001,0.000327,0.34570559999999995
12100,28.871224600000005,11.575999999999999,0.00022920000000000001,0.0003272,0.3451168
12200,29.2299358,11.812,0.00022899999999999998,0.00032680000000000003,0.3451502
12300,29.616877799999997,11.846,0.00022820000000000002,0.000326,0.34622980000000003
12400,29.9918792,11.998,0.0002278,0.00032500000000000004,0.3476536
12500,30.369365200000004,12.190000000000001,0.0002278,0.00032500000000000004,0.35029200000000005
12600,30.744277,12.322,0.00022820000000000002,0.00032619999999999996,0.3552994
12700,31.150869,12.457999999999998,0.00022860000000000003,0.0003262,0.35724259999999997
12800,31.560128400000004,12.489999999999998,0.0002284,0.0003256,0.3571842
12900,31.942994600000002,12.746,0.00022860000000000003,0.00032579999999999995,0.3601718
13000,32.336667,13.022,0.00022900000000000004,0.00032659999999999997,0.3617956
13100,32.733059000000004,13.25,0.00022900000000000004,0.0003262,0.3626248
13200,33.1486802,13.282,0.0002284,0.000326,0.36509359999999996
13300,33.556027400000005,13.335999999999999,0.00022760000000000003,0.0003252,0.368178
13400,33.982876399999995,13.530000000000001,0.000227,0.0003242,0.371481
13500,34.4181446,13.712,0.000227,0.0003236,0.373651
