n_samples,time,memory,MAE,RMSE,R2
100,0.11214519999999999,0.472171875,0.00012480000000000002,0.00016619999999999997,-0.4517432
200,0.1954788,0.472611328125,0.0001234,0.00016,-0.2065672
300,0.2625772,0.6927753906249998,0.0001252,0.0001606,-0.128301
400,0.3504248,0.3463125,0.0001294,0.000164,-0.09135259999999999
500,0.41547720000000005,0.7415800781249999,0.0001314,0.00016519999999999998,-0.0748396
600,0.5234715999999999,0.9016796875,0.0001526,0.00022259999999999996,-0.043148599999999995
700,0.6049554,1.179326171875,0.000187,0.00028740000000000005,0.016484199999999997
800,0.7089316,1.1292265625,0.00020240000000000001,0.00030639999999999997,0.0409564
900,0.8099798,1.102173828125,0.00020859999999999997,0.00031,0.050391399999999996
1000,0.8970585999999999,1.0399921875,0.0002108,0.0003058,0.06371560000000001
1100,0.9774194000000002,1.2168417968749998,0.0002114,0.00030240000000000003,0.0774298
1200,1.079213,1.246546875,0.00021739999999999997,0.0003086,0.0688382
1300,1.1729394000000002,1.4155859375,0.0002192,0.00030960000000000004,0.0652144
1400,1.271941,1.558,0.0002196,0.00030779999999999995,0.0670588
1500,1.372067,1.6706171875,0.0002268,0.0003196,0.07802200000000001
1600,1.4688965999999999,1.784,0.00023579999999999999,0.0003326,0.1003558
1700,1.5732712,1.9479999999999997,0.00024199999999999997,0.00034159999999999995,0.11493840000000002
1800,1.6810844,2.1060000000000003,0.0002444,0.000344,0.116412
1900,1.7998703999999996,2.278,0.0002458,0.00034820000000000006,0.1247656
2000,1.9326847999999999,2.2359999999999998,0.00025079999999999997,0.0003548,0.1385638
2100,2.0508110000000004,2.29,0.00025199999999999995,0.0003562,0.14856180000000002
2200,2.1856688,2.2239999999999998,0.0002514,0.00035539999999999997,0.1512304
2300,2.3039278,2.5060000000000002,0.000258,0.00036720000000000004,0.1854808
2400,2.4362526000000004,2.4400000000000004,0.0002574,0.00036720000000000004,0.2043234
2500,2.5516716,2.628,0.000255,0.00036379999999999995,0.21119559999999998
2600,2.6737892000000003,2.668,0.0002512,0.0003594,0.2183646
2700,2.8110307999999997,2.618,0.0002478,0.0003548,0.22557460000000001
2800,2.943178,2.844,0.0002448,0.0003506,0.2321098
2900,3.0760628,2.9199999999999995,0.00024359999999999999,0.00034679999999999997,0.2433072
3000,3.2110715999999995,2.996,0.00024239999999999998,0.0003438,0.253306
3100,3.3495735999999994,3.0940000000000003,0.0002418,0.00034100000000000005,0.2557574
3200,3.4871776,3.2060000000000004,0.0002404,0.000339,0.255073
3300,3.6286384,3.2979999999999996,0.00023959999999999997,0.0003366,0.2530844
3400,3.7709276000000003,3.5840000000000005,0.0002428,0.00034060000000000004,0.258767
3500,3.9275075999999998,3.5520000000000005,0.0002444,0.00034159999999999995,0.27032559999999994
3600,4.0865774,3.918,0.0002444,0.000341,0.27779640000000005
3700,4.253704,4.104,0.00024200000000000003,0.0003386,0.2824266
3800,4.41214,4.522,0.0002446,0.000345,0.2764812
