n_samples,time,memory,MAE,RMSE,R2
100,0.0363236,0.1312578125,40.761112000000004,52.4785482,-0.044348
200,0.0688716,0.027238281250000003,38.8910542,50.6046162,-0.0267
300,0.097447,0.241650390625,36.987521400000006,47.79567659999999,0.0216376
400,0.1289892,0.308787109375,36.0433508,46.6979442,0.06783339999999999
500,0.1640286,0.48991992187500005,35.107061,45.7972174,0.1201574
600,0.220079,0.667986328125,33.8852548,44.403549000000005,0.1566412
700,0.252929,0.8174257812500001,32.8738068,43.327133200000006,0.20751979999999998
800,0.29995580000000005,0.94466015625,32.723681799999994,43.479835,0.24360680000000007
900,0.3377228,1.032,32.263032599999995,42.886223199999996,0.27418180000000003
1000,0.37707999999999997,1.126,32.3571302,43.237942399999994,0.315309
1100,0.418338,1.2079999999999997,33.0865992,44.745763000000004,0.3383672
1200,0.4643089999999999,1.2319999999999998,32.9537318,44.692667,0.3531372
1300,0.5074666000000001,1.276,32.8854192,44.949982399999996,0.36501900000000004
1400,0.5514098000000001,1.3219999999999998,32.670857,44.9778042,0.38235919999999995
1500,0.6152366,1.3439999999999999,32.8942872,45.6104792,0.38790379999999997
1600,0.6605044,1.36,32.9914018,46.071512,0.40179539999999997
1700,0.7058202,1.3820000000000001,33.5353508,47.2960366,0.412397
1800,0.7516174,1.4280000000000002,34.1364622,48.8041264,0.4181636
1900,0.7984582,1.488,34.3403102,49.3160512,0.431848
2000,0.8465575999999999,1.5400000000000003,34.351602,49.5038708,0.4418298
2100,0.8954802,1.576,34.5939392,50.29942140000001,0.4468115999999999
2200,0.9468589999999999,1.6039999999999999,35.029668400000006,51.209896400000005,0.451183
2300,0.9973319999999999,1.64,35.6503098,52.3826322,0.45340759999999997
2400,1.0482818,1.672,36.333207400000006,53.49656280000001,0.4560563999999999
2500,1.1006304,1.672,37.6469194,56.16914799999999,0.4529782
2600,1.1567332000000001,1.636,39.229836,59.346662800000004,0.44196480000000005
2700,1.2086554,1.666,41.2014896,63.6112396,0.4333036
2800,1.2683490000000002,1.52,42.8676724,66.760624,0.4297288
2900,1.3295472,1.4040000000000001,44.4330704,69.50949899999999,0.43484100000000003
3000,1.3775999999999997,1.4880000000000002,45.6362106,71.46441580000001,0.4418694
3100,1.4290606000000001,1.484,46.70816359999999,73.0963252,0.4514408
3200,1.4807,1.488,47.748476200000006,74.5564782,0.46151960000000003
3300,1.530234,1.51,48.7642616,76.1526592,0.47040679999999996
3400,1.5789748000000001,1.58,49.78512200000001,77.4430916,0.48267
3500,1.6300202,1.6479999999999997,50.7528204,78.76221720000001,0.48360440000000005
3600,1.6815183999999999,1.73,52.004438400000005,80.5259116,0.4839542
3700,1.7371462000000002,1.752,52.92308479999999,81.7723906,0.48689020000000005
3800,1.7920165999999997,1.7759999999999998,53.78794740000001,82.9003194,0.4904094
3900,1.8472681999999998,1.8219999999999998,54.5108578,83.8292872,0.4925142
4000,1.9026798000000003,1.86,55.2157908,84.7418278,0.4952946
4100,1.9588657999999999,1.8860000000000003,55.9431422,85.63769740000001,0.4990044
4200,2.0156974,1.9140000000000001,56.833812,86.7822312,0.5030536
4300,2.073449,1.94,57.53715079999999,87.53591259999999,0.5057552
4400,2.1326419999999997,1.952,58.061836199999995,88.06783340000001,0.5085784
4500,2.1904296,1.968,58.36423140000001,88.3516174,0.5139866
4600,2.2492146,1.966,58.761633800000006,88.6772896,0.5192402
4700,2.3064350000000005,1.9780000000000002,58.8839164,88.7449218,0.5243998
4800,2.364731,1.9920000000000002,58.798569799999996,88.5423178,0.5285064
4900,2.4224514000000004,1.996,58.6987124,88.3162274,0.5338708
5000,2.4818562,2.008,58.554765999999994,88.08603780000001,0.5384462000000001
5100,2.5433570000000003,1.9900000000000002,58.4840622,87.9023376,0.5430963999999999
5200,2.6030545999999997,1.9600000000000002,58.4731494,87.80365900000001,0.5484804000000001
