n_samples,time,memory,MAE,RMSE,R2
100,0.0342968,0.43523046874999993,83428.8872192,102129.2071182,-0.061055399999999996
200,0.1695554,0.051474609375,82977.67727860001,99193.4166406,-0.0350914
300,0.20382800000000004,0.467541015625,75417.3331042,93798.29234279999,0.115587
400,0.2623138,0.686787109375,69962.63604320001,87992.1039446,0.202068
500,0.34864560000000006,0.771662109375,66680.69624579999,85135.94346080002,0.27005
600,0.42734760000000005,0.8554160156249999,62903.356423599995,81409.594009,0.3226026
700,0.4929165999999999,1.1048593749999998,60648.707097399994,79257.514992,0.3676984
800,0.5917595999999999,1.187134765625,59178.668290400004,77493.9276766,0.3804462
900,0.7000200000000001,1.106314453125,58358.01128240001,76564.8410472,0.3838786
1000,0.8006456,1.2254511718749999,58553.740675199995,76707.38400339999,0.384855
1100,0.9061098,1.34514453125,59217.674024199994,77700.3790814,0.39478219999999997
1200,0.9857726,1.5939999999999999,59460.2924978,77792.4088282,0.38810900000000004
1300,1.0744466000000001,1.842,59378.85771239999,77518.5740752,0.3654922
1400,1.2135824,2.01,59069.166388,76957.91802699999,0.341057
1500,1.4042134,1.8800000000000001,58531.1259494,76133.013276,0.3350964
1600,1.5002672000000001,2.13,58160.947522799994,75524.62319799999,0.3406862
1700,1.5882466000000002,2.5420000000000003,58241.173186399996,75097.8941092,0.35163559999999994
1800,1.7875425999999996,2.226,58393.31960519999,74812.3037468,0.3686384
1900,1.9312288000000002,2.086,58094.0605558,74362.61677200001,0.36931440000000004
2000,2.0175134,2.4979999999999998,57607.3644384,73695.6657236,0.3627644
2100,2.1466222,2.6979999999999995,57233.3595552,73341.0711876,0.37527699999999997
2200,2.2839672,2.876,57769.76163100001,74157.2101978,0.4089608
2300,2.4055732,3.286,57548.1536568,74109.788864,0.4222696
2400,2.5891714,3.2439999999999998,57120.74148340001,73575.00652760001,0.43177180000000004
2500,2.7701032000000003,3.218,56588.5015166,73228.9796932,0.43409819999999993
2600,2.9762782,3.0919999999999996,56619.72370719999,73173.2872112,0.4388858
2700,3.1202554,3.34,56651.35200499999,72977.8727156,0.4498564
2800,3.3353238000000003,2.832,56591.54258580001,72806.24143940001,0.4543708000000001
2900,3.4888684,2.9560000000000004,56197.40943700001,72410.50676419999,0.45843179999999994
3000,3.6431696000000002,3.114,55559.90750260001,71775.532162,0.46661359999999996
3100,3.8030311999999995,3.102,54990.5924138,71128.8962856,0.47702040000000007
3200,3.9386372,3.3520000000000003,54486.672526199996,70492.12455899999,0.4843436
3300,4.155952399999999,3.3880000000000003,54034.841938,69993.4349278,0.490278
3400,4.3311424,3.306,53542.7512356,69465.63821800001,0.49672279999999996
3500,4.4556238,3.7199999999999998,52959.5351562,68956.7035084,0.5029022
