n_samples,time,memory,MAE,RMSE,R2
100,0.0321786,0.251212890625,83428.8872192,102129.2071182,-0.061055399999999996
200,0.068531,0.0794609375,82977.67727860001,99193.4166406,-0.0350914
300,0.0926446,0.30494921875,77415.96117679999,94322.93143239999,0.1053752
400,0.12270659999999997,0.302908203125,73454.891969,89416.18347840001,0.17646040000000002
500,0.15280939999999998,0.36386132812500005,70623.4547494,86836.37337100001,0.2410718
600,0.17663979999999999,0.417744140625,68023.9947544,83907.0103448,0.2805190000000001
700,0.2028276,0.42127734375000003,65735.03672660001,81653.1599424,0.3288414
800,0.22943319999999998,0.48857421875,64566.822189399994,80318.14667160001,0.33433679999999993
900,0.2571004,0.5208222656249999,64827.247214999996,80361.578276,0.321268
1000,0.28895839999999995,0.5554003906249999,65035.846764,80612.84371820002,0.321145
1100,0.3207422,0.6054511718750001,65030.0086438,80983.84656499999,0.34317719999999996
1200,0.34816060000000004,0.73188671875,64577.8714762,80451.61515459999,0.346333
1300,0.38146420000000003,0.75916015625,63738.44668020001,79797.31439059999,0.32872019999999996
1400,0.41387999999999997,0.854109375,63373.707261200005,79315.22903819999,0.301787
1500,0.4792458,0.940134765625,62883.827382,78571.96238219998,0.2934888
1600,0.5165170000000001,1.0539999999999998,62528.169858199995,77954.66709799999,0.2990468
1700,0.5765167999999999,1.134,62677.483125599996,77668.71337920001,0.30800879999999997
1800,0.6216028,0.9665859375,63194.913109199995,77719.60364239999,0.320083
1900,0.6621616,0.9790234374999999,63763.8662088,78049.61190019999,0.306511
2000,0.7006528000000001,0.974240234375,63661.064353400005,77760.9755174,0.2920622
2100,0.7392988,1.0381249999999997,63159.370187600005,77273.661768,0.30793539999999997
2200,0.7772083999999999,1.144,63437.3361762,77840.9546356,0.3495883999999999
2300,0.8195727999999999,1.107421875,63003.7555236,77580.20158040001,0.3676726
2400,0.8598136000000001,1.146521484375,62287.358580600005,76782.65574759999,0.38191319999999995
2500,0.9001558,1.2480000000000002,61730.4101286,76341.2493244,0.3859208
2600,0.9394202,1.324,61803.6071226,76284.3236296,0.3911488
2700,0.9826918000000001,1.366,62037.41087579999,76297.5077172,0.3998352
2800,1.03926,1.304,62482.38547379999,76612.532207,0.397139
2900,1.0801164,1.4140000000000001,62808.720277600005,76853.5121484,0.3910958
3000,1.1253240000000002,1.486,62838.9908652,76757.7026466,0.391128
3100,1.170197,1.5479999999999998,62596.39123239999,76350.1476708,0.3984234
3200,1.2231792000000001,1.616,62147.23927160001,75790.94171340001,0.40479459999999995
3300,1.269842,1.702,61893.853120600004,75522.343449,0.40737959999999995
3400,1.3206018,1.7760000000000002,61724.71521940001,75306.2418048,0.4092994
3500,1.3764806,1.8299999999999996,61657.70829940001,75181.01243979999,0.40988579999999997
3600,1.4302374,1.876,61528.65007399999,74980.4118114,0.4104127999999999
3700,1.4843191999999998,1.95,61574.300671599995,75080.33508620001,0.4048184
3800,1.5466297999999998,2.0040000000000004,61508.524996399996,74969.6176972,0.4025702
3900,1.6022146,2.0520000000000005,61133.14617440001,74557.9575982,0.4038498
4000,1.6593044,2.12,60757.362748,74152.99918740001,0.4046292
4100,1.7157769999999999,2.1859999999999995,60508.05241360001,74016.1042594,0.4163882
4200,1.7843608,2.086,60364.312923800004,73974.91286580001,0.4218674
4300,1.8453988,2.09,60483.62585679999,74174.07209880001,0.416854
4400,1.9240743999999999,2.1399999999999997,61140.582534400004,75098.77519,0.40554100000000004
4500,1.9815908,2.242,61250.440390799995,75274.31019319998,0.40157040000000005
4600,2.0473524000000003,2.2940000000000005,61656.028386,76028.0248078,0.4116206
4700,2.1076112,2.4139999999999997,62481.8712468,77428.42471299999,0.4191926
4800,2.170126,2.524,63394.4675526,79137.8071834,0.4133198
4900,2.2446286,2.566,64739.01259379999,81320.20661339999,0.39896180000000003
5000,2.3127812,2.69,65312.46371140001,82213.3804898,0.39204819999999996
5100,2.3828090000000004,2.772,65216.26138180001,82433.561325,0.3843708
5200,2.4520354,2.85,65831.88637380001,83628.2411696,0.37352280000000004
5300,2.5285134000000005,2.832,67015.9307392,85726.49505180001,0.3605748
5400,2.602368,2.818,67291.2797176,86592.084684,0.35258839999999997
5500,2.6774139999999997,2.78,66982.6901588,86591.96944380002,0.34942900000000005
5600,2.7472382,2.846,66483.0299428,86296.600572,0.3488856
5700,2.8208722,2.8151953124999998,65955.8686186,85842.8663928,0.3501434
5800,2.8922702,2.8243515624999995,65584.44243600001,85521.7497438,0.3652574
5900,2.9639754000000003,2.936,66338.6518664,86805.944736,0.38294700000000004
6000,3.0365798,3.024,67425.8132872,88374.314027,0.3886078
6100,3.1133488,3.018,68317.42820040001,89596.1337152,0.3912042
6200,3.1884620000000004,3.0699999999999994,68516.0243152,89842.73482640002,0.3930116
6300,3.2635531999999996,3.1499999999999995,68695.7830046,89985.9945596,0.3966758
6400,3.3430504000000005,3.1700000000000004,68676.1531544,89871.31119860001,0.39813660000000006
6500,3.4282204,3.104,68428.4504112,89623.75550880001,0.3987134
6600,3.5042576,3.218,68256.6283534,89370.6617226,0.39731099999999997
6700,3.5904724000000003,3.104,67995.7747812,89022.557027,0.39684200000000003
6800,3.6675135999999995,3.136,67652.467302,88627.0526574,0.3958838
6900,3.7442143999999997,3.232,67323.5475074,88258.63086240001,0.3956824
7000,3.8251998,3.276,67215.240318,88136.82241300002,0.3997524
7100,3.9084871999999997,3.194,66933.4803324,87866.6227284,0.4035126
7200,3.9888162,3.18,66722.52703859999,87657.72641500001,0.4090804
7300,4.0748422,3.082,66746.21277419999,87746.39651,0.4163156
7400,4.154682599999999,3.0639999999999996,66626.5885772,87621.7307128,0.42002439999999996
7500,4.2317198,3.1339999999999995,66327.24597840001,87306.1126584,0.4220114
7600,4.3084838,3.1879999999999997,66040.85837860001,86974.7238602,0.4216318
7700,4.3897796,3.154,65702.4610874,86593.2054488,0.4206306000000001
7800,4.4691262,3.134,65337.793938200004,86199.43077179999,0.4203194
7900,4.568167,3.172,64901.725939200005,85776.7356748,0.4200894
8000,4.6492974,3.146,64421.146938000005,85329.2809552,0.42060320000000007
8100,4.7275604,3.184,64011.4384952,84918.3024826,0.4219658
8200,4.8088223999999995,3.2239999999999993,63688.939094199995,84578.2786924,0.422237
8300,4.887328,3.2880000000000003,63443.20512839999,84285.0703124,0.42216419999999993
8400,4.9696488,3.322,63159.644845,83955.6017114,0.4209582
8500,5.0499546,3.3940000000000006,62859.251613,83622.7678714,0.42070860000000004
8600,5.1339814,3.382,62569.085847199996,83315.50867619998,0.42033640000000005
8700,5.2162436,3.4219999999999997,62340.65048179999,83090.39210520001,0.41936260000000003
8800,5.3004996,3.432,62143.630510400006,82950.469468,0.41834679999999996
8900,5.3896202,3.4339999999999997,62267.9896972,83191.4100618,0.41700859999999995
9000,5.473388,3.5160000000000005,62116.612045199996,83080.7538108,0.41528659999999995
9100,5.55955,3.56,61930.0505844,82903.1333944,0.4148982
9200,5.6445178,3.6179999999999994,62152.2980598,83172.4946448,0.4219376
9300,5.732013,3.6599999999999993,62373.36922760001,83421.8314846,0.4263418
9400,5.821342800000001,3.7419999999999995,62815.3240674,83990.5258164,0.43631539999999996
9500,5.923244200000001,3.8280000000000003,63429.9618878,84918.87082019998,0.44053200000000003
9600,6.0149306,4.018,63772.60870119999,85437.2084606,0.4453058
9700,6.1107016000000005,4.1739999999999995,63917.841519199996,85570.76159040001,0.44548740000000003
9800,6.2140846,4.326,63956.2959868,85586.3304296,0.44652340000000007
9900,6.3210342,4.433999999999999,63970.3246272,85574.926232,0.4496842
10000,6.436507800000001,4.6819999999999995,64092.05726259999,85741.4646644,0.45470640000000007
10100,6.547642399999999,4.93,64008.5974854,85615.39219700001,0.4577358
10200,6.664064400000001,5.086,63859.9213602,85448.42589,0.46060480000000004
10300,6.793325,5.3759999999999994,63631.5102818,85198.1216688,0.4619444
10400,6.919024,5.532,63641.293988,85247.762736,0.46178939999999996
10500,7.0449220000000015,5.7540000000000004,63579.4391356,85224.14968059999,0.4603264
10600,7.1737846,5.959999999999999,63399.861610600004,85019.3928172,0.4600308
10700,7.307636,6.116,63245.013699999996,84818.3109088,0.4600606
10800,7.445541,6.228,63132.3618208,84665.1493646,0.4591978
10900,7.586342999999999,6.312,63084.169083,84559.1038376,0.45899520000000005
11000,7.731172000000001,6.4319999999999995,63124.12757580001,84588.020492,0.4593348
11100,7.876489599999999,6.516,63174.277627799995,84665.47666,0.459526
11200,8.028467799999998,6.468000000000001,63293.5038572,84819.10492,0.4594182
11300,8.173559599999999,6.588000000000001,63589.9080258,85241.4625598,0.46038199999999996
11400,8.3219234,6.638,63830.21713060001,85589.633729,0.461267
11500,8.4699908,6.731999999999999,63751.374002599994,85521.0500754,0.4619846000000001
11600,8.621345600000001,6.806,63593.4301748,85339.7201402,0.4638712
11700,8.775531599999999,6.848000000000001,63422.446080600006,85150.4646274,0.46402040000000006
11800,8.930797799999999,6.904000000000001,63223.258204,84935.23575319999,0.4632135999999999
11900,9.0860902,6.998,62983.0009992,84672.2539564,0.46281219999999995
12000,9.2568144,7.086,62819.76601440001,84485.33614,0.46255440000000003
12100,9.421107,7.0280000000000005,62831.04557739999,84521.37386739999,0.46262879999999995
12200,9.5841762,7.046000000000001,62763.8073836,84451.8120762,0.46268639999999994
12300,9.7451986,7.212000000000001,62673.790220799994,84340.5027778,0.46167020000000003
12400,9.9100518,7.388,62557.555187,84192.4566106,0.4616302
12500,10.0781078,7.558000000000002,62661.3404722,84321.6353776,0.45832439999999997
12600,10.248528799999999,7.69,62797.034239,84399.7461174,0.4554518000000001
12700,10.425571000000001,7.744,62799.529808600004,84330.6372668,0.4542502
12800,10.6033204,7.88,62790.187754,84285.25576940001,0.4538896
12900,10.7879338,7.9220000000000015,62736.022628000006,84170.7018062,0.4548178
13000,10.968313400000001,8.148,62724.3194872,84113.3883182,0.4554502
13100,11.1548734,8.266,62600.503833999996,83940.880632,0.4571118
13200,11.3414842,8.360000000000001,62497.032974199996,83779.5214392,0.45879440000000005
13300,11.5318792,8.42,62355.630245399996,83595.15672619999,0.46037359999999994
13400,11.721414,8.516000000000002,62233.705778999996,83422.28767879998,0.46225760000000005
13500,11.914492200000002,8.588000000000001,62143.5967256,83277.12312179999,0.46277799999999997
13600,12.1078374,8.678,62064.73742120001,83157.9088578,0.46232919999999994
13700,12.303176,8.841999999999999,62000.4628122,83040.6776552,0.4619148
13800,12.5011308,8.988000000000001,61930.27794859999,82914.8488162,0.4616592
13900,12.7026378,9.1,61863.91369179999,82790.5783718,0.4613118
14000,12.9199388,9.2,61817.27843360001,82704.3067146,0.46057139999999996
14100,13.1264636,9.27,61742.441535599995,82571.191221,0.46137179999999994
14200,13.337534400000001,9.26,61659.02900339999,82451.72821419999,0.462632
14300,13.546802600000001,9.315999999999999,61618.9575638,82405.5150552,0.4624466
14400,13.757836000000001,9.418,61587.0307814,82335.1869538,0.4623718
14500,13.981328200000002,9.602,61521.0842454,82228.9707412,0.46336259999999996
14600,14.1976158,9.746,61479.53674059999,82167.970699,0.46381439999999996
14700,14.4185642,9.782,61336.8787838,82008.3295484,0.46443320000000005
14800,14.636497599999998,9.876000000000001,61195.4676034,81838.3290054,0.46478319999999995
14900,14.857387600000001,9.945999999999998,61133.55295620001,81777.8870826,0.46472600000000003
15000,15.0793082,10.078,61271.3053096,81966.2446762,0.4633166
15100,15.304666399999999,10.186,61381.50216239999,82139.30902540001,0.4631102
15200,15.5327514,10.272,61333.445647600005,82096.93121800001,0.4630108
15300,15.760495200000003,10.331999999999999,61251.287682400005,82002.1386982,0.4626734
15400,15.9899206,10.396,61215.00407779999,81994.3479352,0.46182460000000003
15500,16.2225478,10.443999999999999,61117.615877799995,81888.67370720001,0.46174919999999997
15600,16.4545288,10.511999999999999,60998.417182000005,81749.8083328,0.4613250000000001
15700,16.6882126,10.604000000000001,60952.754169,81696.9606502,0.4599836
15800,16.9267058,10.646,60977.578109199996,81704.5882724,0.46021660000000003
15900,17.1632498,10.74,61040.493278,81836.11917379999,0.4586066
16000,17.403069,10.813999999999998,60934.3650416,81708.34860900001,0.45842160000000004
16100,17.645805199999998,10.855999999999998,60808.2119082,81561.5110112,0.45837500000000003
16200,17.8872896,11.0,61019.9446244,82063.6092492,0.45442340000000003
16300,18.1341118,11.042,61560.9120936,83087.8263176,0.44952699999999995
16400,18.379218199999997,11.144,62019.48727600001,83824.8259726,0.44515079999999996
16500,18.6280364,11.198,62203.5310876,84095.3014458,0.4425912
16600,18.8790368,11.236,62339.244303800006,84262.0627148,0.44208980000000003
16700,19.128946,11.26,62585.775397800004,84568.1688436,0.4410038
16800,19.3822118,11.236,62740.521233,84760.8740738,0.4402826
16900,19.631323400000003,11.302000000000001,62856.8100938,84855.1711852,0.43935060000000004
17000,19.8824144,11.35,62864.501330800005,84820.65118079999,0.4389162000000001
17100,20.1482698,11.453999999999999,62830.1412882,84754.2248902,0.43817760000000006
17200,20.402935199999998,11.638000000000002,62823.2379606,84731.9851394,0.43674359999999995
17300,20.661904399999997,11.798,62788.413849599994,84683.60018159999,0.435523
17400,20.9391834,11.928,62738.906465399996,84619.84659340001,0.43523239999999996
17500,21.2060416,12.012000000000002,62865.941614999996,84773.78583620001,0.4369218
17600,21.4780072,12.12,63012.176645800006,84942.10493920001,0.4393852
17700,21.748507600000003,12.212,63114.028282600004,85066.70370859999,0.44273419999999997
17800,22.0266908,12.218,63377.9340444,85436.70851760001,0.4437806
17900,22.2997628,12.314,63562.4195188,85650.7029322,0.4442458
18000,22.5799876,12.428,63562.27544839999,85653.9870858,0.4447548
18100,22.875243599999997,12.442000000000002,63545.48551499999,85606.650552,0.4443142
18200,23.152880599999996,12.491999999999999,63509.3255992,85563.2613726,0.44374459999999993
18300,23.4327272,12.544,63423.525825200006,85449.7899418,0.4434914
18400,23.717527799999996,12.578,63379.6579806,85390.2512228,0.443217
18500,24.0008542,12.652,63316.011286600005,85305.8601536,0.44270119999999996
18600,24.284042000000003,12.738,63288.5386576,85261.89155079999,0.4439192
18700,24.573436400000002,12.712,63304.27957680001,85248.4988976,0.4482878
18800,24.859808400000002,12.77,63363.366209800006,85301.2555556,0.45065600000000006
18900,25.148765400000002,12.742,63479.255471000004,85406.00753100001,0.45613600000000004
19000,25.4333904,12.818000000000001,63522.4493942,85446.4500398,0.45907220000000004
19100,25.7220234,12.876000000000001,63587.79956980001,85520.2145482,0.45887659999999997
19200,26.014689599999997,12.906,63602.226181599995,85523.228012,0.4583972
19300,26.304036000000004,13.047999999999998,63601.491505,85510.75663979999,0.4583752
19400,26.6003938,13.15,63514.0833184,85399.8102508,0.4600753999999999
19500,26.899721,13.3,63471.56463940001,85322.68488320001,0.4605194
19600,27.201982999999995,13.344,63461.130403999996,85270.4542828,0.459963
19700,27.506426799999996,13.372,63393.548373800004,85177.8541708,0.4594278
19800,27.8098186,13.434000000000001,63312.6515444,85079.7701704,0.45880299999999996
19900,28.1145896,13.542000000000002,63198.724724199994,84950.4751424,0.45849900000000005
20000,28.426097,13.568000000000001,63110.569840799995,84841.02393659999,0.45831540000000004
20100,28.731434999999998,13.678,63050.673881799994,84755.2380066,0.4583818
20200,29.046374800000002,13.6,62985.3710158,84671.4518788,0.4587058
20300,29.355809599999997,13.685999999999998,62942.79280000001,84611.89374900001,0.45930479999999996
20400,29.6655076,13.89,62878.330028,84518.1914694,0.4610068
20500,29.9797544,13.982,62797.664539800004,84417.04810079999,0.462936
