n_samples,time,memory,MAE,RMSE,R2
100,0.0272714,0.25115624999999997,83428.8872192,102129.2071182,-0.061055399999999996
200,0.0602472,0.07941210937499998,82977.67727860001,99193.4166406,-0.0350914
300,0.0815848,0.30489062499999997,77415.96117679999,94322.93143239999,0.1053752
400,0.1094458,0.3028515625,73454.891969,89416.18347840001,0.17646040000000002
500,0.1558478,0.36380468749999995,70623.4547494,86836.37337100001,0.2410718
600,0.18371120000000002,0.41768554687500004,68023.9947544,83907.0103448,0.2805190000000001
700,0.21415220000000001,0.42121875,65735.03672660001,81653.1599424,0.3288414
800,0.24520940000000002,0.488517578125,64566.822189399994,80318.14667160001,0.33433679999999993
900,0.277632,0.520763671875,64827.247214999996,80361.578276,0.321268
1000,0.31534579999999995,0.5553437499999999,65035.846764,80612.84371820002,0.321145
1100,0.3524172,0.6053925781249999,65030.0086438,80983.84656499999,0.34317719999999996
1200,0.38498240000000006,0.731828125,64577.8714762,80451.61515459999,0.346333
1300,0.42375100000000004,0.759103515625,63738.44668020001,79797.31439059999,0.32872019999999996
1400,0.4618676,0.854052734375,63373.707261200005,79315.22903819999,0.301787
1500,0.5065152,0.9401015625,62883.827382,78571.96238219998,0.2934888
1600,0.5506282,1.0539999999999998,62528.169858199995,77954.66709799999,0.2990468
1700,0.600183,1.134,62677.483125599996,77668.71337920001,0.30800879999999997
1800,0.6540928,0.9665507812499999,63194.913109199995,77719.60364239999,0.320083
1900,0.7025032,1.0249902343750001,63816.3724902,78091.70946039999,0.3057678
2000,0.7493766,1.029708984375,63810.011433800006,77884.43006740001,0.28984639999999995
2100,0.8118261999999999,1.05776171875,63344.239243799995,77401.397023,0.3056874
2200,0.857864,1.144,63621.26351879999,77967.5180768,0.3475028
2300,0.9083154,1.077529296875,63264.2149338,77737.5282548,0.3651324
2400,0.9559832,1.098443359375,62553.34761679999,76937.2565942,0.3794426000000001
2500,1.0034687999999998,1.1700000000000002,62041.271187599996,76528.1643494,0.3829444
2600,1.0517662,1.224,62171.4167634,76530.84434,0.3872446
2700,1.10148,1.256,62421.31916199999,76569.134376,0.39559960000000005
2800,1.1663236000000001,1.254,62956.785804,76983.9675974,0.3913282
2900,1.2138795999999998,1.296,63479.86439,77414.8335678,0.382212
3000,1.2656584,1.326,63642.5478662,77439.61663199999,0.38029199999999996
3100,1.3160116,1.356,63501.948465400004,77129.7212588,0.38610920000000004
3200,1.3754864,1.3940000000000001,63160.158467400004,76675.0755556,0.39086800000000005
3300,1.4266324,1.45,63027.8094026,76524.4085134,0.39158879999999996
3400,1.4819550000000001,1.494,62939.471762600006,76387.4999008,0.392279
3500,1.5455441999999997,1.52,62965.9793572,76348.4998272,0.3914938
3600,1.6024912,1.552,62987.942998800005,76270.3163684,0.39003899999999997
3700,1.6601334,1.5779999999999998,63189.121265,76496.1760236,0.3822344
3800,1.730839,1.596,63245.2440848,76494.1760146,0.378146
3900,1.7909226,1.6059999999999999,62935.44427980001,76142.70448500001,0.3783826
4000,1.8498034,1.624,62492.4542668,75696.0826938,0.3798158
4100,1.9074689999999996,1.6640000000000001,62140.9800256,75461.486683,0.3935718
4200,1.9816293999999999,1.596,61854.24039479999,75272.6708846,0.40154700000000004
4300,2.0441166,1.6219999999999999,61766.254206599995,75262.98552439999,0.39977320000000005
4400,2.1062730000000003,1.6480000000000001,62176.255793799995,75867.989554,0.3934818
4500,2.1662354,1.666,62128.6752078,75886.327939,0.39194680000000004
4600,2.2345128,1.67,62383.1751236,76468.497294,0.4048838
4700,2.2959975999999997,1.716,63072.0294256,77681.0544404,0.41552639999999996
4800,2.3579186,1.7419999999999998,63885.6639048,79216.4123316,0.41226520000000005
4900,2.4298242,1.6939999999999997,65078.26799959999,81146.2603086,0.4016208
5000,2.4986501999999997,1.736,65561.8842198,81940.33749739999,0.39616180000000006
5100,2.5637152,1.698,65384.78428400001,82096.956162,0.3894648
5200,2.6269378,1.716,65886.0481634,83153.92252440001,0.38068620000000003
5300,2.696191,1.6420000000000001,66984.9453752,85117.82634920001,0.36970800000000004
5400,2.7567011999999997,1.5959999999999999,67206.4939988,85927.5071,0.3625852
5500,2.8216881999999996,1.526,66882.8019788,85899.6559206,0.35988200000000004
5600,2.8818937999999994,1.43,66410.79019439999,85603.2917136,0.3593946
5700,2.9477112,1.22918359375,65941.2546286,85190.9229252,0.3600648
5800,3.0126348,1.237380859375,65676.791744,84919.80524080001,0.37425559999999997
5900,3.0626738,1.326,66468.98882900001,86202.7692906,0.39155819999999997
6000,3.1125446,1.4100000000000001,67606.355886,87839.45844779999,0.3960452
6100,3.1662062,1.416,68556.3929944,89123.403642,0.39768560000000003
6200,3.2238613999999997,1.44,68772.99682,89432.590963,0.3986092
6300,3.2766554,1.4860000000000002,68949.95278580001,89592.1237054,0.4020334
6400,3.3316494000000008,1.536,68982.5120418,89528.9044492,0.4028232
6500,3.397179,1.394,68777.8542342,89311.3215792,0.4030018
6600,3.4534563999999994,1.3503046875,68516.6511424,89004.2748652,0.4023408
6700,3.5088929999999996,1.374,68214.01516899999,88659.88875740001,0.4018217999999999
6800,3.5623987999999995,1.4220000000000002,67891.8393626,88296.1901808,0.4004588
6900,3.617619,1.4300000000000002,67564.7901838,87945.71758899998,0.4000336
7000,3.678173,1.3703144531249998,67468.4018594,87839.295048,0.4038526
7100,3.7297415999999997,1.424,67218.5585034,87599.5861776,0.40719580000000005
7200,3.7834213999999995,1.436,67016.9879004,87402.64324820001,0.41259479999999993
7300,3.841583,1.4220000000000002,67044.2134082,87499.408608,0.41967099999999996
7400,3.8970972,1.424,66958.07223339999,87401.9583568,0.4229992
7500,3.9537514000000002,1.45,66700.2096354,87120.48835,0.4245366
7600,4.0107038,1.39083203125,66428.2141282,86806.7260984,0.4239276
7700,4.063607599999999,1.45,66142.37643979999,86473.0053316,0.4223072
7800,4.1185528,1.458,65773.23266359999,86089.0853416,0.42186579999999996
7900,4.1718764,1.488,65344.333561399995,85675.32530180001,0.4215262
8000,4.230570999999999,1.486,64939.2134774,85264.118974,0.42155060000000005
8100,4.2852656,1.51,64690.818287400005,84941.8378088,0.4217124
8200,4.3424746,1.544,64508.5623138,84681.38361579999,0.4209052
8300,4.3979374,1.57,64313.410206399996,84428.0566382,0.4202757999999999
8400,4.4548358,1.5899999999999999,64089.920013,84145.86181280001,0.4184034
8500,4.5134332,1.636,63804.214408,83828.38170140001,0.41792239999999997
8600,4.57605,1.5939999999999999,63527.77052879999,83524.3359386,0.4174825999999999
8700,4.6367422,1.5379999999999998,63310.566708000006,83289.3364186,0.416634
8800,4.6955462,1.534,63113.671233999994,83146.83829960001,0.4156388
8900,4.7572338,1.59,63231.828327400006,83400.0764846,0.4141372
9000,4.8152716,1.592,63080.176054400006,83271.7709104,0.412654
9100,4.8719558,1.6380000000000003,62906.8294224,83100.97398,0.41216120000000006
9200,4.932385,1.668,63131.42394719999,83363.4726976,0.41933799999999993
9300,4.9933976,1.7060000000000002,63344.8560086,83608.750907,0.42382099999999995
9400,5.0549134,1.748,63811.2370914,84215.8516648,0.4333552
9500,5.1188367999999995,1.8079999999999998,64586.880094600005,85377.63340319999,0.43456039999999996
9600,5.181361,1.886,65083.0799274,86137.7883024,0.4363040000000001
9700,5.247264800000001,1.964,65343.628473000004,86448.8390856,0.43420699999999995
