n_samples,time,memory,MAE,RMSE,R2
100,0.050669,0.254244140625,0.0034671999999999993,0.0046014,-0.34353360000000005
200,0.1053858,0.308548828125,0.0031866,0.004113,-0.1936152
300,0.1492248,0.33399609375,0.0031568,0.004089799999999999,-0.1242996
400,0.192742,0.35004296874999996,0.0031298,0.0041194,-0.0893976
500,0.2273732,0.360513671875,0.0030482,0.0040268000000000005,-0.0741408
600,0.2713844,0.36921679687500003,0.0029234,0.0038534,-0.067165
700,0.3063894,0.39389843750000003,0.0030307999999999997,0.004607399999999999,-0.039797
800,0.3639046,0.200724609375,0.003765,0.006296,-0.019089000000000002
900,0.3984286,0.429306640625,0.0038456,0.0064164,-0.0304228
1000,0.4413484,0.37897851562499996,0.0037819999999999998,0.0063024,-0.028644000000000003
1100,0.48391419999999996,0.451552734375,0.0037086000000000003,0.0061356,-0.0273586
1200,0.5264073999999999,0.4660371093749999,0.0036306,0.005953,-0.026373600000000004
1300,0.572252,0.4789140625,0.0035957999999999997,0.0058086,-0.0251996
1400,0.6145446000000001,0.517013671875,0.0038564000000000003,0.0063776,-0.0157806
1500,0.6617944,0.53544921875,0.0039992,0.0066512,-0.0123944
1600,0.7052426,0.5446953125,0.003973599999999999,0.006593399999999999,-0.0098954
1700,0.7533103999999999,0.553666015625,0.0039152,0.0064928,-0.009072199999999999
1800,0.7968417999999999,0.59868359375,0.0038929999999999998,0.0064068,0.0130654
1900,0.8396538,0.643095703125,0.0039146,0.0063771999999999995,0.0231856
2000,0.8905068,0.6671367187499999,0.0039026,0.006315799999999999,0.0152312
2100,0.9355080000000001,0.6774882812499999,0.0040444,0.006595799999999999,0.008894999999999998
2200,0.9894388,0.685048828125,0.0040656,0.0066564,0.008700799999999998
2300,1.0366708,0.6931640625000001,0.0041806,0.006951000000000001,0.015173
2400,1.0850218,0.7007656250000001,0.0043782000000000005,0.007258200000000001,0.013021800000000004
2500,1.1350778,0.7059062500000001,0.0044047999999999995,0.0072514,0.012109399999999996
2600,1.1837346,0.709365234375,0.0043542,0.0071618,0.013178600000000002
2700,1.2340358000000002,0.7157890625000001,0.0043734,0.0071686000000000015,0.0211574
2800,1.2827705999999999,0.7273457031249999,0.0045376,0.0074114,0.03302239999999999
2900,1.3336628000000001,0.732958984375,0.0045586,0.007430000000000001,0.036709000000000006
3000,1.3830262,0.7333730468749999,0.0045518,0.0073936,0.038630199999999996
3100,1.4338676,0.734662109375,0.0045190000000000004,0.0073174,0.039813
3200,1.4833452,0.7349765625,0.0044906,0.0072408,0.0410668
3300,1.532236,0.7359160156249999,0.004475999999999999,0.0071728,0.0425254
3400,1.5840198,0.6323808593749999,0.0045556,0.007326000000000001,0.0388752
3500,1.6316614,0.6776601562500001,0.0045476,0.007309,0.0386602
3600,1.6798478,0.6908730468750001,0.0045357999999999996,0.0072613999999999995,0.0394814
3700,1.7294246000000002,0.694564453125,0.0045194,0.0072036,0.04058779999999999
3800,1.7780605999999999,0.7129140625000001,0.0045542,0.0072088,0.039376
3900,1.8238846000000002,0.720548828125,0.0045278,0.0071604,0.039085400000000006
4000,1.877638,0.728669921875,0.0044958,0.007105599999999999,0.0393592
4100,1.9230492,0.7354472656250002,0.004475600000000001,0.007061,0.039143199999999996
4200,1.9780905999999998,0.74448828125,0.0044944,0.007070999999999999,0.045516999999999995
4300,2.02312,0.750609375,0.0044928,0.007049999999999999,0.045108999999999996
4400,2.0787728000000003,0.7548671875,0.0044602,0.0069994,0.0443252
4500,2.1262922,0.7568203125,0.0044318,0.0069500000000000004,0.043997400000000006
4600,2.1800162,0.5591132812499999,0.0044632,0.007058199999999999,0.051390000000000005
4700,2.229493,0.5959492187500001,0.0045094,0.007148799999999999,0.0710654
4800,2.2735908,0.6380644531249999,0.0045092,0.0071616,0.0791016
4900,2.3235124,0.651560546875,0.0044934,0.007131000000000001,0.08248899999999999
5000,2.3669626,0.659408203125,0.0044826,0.0070992,0.0873708
5100,2.4110824,0.666380859375,0.00451,0.007117,0.1083092
5200,2.4599494,0.6738339843750001,0.0045276000000000005,0.0071132,0.10631579999999999
5300,2.5110166,0.6779746093750001,0.0045162,0.0070798,0.10453280000000001
5400,2.5571252,0.680228515625,0.0045126,0.0070568,0.107192
5500,2.6083708,0.6856679687499999,0.004502399999999999,0.00703,0.10804240000000001
5600,2.6523795999999997,0.68860546875,0.0045002,0.007026,0.1143582
