n_samples,time,memory,MAE,RMSE,R2
100,0.081644,0.444291015625,0.0034671999999999993,0.0046014,-0.34353360000000005
200,0.1443152,0.467359375,0.0031866,0.004113,-0.1936152
300,0.18730280000000002,0.608654296875,0.0031525999999999998,0.004089799999999999,-0.12429519999999998
400,0.25180040000000004,0.657267578125,0.0031292,0.0041270000000000005,-0.093504
500,0.3000642,0.68026953125,0.0030392,0.0040284000000000006,-0.07497879999999998
600,0.36453340000000006,0.74140234375,0.002917,0.003857,-0.0691508
700,0.415003,0.7653515625,0.0030207999999999997,0.004601599999999999,-0.0372306
800,0.4869402,0.2584921875,0.0037311999999999996,0.006250800000000001,-0.0046382
900,0.5255067999999999,0.7848203125000002,0.0037932,0.006352399999999999,-0.0102796
1000,0.5739496000000001,0.9663652343750002,0.0037348,0.006255800000000001,-0.013750799999999999
1100,0.6411947999999998,0.9169609374999999,0.0036276000000000004,0.0060794,-0.009066
1200,0.69604,0.92905859375,0.0035106000000000004,0.00588,-0.0016157999999999984
1300,0.7889769999999999,0.8310097656250001,0.003423,0.0057076,0.0098028
1400,0.8428424,0.8806132812499999,0.0036606,0.006301000000000001,0.008345400000000001
1500,0.9048612,0.9957011718750002,0.0038158,0.006599999999999999,0.0027487999999999966
1600,0.9584393999999999,1.1059999999999999,0.0037858,0.0065444000000000006,0.0046283999999999995
1700,1.0321276,1.114712890625,0.0037141999999999995,0.0064376,0.0076954
1800,1.0941534,1.3031796875,0.0037165999999999996,0.006395,0.0162466
1900,1.1554932,1.6,0.003743,0.0063864,0.019707600000000002
2000,1.2281396,1.798,0.0037124000000000002,0.006305,0.018035599999999995
2100,1.3140328000000001,1.9,0.0038553999999999997,0.006579400000000001,0.0130716
2200,1.3984505999999999,2.0200000000000005,0.0038778000000000007,0.0066424,0.0122514
2300,1.4806358,2.1180000000000003,0.0039892,0.0069452,0.016094
2400,1.5703114,2.204,0.004189,0.007258400000000001,0.012202000000000005
2500,1.6702156,2.0279999999999996,0.0042288000000000004,0.007259,0.009115
2600,1.7581590000000002,2.032,0.004174,0.0071666,0.010941200000000003
2700,1.8533317999999999,2.104,0.004187199999999999,0.0071864,0.015473400000000002
2800,1.9382888,2.2239999999999998,0.004379,0.0074792,0.014332600000000001
2900,2.0266272,2.2079999999999997,0.004415400000000001,0.0075084,0.015264799999999995
3000,2.1227726000000002,2.218,0.004422799999999999,0.007483399999999999,0.0141814
3100,2.2137831999999995,2.146,0.0043924,0.007406399999999999,0.015389400000000003
3200,2.306859,2.11,0.00436,0.007324,0.017967599999999997
3300,2.3883274,2.1740000000000004,0.0043346,0.007247399999999999,0.021575200000000003
3400,2.4834658,2.194,0.004406599999999999,0.0073934,0.0202828
3500,2.5764446,2.25,0.0043904,0.0073712,0.021476600000000002
3600,2.6698114,2.3560000000000003,0.0043672,0.007317599999999999,0.023783400000000003
3700,2.7600722,2.448,0.0043352,0.0072488,0.027579199999999998
3800,2.8601806000000005,2.544,0.0043506,0.007234600000000001,0.031363199999999994
3900,2.9729854,2.62,0.004321,0.0071814,0.0323108
4000,3.0792352000000003,2.6519999999999997,0.0042838,0.00712,0.034421999999999994
4100,3.174616,2.7659999999999996,0.0042612,0.007072199999999999,0.034961599999999995
4200,3.2856224,2.7840000000000003,0.0042876,0.007091,0.038887599999999994
4300,3.3987848,2.5819414062500003,0.0043058,0.0070868,0.0338974
4400,3.5010076,2.604,0.0043012,0.007055799999999999,0.027715599999999996
4500,3.6025002,2.746,0.0042818000000000005,0.0070134,0.02529
4600,3.7055634,2.79,0.004320200000000001,0.007139000000000001,0.028809
4700,3.8108852,2.966,0.0043806,0.0072756,0.0367296
4800,3.9180688000000004,3.12,0.004386199999999999,0.0073046,0.040367200000000006
4900,4.0304608,3.1260000000000003,0.004361599999999999,0.0072718,0.044202599999999995
5000,4.146325,3.232,0.0043366,0.0072386,0.0494886
