n_samples,time,memory,MAE,RMSE,R2
100,0.0373744,0.167619140625,0.0034671999999999993,0.0046014,-0.34353360000000005
200,0.07887580000000001,0.164171875,0.0031866,0.004113,-0.1936152
300,0.1156038,0.206541015625,0.0031481999999999994,0.004087800000000001,-0.1231878
400,0.15480239999999998,0.216818359375,0.0031196,0.0041167999999999995,-0.0880442
500,0.1906848,0.22156054687500001,0.0030286,0.0040184,-0.06959180000000001
600,0.230539,0.23419140624999998,0.0029000000000000002,0.0038398,-0.059696000000000006
700,0.26609340000000004,0.27222265625,0.0029996,0.004581,-0.027679199999999998
800,0.3089092,0.280748046875,0.003719,0.006236,0.0006638000000000005
900,0.3449648,0.34184375,0.0037734000000000005,0.0063196,0.0008894000000000006
1000,0.38710659999999997,0.195796875,0.003712,0.0062118,0.0005855999999999986
1100,0.424031,0.263416015625,0.0036072,0.0060371999999999995,0.004886
1200,0.4613308,0.251421875,0.0034952000000000004,0.0058406,0.011604600000000003
1300,0.49907120000000005,0.30933203125000003,0.0034121999999999998,0.005671400000000001,0.022146600000000002
1400,0.5368679999999999,0.366337890625,0.0036476,0.0062402,0.026324400000000005
1500,0.5787544,0.40441210937500005,0.0038096,0.006545200000000001,0.018600000000000002
1600,0.6194189999999999,0.416841796875,0.0037668,0.006490599999999999,0.020372
1700,0.6645323999999999,0.437556640625,0.0036864000000000003,0.006381200000000001,0.024325799999999998
1800,0.7225530000000001,0.522103515625,0.0036912,0.006347,0.0302594
1900,0.765752,0.597728515625,0.0037202,0.006345399999999999,0.0321582
2000,0.8104272,0.61202734375,0.0036680000000000003,0.0062582,0.032364000000000004
2100,0.8572098,0.64432421875,0.0038036,0.0065266000000000005,0.028798400000000002
2200,0.9077054,0.634146484375,0.0038244,0.0065888000000000006,0.0284354
2300,0.9527824,0.689109375,0.003937,0.006897599999999999,0.0306856
2400,1.0010284,0.7192578125000001,0.0041438000000000004,0.007215399999999999,0.023923400000000004
2500,1.0489266,0.7336875,0.004188600000000001,0.007221,0.0196744
2600,1.1011388,0.713841796875,0.0041344,0.0071330000000000005,0.020523800000000002
2700,1.1506307999999998,0.779857421875,0.0041448,0.007146,0.026509800000000007
2800,1.200271,0.815966796875,0.0043384,0.0074368,0.025334799999999998
2900,1.2493834,0.829345703125,0.0043792,0.007481,0.022798199999999998
3000,1.3011924000000001,0.8359355468749999,0.0043808,0.007453399999999999,0.022402399999999996
3100,1.3533582000000002,0.838662109375,0.004338,0.007374,0.024303199999999997
3200,1.4059101999999999,0.8400429687500001,0.0042896,0.0072852,0.0285432
3300,1.4578478,0.8187617187499999,0.004249,0.0072012,0.0343842
3400,1.5084016,0.845958984375,0.00432,0.0073566,0.030391199999999997
3500,1.5596932000000001,0.8497832031250001,0.0043006,0.007334600000000001,0.03148360000000001
3600,1.6143830000000001,0.8483691406249999,0.0042721999999999994,0.0072794,0.034198400000000004
3700,1.6649684,0.854611328125,0.0042398,0.007209599999999999,0.0383784
3800,1.7172272,0.8782285156249999,0.0042654,0.0072048,0.0400156
3900,1.7692945999999998,0.8865292968749999,0.0042406,0.0071544,0.0402366
4000,1.8239528,0.8953085937499999,0.004203800000000001,0.0070945999999999995,0.041811799999999996
4100,1.8769364000000004,0.89694921875,0.0041826,0.0070480000000000004,0.042236800000000005
4200,1.9301842,0.8927285156250001,0.0042052,0.0070615999999999995,0.047392
4300,1.984384,0.9285488281250001,0.0041936000000000005,0.007033599999999999,0.0487442
4400,2.0392074,0.9461777343750001,0.0041562000000000005,0.0069786,0.0493712
4500,2.0934844,0.95398046875,0.0041268,0.0069274,0.0495424
4600,2.1471612,0.95959765625,0.004159,0.0070377999999999994,0.05565640000000001
4700,2.2042984,0.9726874999999999,0.0042266,0.007182999999999999,0.061031999999999996
4800,2.2583106,0.9806445312500001,0.0042342000000000005,0.0072192,0.06329320000000001
4900,2.3122638,0.996892578125,0.004217199999999999,0.007192,0.0659136
5000,2.3666679999999998,1.00325390625,0.0042006000000000005,0.007163999999999999,0.06993619999999999
5100,2.4250912,1.01703125,0.0042492,0.007228,0.0795322
5200,2.4819442,1.0256953125,0.0042378,0.0072048,0.08214519999999999
5300,2.5358852,1.028068359375,0.004206,0.0071568,0.0838168
5400,2.5908257999999997,1.0327968749999998,0.0042012,0.007138,0.085396
5500,2.6496006000000003,1.041693359375,0.004195,0.007115400000000001,0.08509499999999999
5600,2.7083378,1.0462109375,0.0041982,0.007125600000000001,0.0880068
5700,2.7659136,1.050556640625,0.0042144,0.0071443999999999995,0.09089479999999998
5800,2.8210634,1.0574824218749999,0.0041958,0.007113799999999999,0.09244939999999999
5900,2.8796182000000003,1.06566015625,0.0041762,0.007082199999999999,0.09322440000000001
6000,2.9358864,1.06583984375,0.0041586,0.007051,0.0930736
6100,2.9930722,1.05584375,0.004137,0.0070108,0.0944152
6200,3.049227,1.0498574218749999,0.0041114,0.0069674,0.0958974
6300,3.1070794,1.0358574218749999,0.004084599999999999,0.0069216,0.09793900000000001
6400,3.1668266000000003,1.0478574218749999,0.0040646,0.0068796,0.10066300000000002
6500,3.2236736,1.064021484375,0.0040502,0.0068454,0.10118
6600,3.2786622000000003,1.098185546875,0.0040232,0.006803399999999999,0.10219999999999999
6700,3.3382776,1.093548828125,0.0039966,0.0067612,0.10404360000000001
6800,3.3957502000000006,1.081806640625,0.003972600000000001,0.0067202,0.10626640000000001
6900,3.4524348,1.0879980468750001,0.0039604,0.0066888,0.1091188
7000,3.50854,1.12936328125,0.0039574,0.0066672,0.1107216
7100,3.5682418,1.15015625,0.003948200000000001,0.006643399999999999,0.11025120000000002
7200,3.6300048000000005,1.162671875,0.0039274,0.006610199999999999,0.11145179999999999
7300,3.6893892,1.1864453124999998,0.0039034,0.0065731999999999995,0.1133364
7400,3.7506505999999993,1.1919199218750003,0.0039076,0.0065823999999999995,0.11754339999999999
7500,3.812045,1.228123046875,0.0039258,0.0066034,0.1217042
7600,3.8720596,1.27,0.003936,0.0066170000000000005,0.1239624
7700,3.933105,1.2980000000000003,0.0039364,0.0066166,0.12593400000000002
7800,3.9975324,1.297533203125,0.0039206,0.006593,0.12725999999999998
7900,4.061358799999999,1.328,0.0039134,0.006572800000000001,0.1287864
8000,4.1226102,1.352,0.0039186,0.006563000000000001,0.129244
8100,4.1868716,1.374,0.0039156,0.006547,0.128975
8200,4.2521,1.384,0.003945,0.0065778,0.1317702
8300,4.317377,1.41,0.0039652,0.0065956,0.1310176
8400,4.384685,1.422,0.0039534,0.0065778,0.131691
8500,4.450050200000001,1.452,0.0039348000000000005,0.006552199999999999,0.1321334
8600,4.529810599999999,1.47,0.003910800000000001,0.00652,0.13327479999999997
8700,4.5962288000000004,1.478,0.0038886,0.0064886,0.13538659999999997
8800,4.6690686,1.47,0.0038748,0.006462000000000001,0.1365636
8900,4.7369084,1.5099999999999998,0.0038762,0.006449399999999999,0.1377372
9000,4.8046092,1.538,0.0038678000000000002,0.006429,0.13766340000000002
9100,4.873054000000001,1.5619999999999998,0.0038842,0.0064488,0.14241920000000002
9200,4.9419728,1.582,0.0038906,0.0064512,0.144927
9300,5.015973,1.5899999999999999,0.0038854,0.006437200000000001,0.1447064
9400,5.084909399999999,1.6239999999999999,0.0038766,0.006425999999999999,0.1452646
9500,5.1555964,1.638,0.0038808000000000002,0.006431000000000001,0.14408820000000003
9600,5.2253978000000005,1.6620000000000001,0.0038698000000000005,0.0064176,0.14424979999999998
9700,5.2973548,1.6460000000000001,0.0038615999999999998,0.006403600000000001,0.1443596
9800,5.3701554,1.6439999999999997,0.0038495999999999995,0.0063846000000000016,0.144283
9900,5.4443322,1.612,0.0038351999999999995,0.006361599999999999,0.1452116
10000,5.5147254000000006,1.6600000000000001,0.0038196000000000003,0.006338399999999999,0.14603719999999998
10100,5.5865051999999995,1.666,0.0038012,0.0063124,0.1470256
10200,5.659123400000001,1.6920000000000002,0.0037829999999999995,0.0062862000000000005,0.1483188
10300,5.7334304000000005,1.714,0.0037670000000000004,0.0062612,0.1497122
10400,5.806655,1.736,0.0037624000000000004,0.0062543999999999985,0.1524384
10500,5.8841054,1.796,0.0037712,0.0062618,0.1547862
10600,5.960348199999999,1.834,0.0037744,0.0062652,0.1540288
10700,6.03789,1.826,0.0037718,0.0062614,0.1533642
10800,6.116594399999999,1.8279999999999998,0.0037568,0.006239,0.1545366
10900,6.191802,1.85,0.0037419999999999997,0.0062163999999999995,0.15625459999999997
