n_samples,time,memory,MAE,RMSE,R2
100,0.0203092,0.15804296875,4.2991824,5.376394,-0.14742660000000002
200,0.044585,0.050130859375,4.1099828,5.109551,-0.0787272
300,0.06353139999999999,0.239841796875,4.044238399999999,5.0044596,-0.0065836
400,0.0858838,0.22286132812499998,3.9939459999999998,4.9196264,0.0184304
500,0.10890819999999998,0.272716796875,3.9351048,4.8474934,0.0464164
600,0.132381,0.27725390625,3.9255932000000002,4.8124318,0.067859
700,0.1562414,0.296794921875,3.8902774,4.757099000000001,0.08098639999999999
800,0.1809476,0.31034179687499996,3.868522,4.7237144,0.08974279999999998
900,0.2054316,0.332595703125,3.8303056,4.674943600000001,0.1066894
1000,0.2305256,0.35359765625,3.7902288,4.6301564,0.1248208
1100,0.2561707999999999,0.39609179687499996,3.8063963999999997,4.6388478,0.13196219999999997
1200,0.2833818,0.44227343750000003,3.7795029999999996,4.6073097999999995,0.13863540000000002
1300,0.30973759999999995,0.47948242187500006,3.7452289999999997,4.567917400000001,0.14660860000000003
1400,0.336911,0.51190625,3.7237953999999993,4.546047799999999,0.16004639999999998
1500,0.36439560000000004,0.50691015625,3.6934076000000005,4.512071999999999,0.173851
1600,0.3943308,0.5456269531250001,3.6715843999999995,4.4877776,0.18244700000000003
1700,0.4244692,0.561947265625,3.662328,4.476308,0.1932164
1800,0.4539786,0.620013671875,3.6409934,4.4512968,0.19967459999999998
1900,0.4830082,0.6546113281249999,3.6260433999999995,4.4337148,0.2073918
2000,0.5139469999999999,0.668763671875,3.6022633999999996,4.4070916,0.2177928
2100,0.5453072,0.67149609375,3.5835022000000003,4.3873424000000005,0.22564160000000003
2200,0.5787492000000001,0.67809765625,3.5678454000000004,4.368095800000001,0.23349440000000002
2300,0.6089586,0.711462890625,3.5469676,4.345633,0.2400098
2400,0.6420134,0.6905703125,3.5296824,4.3244998,0.24741080000000001
2500,0.6733078,0.748568359375,3.5130784000000004,4.3067228,0.2531924
2600,0.7056352,0.7692343750000001,3.498591,4.2921982,0.25884799999999997
2700,0.740744,0.74679296875,3.4801174,4.2722962,0.2641018
2800,0.7736732,0.77777734375,3.4668390000000002,4.2572022,0.2696734
2900,0.8071824,0.81627734375,3.4589337999999996,4.2485318,0.2750768
3000,0.8406206,0.8392792968749999,3.4454028,4.2337358,0.280408
3100,0.8753350000000001,0.830548828125,3.434641,4.219014799999999,0.2849828
3200,0.9110724000000001,0.851033203125,3.4196274000000004,4.2008964,0.29079580000000005
3300,0.9455536,0.8877070312500001,3.4027038,4.1834484000000005,0.29525180000000006
3400,0.9835076,0.8828554687500001,3.3885778,4.1668883999999995,0.2990348
3500,1.0177424,0.9266015625000001,3.3769064,4.153224,0.3041146
3600,1.0533358,0.94330859375,3.3638202,4.1385202,0.308476
3700,1.0901565999999998,0.9547167968749999,3.3514758000000002,4.1234848,0.313668
3800,1.1272889999999998,0.969634765625,3.3412079999999995,4.111241799999999,0.3193744
3900,1.1659128,0.97956640625,3.3300648,4.0986234,0.32234619999999997
4000,1.2035221999999999,1.0142460937500002,3.3186756,4.085348,0.3267176
4100,1.244213,1.0659980468749999,3.3055931999999997,4.0719427999999995,0.329999
4200,1.2828082000000003,1.1235859375000001,3.2985946,4.0641940000000005,0.332963
4300,1.3224394,1.1540000000000001,3.2912388,4.055123999999999,0.33563560000000003
4400,1.3645942,1.17,3.2846908,4.0464298,0.3391048
4500,1.4052078,1.198,3.2749036000000005,4.035600400000001,0.3429738
4600,1.4453216,1.214,3.2657032,4.0251464,0.3460944
4700,1.4871552000000001,1.2260000000000002,3.2575418,4.0155937999999995,0.3489508
4800,1.5307426,1.224,3.2469133999999995,4.004588200000001,0.35226820000000003
4900,1.572267,1.2500000000000002,3.2359929999999997,3.9932866000000002,0.3559878
5000,1.6157793999999999,1.262,3.2276398,3.9846128000000007,0.3589634
5100,1.6606429999999999,1.25,3.2211196,3.9768549999999996,0.36257079999999997
5200,1.7028590000000001,1.2680000000000002,3.2133789999999998,3.9684246,0.365703
5300,1.7446759999999997,1.314,3.2039906,3.9576036,0.3694056
5400,1.7872128,1.33,3.199486,3.9522432000000003,0.3715618
