n_samples,time,memory,MAE,RMSE,R2
100,0.035586799999999995,0.263064453125,28984.6276114,43168.4544304,-0.045170999999999996
200,0.0785878,0.19065429687499996,28064.267131599998,39729.707330799996,-0.0291734
300,0.1112602,0.281587890625,28238.579718599998,39365.2445998,-0.0380766
400,0.1548776,0.0280703125,27741.242900400004,41133.079998999994,-0.038605999999999994
500,0.18656160000000002,0.45739843750000003,28347.973819,43452.438803000005,-0.0090546
600,0.22530160000000002,0.58339453125,28802.467347799997,46725.98595719999,0.0048134
700,0.2760224,0.719646484375,29787.5509022,50758.9617932,0.0291518
800,0.3233924,1.03536328125,30102.796437599998,52843.15546939999,0.05534199999999999
900,0.3774326,1.214,30391.839233,53742.9901938,0.056563199999999994
1000,0.43573380000000006,1.342,30276.064867,53681.31773600001,0.0569872
1100,0.49899740000000004,1.388,30474.690615599997,54030.2509858,0.0583684
1200,0.561831,1.4899999999999998,30546.537297000003,54423.3811586,0.06154479999999999
1300,0.6271178,1.5659999999999998,30274.657216600004,53754.212302199994,0.0648176
1400,0.7201055999999999,1.634,30185.639624199997,53759.937919,0.07314860000000001
1500,0.7951278,1.5539999999999998,30244.232188200003,53646.423247599996,0.0772128
1600,0.8616846,1.6600000000000001,30324.021068000002,53623.0886952,0.07694419999999999
1700,0.9305478,1.7459999999999998,30213.9144648,53496.154992,0.0805818
1800,1.0063078,1.7600000000000002,30032.362509,53055.9881976,0.0819668
1900,1.0835618,1.7419999999999998,29950.330188,52799.1025336,0.0831344
2000,1.1640590000000002,1.738,29718.755408000005,52147.3926722,0.0830252
2100,1.2427394,1.834,29600.160040400002,51762.6966742,0.0850114
2200,1.318267,1.966,29527.1176912,51709.3623586,0.08931739999999999
2300,1.3975828,2.002,29330.1938432,51393.0607484,0.0904468
2400,1.4764818,2.114,29228.4760908,51140.1385302,0.0944548
2500,1.5583366,2.194,29200.161335199995,51015.3518706,0.09777899999999999
2600,1.6432384,2.2299999999999995,29327.4524362,51592.480903,0.0944582
2700,1.7310694000000002,2.2459999999999996,29244.3968256,51573.7334714,0.0960422
2800,1.8172134,2.316,29288.2436618,51604.2505316,0.09974659999999999
2900,1.9034802,2.38,29440.022954800002,52061.88828880001,0.09919179999999998
3000,1.9995053999999999,2.2359999999999998,29488.677826400002,52250.608095799995,0.0994862
3100,2.0996721999999997,2.104,29486.9861984,52250.661299600004,0.1014268
3200,2.1886216,2.196,29452.648496800004,52443.455204800004,0.10140579999999999
3300,2.2844314,2.1,29427.082906800002,52491.79917479999,0.1026626
3400,2.374009,2.126,29296.1170682,52255.7927718,0.10511
3500,2.4624930000000003,2.12,29251.333569800005,52209.906990400006,0.10592660000000001
3600,2.5437388,2.2640000000000002,29228.869495799998,51992.8446522,0.106894
3700,2.6287458,2.386,29109.819568,51681.011517,0.10824960000000002
3800,2.7172968000000006,2.466,29019.08587,51467.49958779999,0.10876699999999999
3900,2.8097925999999998,2.508,28886.5882874,51387.6412166,0.10759840000000001
4000,2.950323,2.5980000000000003,28786.826072999997,51244.855577199996,0.10812139999999999
4100,3.04376,2.66,28812.107029199997,51599.942574400004,0.10513639999999999
4200,3.1389526,2.72,28788.5073118,51522.880806999994,0.1046918
4300,3.2354563999999995,2.778,28778.718762599998,51615.4673872,0.10343260000000001
4400,3.3371654,2.7979999999999996,28736.060128,51461.0466806,0.1042206
4500,3.4452418000000002,2.7640000000000002,28770.238251200004,51545.017619599996,0.10419880000000001
4600,3.54645,2.8,28742.4605142,51644.892071199996,0.10198479999999999
4700,3.6478499999999996,2.8419999999999996,28724.3858502,51846.4174138,0.09914680000000001
4800,3.752075,2.89,28684.0845168,51791.8057748,0.0984048
4900,3.8556901999999993,2.954,28640.3713102,51787.2957804,0.0987838
5000,3.9593497999999996,3.0279999999999996,28698.2019334,52064.0519696,0.099657
5100,4.095182799999999,2.9720000000000004,28669.8522736,52095.0155992,0.1001948
5200,4.1972249999999995,3.076,28679.160461399995,52217.9082736,0.1005182
5300,4.3036693999999995,3.112,28565.548766600004,51994.3023762,0.1020816
5400,4.4112622,3.1919999999999997,28492.3577238,51806.3197806,0.10318159999999998
5500,4.520328000000001,3.2239999999999993,28438.7518774,51674.030822,0.1043276
5600,4.6394024,3.172,28408.037126,51728.19634339999,0.1044896
5700,4.755229,3.1279999999999997,28389.853917200002,51803.8178222,0.1041128
5800,4.8934876,3.1479999999999997,28345.818631000002,51669.5082538,0.1057564
5900,5.0055188,3.172,28254.203022399997,51555.7371002,0.1066762
6000,5.1150234,3.29,28196.5601522,51491.473290199996,0.107043
6100,5.236895200000001,3.224,28090.807455599996,51302.3722018,0.10790580000000001
6200,5.347682000000001,3.4160000000000004,28054.367148,51164.6907588,0.1088036
6300,5.4979906,3.3899999999999997,28013.033634400002,51048.2315728,0.1115048
6400,5.6157662,3.4859999999999998,27982.202241600004,51063.9217612,0.11226799999999999
6500,5.734244199999999,3.6119999999999997,27991.844433600003,51105.0115432,0.11248660000000002
6600,5.8553258,3.7019999999999995,27952.915448200005,51019.503686,0.1140182
6700,5.978189599999999,3.8239999999999994,27910.7498624,50909.258054599995,0.11459680000000001
6800,6.1029016,3.9199999999999995,27901.399467600004,50893.1875898,0.1159862
6900,6.229836000000001,4.023999999999999,27891.0873136,50829.67311719999,0.116797
7000,6.360369,4.088,27836.3732212,50713.4603586,0.11797499999999998
7100,6.4926276000000005,4.16,27749.073564600003,50533.0746436,0.1191284
7200,6.6257666,4.214,27630.1614796,50367.0419546,0.11933919999999998
7300,6.7604136,4.272,27560.8444928,50239.414061799995,0.12030339999999999
7400,6.895068,4.38,27548.0723526,50165.284860600004,0.12214859999999998
7500,7.0370114,4.4239999999999995,27542.025796199996,50094.25375719999,0.12270460000000001
7600,7.1794408,4.4719999999999995,27514.192296200003,49976.232858999996,0.1237284
7700,7.3268668,4.484,27465.160590199997,49838.233476999994,0.1249602
7800,7.466197999999999,4.586,27488.7279066,49951.6983274,0.12469820000000001
7900,7.6107488000000005,4.648,27498.510390400003,50040.6924316,0.1247236
8000,7.760783599999999,4.662,27457.724433199997,49987.7236338,0.1253108
8100,7.9154522,4.6160000000000005,27395.374618399997,49826.66808339999,0.1256658
8200,8.0762368,4.726,27329.6031282,49671.2504668,0.12705039999999998
8300,8.2260606,4.816000000000001,27268.698830800004,49574.4384418,0.1280366
8400,8.3762934,4.902,27251.681336999998,49568.633182,0.128972
8500,8.531566000000002,4.9879999999999995,27309.017126799998,49803.3802512,0.127922
8600,8.692572799999999,4.93,27332.017911000003,49996.2294648,0.1276094
8700,8.848813799999999,5.026,27306.300988199997,50033.1165424,0.127463
8800,9.0032596,5.146,27236.295642399997,49923.5091236,0.12849020000000003
8900,9.162688000000001,5.2219999999999995,27172.023714600004,49869.751891,0.12887559999999998
9000,9.3294378,5.242,27109.28149,49788.208941000004,0.1291066
9100,9.493405200000002,5.28,27073.5041784,49733.7732314,0.12952319999999998
9200,9.6563954,5.374,27060.270408200002,49724.87767,0.1298902
9300,9.8248602,5.523999999999999,27089.369259799998,49844.2903028,0.13077619999999998
9400,9.992957200000001,5.636,27045.217602800003,49789.82914079999,0.13097759999999997
9500,10.1619294,5.772,27017.1411858,49742.7045862,0.132324
9600,10.3359262,5.896,26973.406130199997,49698.991010800004,0.13303159999999997
9700,10.5117222,5.998,26975.6171414,49781.6374324,0.13450120000000002
9800,10.696414999999998,6.042,26958.8859864,49752.142871599994,0.1361558
9900,10.878869199999999,6.13,26964.3944624,49840.843092,0.1362408
10000,11.064773,6.176,26966.4147568,49926.6950324,0.1355226
10100,11.2506936,6.266,26958.944537199997,49967.613803399996,0.1355442
10200,11.4443944,6.324,26948.933574399998,49911.38566020001,0.13652140000000001
10300,11.651676600000002,6.406000000000001,26914.2212206,49837.810083000004,0.1374524
10400,11.8416842,6.524000000000001,26918.491028800003,49912.1956612,0.13740259999999999
10500,12.040997199999998,6.632,26902.7860038,49858.458332,0.13766479999999998
10600,12.2433602,6.63,26896.8361552,49881.3388316,0.1379602
10700,12.441261399999998,6.703999999999999,26882.7939626,49899.2250278,0.13817859999999998
10800,12.647197599999998,6.686,26883.7834196,49929.152912800004,0.13865080000000002
10900,12.8625116,6.814,26873.386100199998,49957.0526104,0.1391676
11000,13.0662026,6.901999999999999,26832.710884400003,49839.921478599994,0.1397358
11100,13.269803200000002,7.0200000000000005,26814.8106988,49812.451570799996,0.14015539999999999
11200,13.477708400000001,7.114,26798.748926599998,49761.3521044,0.1407162
11300,13.690786600000001,7.133999999999999,26794.9657802,49748.507187,0.14137819999999998
11400,13.904158999999998,7.15,26779.7426372,49695.4242048,0.14116279999999998
11500,14.1202642,7.146000000000001,26775.5361094,49741.3270586,0.1403348
11600,14.332486400000002,7.231999999999999,26786.0714652,49832.8811784,0.1400186
11700,14.546715800000001,7.337999999999999,26772.738569600002,49823.9009268,0.14033440000000003
11800,14.765428600000002,7.461999999999999,26787.0733152,49950.9381514,0.1410162
11900,14.989011199999998,7.465999999999999,26769.805650399998,49907.061407199995,0.1414182
12000,15.211433599999998,7.470000000000001,26725.664715000003,49814.228447,0.1421986
12100,15.437366599999999,7.4959999999999996,26707.0553534,49824.4741828,0.14150820000000003
12200,15.662233,7.5200000000000005,26669.183292,49736.979421599994,0.1414806
12300,15.883060799999999,7.65,26623.374413999998,49649.64286380001,0.1415646
12400,16.1124768,7.618,26579.650983,49542.560391399995,0.14222620000000002
12500,16.335327,7.736,26582.196123400005,49606.032415,0.1423878
12600,16.5614314,7.83,26542.477486,49512.2955172,0.1428766
