n_samples,time,memory,MAE,RMSE,R2
100,0.0453348,0.020302734375,48666.19877060001,64439.76607499999,-1.3290998
200,0.08236299999999999,0.020703125,46550.7201548,60836.2636012,-1.4137972
300,0.1168988,0.020703125,46180.1250882,60216.3390458,-1.4292294
400,0.15155780000000002,0.020703125,45070.199566799994,60582.673719,-1.2661864
500,0.1860712,0.020703125,46248.2335662,63361.068764999996,-1.1487614000000002
600,0.22074439999999998,0.020703125,47362.540887200004,66609.068713,-1.0243238
700,0.25529499999999994,0.020703125,48307.3379842,70659.77938,-0.887077
800,0.2899062,0.020703125,49493.5654032,73515.4219872,-0.8292252
900,0.32450940000000006,0.020703125,49649.430482,74331.206494,-0.805077
1000,0.35908680000000004,0.020703125,49397.0059184,74130.2830764,-0.7982822
1100,0.3920182,0.020703125,49396.727309199996,74429.0536174,-0.7869714
1200,0.42212580000000005,0.020703125,49754.041191799995,75037.8901132,-0.7841020000000001
1300,0.4522166,0.020703125,49660.5383664,74533.51651259999,-0.7980198
1400,0.48231719999999995,0.020703125,49938.8914084,74907.6306388,-0.7997944
1500,0.5123178,0.020703125,50215.1063108,75097.50535119999,-0.8081964000000001
1600,0.5423842000000001,0.020703125,50398.0716106,75194.8911096,-0.8152536000000001
1700,0.572437,0.020703125,50369.194326799996,75158.7530914,-0.8147768000000001
1800,0.6025284,0.020703125,50181.910161399996,74728.1321132,-0.821208
1900,0.6325656,0.020703125,50035.2855546,74460.48242300001,-0.823359
2000,0.6626306,0.020703125,49666.2201192,73711.43916820001,-0.8320576000000001
2100,0.6927217999999999,0.020703125,49517.8485536,73360.0843054,-0.8377658
2200,0.7228172,0.020703125,49611.35699359999,73477.7183928,-0.8386275999999999
2300,0.7528324,0.020703125,49452.7114294,73151.3261158,-0.8426745999999999
2400,0.7828712,0.020703125,49422.307168,73021.4074766,-0.8461972
2500,0.8128540000000001,0.020703125,49448.4423894,73011.9886662,-0.8479644000000001
2600,0.8428163999999999,0.020703125,49567.5384638,73462.9149474,-0.8360436
2700,0.872829,0.020703125,49472.7957764,73420.808931,-0.8320024
2800,0.9028499999999999,0.020703125,49474.3224282,73527.2805666,-0.8275704000000002
2900,0.9329166000000001,0.020703125,49699.7027838,74019.55496140002,-0.8208893999999999
3000,0.9629752,0.020703125,49658.7909986,74147.0567118,-0.8134356
3100,0.9929551999999999,0.020703125,49626.0453314,74169.3795922,-0.8106446
3200,1.0229664,0.020703125,49593.3989072,74300.7857488,-0.8036756
3300,1.0529696,0.020703125,49540.7666798,74333.8884924,-0.7995471999999999
3400,1.0829572,0.020703125,49434.775477200004,74136.9970486,-0.8013160000000001
3500,1.1129072,0.020703125,49333.95832980001,74056.32597100001,-0.7988
3600,1.1430066,0.020703125,49318.0052536,73897.5284966,-0.8041086
3700,1.1730667999999997,0.020703125,49249.186803200006,73638.84851780001,-0.8104348
3800,1.2030972,0.020703125,49215.45386940001,73460.71717719999,-0.8155927999999999
3900,1.2330206000000001,0.020703125,49077.3643014,73282.0638942,-0.8148184
4000,1.2629329999999999,0.020703125,48920.963847600004,73080.06493899999,-0.8139252000000001
4100,1.2928686,0.020703125,48916.192928000004,73288.3469846,-0.805232
4200,1.3229187999999998,0.020703125,48926.5511234,73223.3379686,-0.8083221999999999
4300,1.3529144000000002,0.020703125,48821.6413224,73199.3127368,-0.8031996000000001
4400,1.3829284,0.020703125,48726.8809764,73034.5645504,-0.8042692
4500,1.4129090000000002,0.020703125,48724.98857080001,73097.8147912,-0.8015222
4600,1.442907,0.020703125,48605.744992,73048.4696528,-0.7966666
4700,1.4728940000000001,0.020703125,48524.94448780001,73089.5593258,-0.7903764
4800,1.5028126,0.020703125,48456.726804399994,72985.85781799999,-0.7905462
4900,1.5327575999999998,0.020703125,48475.056507,73002.427235,-0.7908042
5000,1.5627062,0.020703125,48551.154161599996,73285.8335922,-0.7838692
5100,1.5925732,0.020703125,48512.1796832,73297.10904659999,-0.7812494
5200,1.622586,0.020703125,48487.9265166,73385.571532,-0.776546
5300,1.6525378,0.020703125,48291.4602348,73121.4305246,-0.775875
5400,1.6825426,0.020703125,48156.531128200004,72913.02467,-0.7764192
5500,1.7124203999999998,0.020703125,48115.352295000004,72808.3347692,-0.7781526
5600,1.7423686,0.020703125,48016.4383542,72793.15470380001,-0.7733557999999999
5700,1.7723470000000003,0.020703125,47969.6469868,72815.02561819999,-0.769982
5800,1.8023272000000001,0.020703125,47950.650386,72733.5834124,-0.7719802
5900,1.8363722,0.020703125,47866.4126948,72611.7125918,-0.7719992
6000,1.8709074,0.020703125,47824.1081154,72542.3619936,-0.7722912
6100,1.9053954000000002,0.020703125,47679.738583599996,72321.33105840001,-0.7728151999999999
6200,1.9400614,0.020703125,47619.004295599996,72193.77419980001,-0.7743166
6300,1.9746542000000002,0.020703125,47554.0192384,72121.96187819999,-0.7734821999999999
6400,2.0091582,0.020703125,47493.0489734,72113.7033044,-0.770452
6500,2.0437626,0.020703125,47473.905125200006,72137.43221219999,-0.768336
6600,2.0783546,0.020703125,47405.2500858,72060.5568628,-0.7674478
6700,2.1128202000000003,0.020703125,47338.03729980001,71943.6329024,-0.7681848
