n_samples,time,memory,MAE,RMSE,R2
100,0.0359386,0.43563085937500007,28984.6276114,43168.4544304,-0.045170999999999996
200,0.20197539999999997,0.12475195312500001,28064.267131599998,39729.707330799996,-0.0291734
300,0.23040159999999998,0.5383300781250001,26874.815299799997,38510.325729599994,0.005960599999999999
400,0.36370879999999994,0.41952929687499996,26045.981807199998,39838.4777128,0.024399999999999998
500,0.4456493999999999,0.5295957031249999,26558.8507034,41976.4633872,0.05815539999999999
600,0.5650435999999999,0.6420546875,27096.138686600003,44975.30608339999,0.0755728
700,0.6518906,0.700638671875,27881.846521400003,48938.8874782,0.09143939999999999
800,0.7549001999999999,0.523255859375,28455.903357199997,51755.412296,0.09072240000000001
900,0.7950099999999999,0.938072265625,28362.966004999995,51724.091313799996,0.1237002
1000,0.8741822000000001,1.2449296874999998,28083.9212814,51434.4541016,0.133935
1100,1.0219046,1.1093984375000001,27983.317668800002,51226.7839108,0.15205680000000002
1200,1.1482476,0.9904472656250001,28105.935195,51135.25431520001,0.1706222
1300,1.2217326,1.1947578125000002,27641.293870200003,50210.3696718,0.1829738
1400,1.3033740000000003,1.37719140625,27615.860948800004,50192.068,0.1905562
1500,1.3852309999999999,1.6260000000000001,27726.072471,50057.6076172,0.1957244
1600,1.4812812,1.964,27644.283634400002,49971.239091999996,0.19721139999999998
1700,1.6404191999999997,1.764,27446.800268600004,49754.409147,0.20405440000000002
1800,1.7330424,2.0100000000000002,27243.3963034,49291.82887119999,0.20691199999999998
1900,1.8837632,2.2159999999999997,27135.618129,48960.443494,0.2110994
2000,2.05597,1.810771484375,26878.987954,48353.023268200006,0.2110068
2100,2.1660486,1.8960000000000001,26701.8309408,47835.96717619999,0.218076
2200,2.3250591999999997,1.9259999999999997,26696.044624199996,47738.54856,0.2236684
2300,2.4065476,2.34,26555.973620000004,47423.15644959999,0.2252662
2400,2.5426164,2.492,26452.529570000002,47183.558289199995,0.22881979999999996
2500,2.6931111999999997,2.7560000000000002,26403.862763999998,47011.36353019999,0.23334760000000002
