n_samples,time,memory,MAE,RMSE,R2
100,0.0302906,0.143822265625,28984.6276114,43168.4544304,-0.045170999999999996
200,0.058499,0.107201171875,28064.267131599998,39729.707330799996,-0.0291734
300,0.081645,0.175673828125,27254.0705052,38613.205372,0.0009875999999999995
400,0.1092544,0.19536914062500002,26682.8000856,39951.9090466,0.0194774
500,0.1354302,0.21026953124999997,27296.757596599997,42408.544184399994,0.0379208
600,0.1589284,0.20179296874999997,27780.7533484,45578.3003898,0.049686
700,0.17797259999999998,0.23633203125,29269.5683738,49858.8412386,0.0567048
800,0.20027879999999998,0.19029687499999998,30254.9652282,52650.6972108,0.058815799999999994
900,0.2194194,0.24967578124999998,31263.5579424,53653.3434306,0.056010399999999995
1000,0.24241539999999998,0.22502539062500002,31460.004631,53674.02987780001,0.054321400000000006
1100,0.2641848,0.235994140625,32171.278214,54124.0973662,0.0505494
1200,0.2874592,0.2321796875,32604.884916599996,54276.70931779999,0.0617572
1300,0.30752060000000003,0.273296875,32511.4832946,53465.4901954,0.068472
1400,0.3304064,0.28034375,32637.0075862,53489.0946828,0.07549919999999999
1500,0.35241580000000006,0.3026171875,32836.5659958,53334.4548252,0.0823374
1600,0.37581420000000004,0.31598828125,32842.11680599999,53179.6263698,0.0858244
1700,0.3972146,0.327486328125,32716.7507692,52955.3818396,0.09330179999999999
1800,0.4212490000000001,0.33364648437499994,32537.500099999997,52456.89358240001,0.09671919999999999
1900,0.44513780000000003,0.3360234375,32478.785064000003,52155.3907216,0.0995442
2000,0.48088319999999996,0.36245312500000004,32274.983035199995,51541.7007596,0.09785780000000002
2100,0.5045296,0.365673828125,32149.983678800003,51105.33615819999,0.10196540000000001
2200,0.5308742000000001,0.34564843749999996,32145.633863999996,51093.2572688,0.10538319999999998
2300,0.553125,0.385578125,31885.4006834,50750.076270000005,0.1074732
2400,0.5780036,0.37092578125,31787.061994,50576.9694174,0.10836280000000001
2500,0.6024472000000001,0.37783203125,31717.287583000005,50365.353678800006,0.113812
2600,0.6275303999999999,0.39326171875,31807.1834742,50681.180302,0.11897519999999999
2700,0.6522517999999999,0.42286328125,31707.5948928,50628.9330918,0.1223446
