n_samples,time,memory,MAE,RMSE,R2
100,0.0355358,0.33954296875,28984.6276114,43168.4544304,-0.045170999999999996
200,0.16212140000000003,0.141283203125,28064.267131599998,39729.707330799996,-0.0291734
300,0.1901582,0.37916015625,27486.922664399997,39049.947591599994,-0.0212212
400,0.3086166,0.11174999999999997,26858.1504404,40737.335069,-0.0162412
500,0.33553560000000004,0.36014453125,27553.710230800003,43251.5801076,0.0007711999999999997
600,0.42477719999999997,0.17271874999999998,28169.821746399997,46511.3641348,0.012867400000000001
700,0.46981700000000004,0.34815234375,29011.150507000002,50135.95621719999,0.0498242
800,0.5319298,0.3589453125,29630.624298600003,52851.3787172,0.0534662
900,0.5884168,0.44567578124999996,29760.1848396,52998.6585068,0.0806742
1000,0.6436143999999999,0.4540078125,29529.358767600002,52828.4133256,0.0865444
1100,0.7094562000000001,0.5417578125,29415.802057600005,52550.22869440001,0.108115
1200,0.7628596,0.681431640625,29452.937196000003,52390.996044,0.129277
1300,0.8371404,0.644865234375,29021.2028742,51446.8057514,0.14236339999999997
1400,0.8871738,0.77403125,28955.7851478,51332.6134108,0.154
1500,0.9756615999999999,0.773736328125,29071.103569600004,51180.103077399996,0.1594946
1600,1.029739,0.8984335937500001,28956.4863862,51074.99276,0.1617912
1700,1.0872818,1.012880859375,28711.804037,50817.2214086,0.1698926
1800,1.1668572000000001,1.007146484375,28425.8624532,50297.5986794,0.174564
1900,1.2599550000000002,1.048046875,28295.5473592,49959.58606819999,0.1786256
2000,1.3305126,1.180484375,28020.5185652,49344.957336800006,0.17847600000000002
2100,1.404561,1.204,27816.514642400005,48813.493693799996,0.1859426
2200,1.4711102,1.314,27802.819873599998,48690.247018,0.19244220000000004
2300,1.5576848,1.3411347656250001,27635.148586000003,48346.09656600001,0.1948224
2400,1.6687657999999999,1.2526503906250002,27511.026446000003,48105.9227598,0.198346
2500,1.7527218000000002,1.3039999999999998,27432.372276600003,47900.8584288,0.2041356
2600,1.8232945999999999,1.416,27481.4279646,48251.7268794,0.2075746
2700,1.9212814000000003,1.47,27416.965004800004,48296.46984799999,0.20696499999999998
2800,1.9937387999999998,1.59,27390.939292000003,48219.2229302,0.2137716
2900,2.10992,1.454,27355.100078,48328.6483644,0.22352219999999998
3000,2.1874656000000003,1.5979999999999999,27218.516503799998,48278.5310304,0.23085060000000004
3100,2.290531,1.524,27056.401978600003,48098.406119600004,0.23827020000000002
3200,2.3988326,1.4739999999999998,26917.3557096,48135.7231016,0.2427238
3300,2.5043052,1.3539999999999999,26907.777581399998,48211.7176308,0.2427032
3400,2.5661296000000005,1.5579999999999998,26792.094277199998,47995.237940600004,0.24477600000000002
3500,2.6344866,1.7399999999999998,26728.228121400003,47917.43365659999,0.2466696
3600,2.7252264,1.8399999999999999,26636.6295828,47657.9861636,0.2494388
3700,2.8086246,1.964,26491.322308000003,47326.745181399994,0.251993
3800,2.8889036,2.128,26400.670480599998,47055.192325799995,0.2548688
3900,2.9998158,2.056,26270.210661999998,46867.203871,0.257587
4000,3.1038723999999998,2.038,26178.331343399997,46678.837410399996,0.2597258
4100,3.2095188,2.074,26186.160158799998,46826.5700982,0.2627756
4200,3.314056,2.134,26100.558033200003,46660.7478318,0.2654784
4300,3.4326763999999996,2.072,26049.173092200002,46711.7194874,0.26546
