n_samples,time,memory,MAE,RMSE,R2
100,0.029864999999999996,0.13389453125,1869.6976872,2139.4932022000003,-0.0977058
200,0.0790022,0.05834374999999999,1895.1336058000002,2138.7776462,-0.0509066
300,0.10140040000000002,0.178955078125,1842.0589322,2104.3306062,-0.0495046
400,0.1370706,0.206505859375,1829.6695685999998,2091.3976756,-0.0452372
500,0.17511800000000002,0.162111328125,1799.9957026,2062.3333086000002,-0.0344254
600,0.21307280000000003,0.271568359375,1800.4694082,2055.6273528,-0.0148034
700,0.2414116,0.335693359375,1798.9603452000003,2051.8850906,-0.0073524
800,0.26583680000000004,0.439326171875,1803.0639782000003,2054.0385068,-0.01147
900,0.3092784,0.39769921874999997,1807.7089585999997,2053.6168718,-0.0075098
1000,0.35684319999999997,0.3806328124999999,1817.794326,2062.0926394,-0.0037421999999999998
1100,0.3937908,0.40390429687499996,1814.2490050000001,2061.3275632,-0.0054362
1200,0.42614339999999995,0.446201171875,1819.9090112,2069.0714238,-0.007323399999999999
1300,0.4726184,0.41043945312499996,1816.0090188000001,2067.5714784,-0.006834999999999999
1400,0.5055280000000001,0.43387304687499995,1803.5085092000002,2056.6758286,-0.006755799999999999
1500,0.5425552,0.46105468750000006,1806.5589322,2059.7773962,-0.007112599999999999
1600,0.5904572,0.3762890625,1799.0273912,2052.2762236000003,-0.0065952
1700,0.6156889999999999,0.4867070312499999,1794.6635462,2048.3471138,-0.0039234
1800,0.6527502000000001,0.540869140625,1792.8439475999999,2045.8858284000003,-0.002178
1900,0.6939982,0.522123046875,1784.260182,2036.9681948000002,-0.0015538
2000,0.7482407999999999,0.5360527343749999,1779.4398386,2031.952113,0.00015959999999999998
2100,0.785418,0.5979628906250001,1769.3674468000002,2023.3794174000002,0.0016320000000000002
2200,0.830014,0.681541015625,1770.5162854000002,2023.1788004000002,0.0008394
2300,0.8957465999999998,0.6576035156250001,1761.0050012,2014.1523913999997,0.004417599999999999
2400,0.9289109999999999,0.760158203125,1748.7380322000001,2002.3740125999998,0.006241399999999999
2500,0.9746688000000001,0.745146484375,1735.2667168,1989.8263892,0.009361600000000001
2600,1.026335,0.7716464843749999,1726.2448162,1980.2787285999998,0.0096732
2700,1.0810701999999999,0.7733691406250001,1723.0402282,1976.2571676,0.0091774
2800,1.1257288,0.757255859375,1721.4429106,1974.1247624,0.008783799999999998
2900,1.176225,0.74599609375,1718.0810956,1970.5343298,0.0074005999999999985
3000,1.222629,0.785166015625,1721.0164562000002,1973.0424199999998,0.0067244
3100,1.2640902,0.8468925781250001,1721.2899069999999,1974.5110143999998,0.0056308
3200,1.3197526,0.79118359375,1723.312337,1977.5245566,0.004123
3300,1.3672605999999998,0.7915605468750001,1722.3440772,1976.4817773999998,0.004329599999999999
3400,1.4251573999999998,0.768408203125,1725.121759,1978.966965,0.004478
3500,1.4826115999999998,0.7741835937499999,1726.1394157999998,1979.1645924,0.0045216
3600,1.526843,0.8372265625,1724.9857806,1977.6009242,0.0048894
3700,1.5765632,0.8768828125000001,1723.1178068000002,1976.0913928000002,0.0053346
3800,1.6330120000000001,0.8862558593749998,1722.0310994,1975.8724452,0.0050152
3900,1.6842368,0.9096074218750001,1724.4288602000001,1978.7401402,0.0051719999999999995
4000,1.7300362,0.970390625,1724.4114974,1978.9152576000001,0.0059464
4100,1.7843428,1.00829296875,1723.4582065999998,1978.318425,0.006475800000000001
4200,1.8523581999999998,0.9314003906250001,1722.2674352,1978.5212948,0.0052347999999999995
4300,1.901238,0.92826953125,1720.791863,1977.2740196,0.0045087999999999994
4400,1.9551678,0.940583984375,1722.3274714,1978.7855752,0.0041516
4500,2.0134114,0.9388984375000001,1723.1269518000001,1979.3529758,0.0044796
4600,2.0607556,0.938556640625,1723.5083502000002,1980.091081,0.0049482
4700,2.1059348,1.00721484375,1724.9058774,1982.2492288,0.003718
4800,2.1565382,1.02613671875,1723.9820312,1982.5325896000002,0.004352
4900,2.2003186,1.087716796875,1725.9191814,1985.5531408000002,0.0038252
5000,2.2673614,1.056671875,1727.8717840000002,1987.2981498000001,0.0038475999999999996
5100,2.3365818000000003,1.0323535156249999,1728.6768458,1988.2456868000002,0.0042136000000000005
5200,2.3899307999999997,1.098228515625,1731.9911964000003,1991.5985114,0.0035097999999999996
5300,2.4513162,1.132,1731.7048146000002,1991.6284851999997,0.0026033999999999996
5400,2.5220518,1.125560546875,1730.4808755999998,1990.7838788000001,0.0029758
5500,2.5728554000000003,1.1914921875000002,1732.4565042000002,1993.1796368,0.003871199999999999
5600,2.6175146,1.2959999999999998,1734.4683784000001,1996.3961382000002,0.0031496
5700,2.6774221999999996,1.2702226562499999,1735.6790398,1998.0314236,0.0033685999999999994
5800,2.7472744000000002,1.1812578125000002,1734.7470918,1997.2443094000002,0.0041966
5900,2.7982076,1.206,1735.281483,1998.2155269999998,0.0049374
6000,2.8460736000000004,1.274,1735.3984888,1998.6470824,0.006222
6100,2.8912788,1.3780000000000001,1735.5377700000001,1998.5808562000002,0.0062972
6200,2.9552606,1.348,1736.9088865999997,2000.0919938,0.0059892
6300,3.0082999999999998,1.4139999999999997,1739.701536,2002.2358872,0.006161600000000001
6400,3.0664138000000003,1.452,1739.2476712,2001.8372752,0.0056148000000000005
6500,3.1362183999999997,1.4380000000000002,1741.8271342,2004.0559634,0.005653999999999999
6600,3.1974238,1.468,1741.2774212,2004.0296838,0.0056598
6700,3.2713982,1.5059999999999998,1743.8861232,2006.4135474,0.0059076
6800,3.3337396,1.574,1744.8888040000002,2007.6482486,0.0057984
6900,3.4052952,1.7100000000000002,1747.3687796,2009.8560002,0.006017
7000,3.4871415999999997,1.738,1746.103945,2008.849478,0.006641799999999999
7100,3.5597136,1.8059999999999998,1746.8781760000002,2009.6041458,0.007595600000000001
7200,3.6296758,1.862,1747.6346302000002,2010.2098006,0.0090444
7300,3.6918750000000005,2.0200000000000005,1747.6981920000003,2010.1953647999999,0.010176600000000001
7400,3.7631957999999996,2.124,1745.8792938,2008.4320616,0.0112506
7500,3.8645862,2.114,1742.996344,2006.020024,0.011917599999999999
7600,3.9598518,1.966,1742.3012572,2005.5912359999998,0.012783
7700,4.045049000000001,2.02,1740.6131254,2004.1969726,0.014830199999999998
7800,4.115436600000001,2.116,1739.5717564000001,2003.0179216000001,0.0163924
7900,4.1927466,2.1580000000000004,1741.0153144,2004.4788436000003,0.016227200000000004
8000,4.2791722,2.17,1742.5540084,2006.236322,0.014852399999999998
8100,4.3538634,2.266,1745.1250754,2008.8114179999998,0.013602600000000001
8200,4.4475606,2.228,1746.8064282,2010.3853118,0.012762800000000001
8300,4.529983799999999,2.234,1747.0360865999999,2010.7820180000003,0.0124066
8400,4.6140006,2.218,1747.7071069999997,2011.4278313999998,0.0129224
8500,4.6951886,2.228,1746.784637,2010.9976556000001,0.0138696
8600,4.7638102,2.382,1746.5161906,2011.0437582,0.0145284
8700,4.8552104,2.42,1747.5776237999999,2011.7906719999999,0.0152506
8800,4.9579868000000005,2.4240000000000004,1748.1380894000001,2012.2995544,0.0158854
8900,5.040288200000001,2.476,1748.0011403999997,2012.2514164,0.015912000000000003
9000,5.1201312,2.576,1748.3038465999998,2012.5649096000002,0.0159538
9100,5.2199884,2.5740000000000003,1748.8430326000002,2012.8990774,0.0160386
9200,5.305072399999999,2.624,1749.3124177999998,2013.1641832,0.0157358
9300,5.3820116,2.782,1748.9937003999999,2012.7085594,0.015366
9400,5.4733762,2.812,1749.8547694000001,2013.213752,0.016056800000000003
9500,5.5636528,2.874,1750.9370693999997,2013.935729,0.0164208
9600,5.6472112,3.032,1752.5687202000001,2016.0773973999999,0.014970399999999998
9700,5.7445444,3.146,1754.3556720000001,2017.9538780000003,0.0137666
9800,5.850879,3.186,1755.9900096000001,2019.7184706,0.012895
9900,5.9568281999999995,3.2399999999999998,1756.1975674,2020.2797265999998,0.0124108
10000,6.076195,3.1479999999999997,1757.7271818000002,2022.0626325999997,0.011636
10100,6.185088,3.1119999999999997,1757.3638002,2021.8327082,0.011690200000000001
10200,6.283247,3.1519999999999997,1756.4758699999998,2021.1760466,0.0117442
10300,6.3943712,3.2560000000000002,1756.2338843999999,2021.0390136,0.0105126
10400,6.5159092,3.146,1754.648474,2019.5449593999997,0.0093702
10500,6.6199652,3.246000000000001,1752.5404733999999,2017.3645098000002,0.009651999999999999
10600,6.7234793999999996,3.274,1752.3174466,2016.9640167999999,0.0095008
10700,6.8264152,3.314,1751.2126656,2015.7113648,0.0095478
10800,6.9526106,3.242,1751.2645660000003,2015.3963769999998,0.009434600000000001
10900,7.0587298,3.3280000000000003,1749.4978750000002,2013.5394824,0.0100722
11000,7.187581,3.31,1748.1497886000002,2011.9809052,0.010833800000000001
11100,7.2834304,3.464,1745.9636198,2009.5671842,0.011142800000000001
11200,7.393747,3.4880000000000004,1744.7361964,2008.3322217999998,0.0111034
11300,7.491926599999999,3.6420000000000003,1743.8434424,2007.3351076,0.0113346
11400,7.6082228,3.622,1742.2356462,2005.8565205999998,0.011281
11500,7.7329594,3.618,1742.3235462,2005.7252899999999,0.010986399999999999
11600,7.8431008,3.774,1741.8798528,2005.3760558000001,0.0105066
11700,7.971970400000001,3.7980000000000005,1741.7187225999999,2004.9207596,0.0103638
11800,8.1119752,3.656,1740.0231794000003,2003.0643988,0.010733600000000001
11900,8.2276938,3.694,1738.5813451999998,2001.4688178000001,0.0110658
12000,8.3339042,3.786,1738.8209836,2001.5241044000002,0.0108736
12100,8.436831199999999,3.9419999999999993,1737.8630544,2000.531409,0.01091
12200,8.568856,3.8839999999999995,1738.0882924000002,2000.5456368,0.0107932
12300,8.693836,3.9739999999999993,1736.9762636,1999.5565545999998,0.0108934
12400,8.8248584,3.9419999999999993,1735.5779180000002,1998.4911088000001,0.0108748
12500,8.9314412,4.096,1734.4188548000002,1997.1778824,0.011078000000000001
12600,9.0460352,4.192,1733.6833888,1996.1279714,0.0113536
12700,9.188499799999999,4.140000000000001,1733.4787858,1995.7331804,0.011269399999999999
12800,9.327578200000001,4.042,1734.224861,1996.1921410000002,0.011008
12900,9.441136,4.134,1734.2502368,1996.1631774000002,0.0106722
13000,9.5687886,4.156000000000001,1734.7019732,1996.3352857999998,0.010658400000000002
13100,9.710277600000001,4.106,1734.2741498,1995.781807,0.010613000000000001
13200,9.826476600000001,4.2059999999999995,1734.5115558000002,1995.8064505999998,0.0107928
13300,9.949361999999999,4.316000000000001,1734.7124874,1995.8094972,0.0105128
13400,10.0860176,4.432,1734.7288383999999,1995.6740146,0.010386200000000002
13500,10.2531888,4.3100000000000005,1735.3904156,1996.3046492,0.0101188
13600,10.3902544,4.298,1735.7526965999998,1996.8248594000002,0.009856199999999999
13700,10.507871,4.458,1737.0531728,1998.2141448000002,0.0095304
13800,10.6509426,4.426,1737.6181609999999,1998.9853734,0.0092376
13900,10.792488000000002,4.414,1738.4134832,1999.9380151999999,0.0088848
14000,10.913188,4.5680000000000005,1738.52013,2000.2459912,0.008807600000000002
14100,11.066349800000001,4.534000000000001,1738.908365,2000.5513712,0.009032799999999999
14200,11.202326,4.574,1738.9904402,2000.7234316000001,0.0090718
14300,11.3345782,4.67,1739.7090703999997,2001.4059014,0.009251200000000001
14400,11.475339799999999,4.78,1739.7662794,2001.5326522,0.0093498
14500,11.627081800000001,4.852,1739.8605806,2001.6699876000002,0.009562
14600,11.7805088,4.782,1740.0530191999999,2002.0350750000002,0.008974399999999999
14700,11.911789600000002,4.934,1740.1238323999999,2002.2340609999999,0.0092198
14800,12.054824799999999,5.048,1740.5213726000002,2002.5769361999999,0.008869199999999999
14900,12.206872,5.046,1741.5318596000002,2003.4295564,0.009330399999999999
15000,12.355424200000002,5.204,1740.8655204,2002.782643,0.009727999999999999
15100,12.509125800000001,5.362,1739.9779844,2002.0769106,0.009965000000000002
15200,12.679134999999999,5.346000000000001,1739.0318306000001,2001.2680661999998,0.0102164
15300,12.8453904,5.378,1738.6858272000002,2001.1438418000002,0.010077
15400,13.0093032,5.351999999999999,1738.1047682,2000.7943562,0.010369
15500,13.1953508,5.128,1737.9748334,2000.7691656,0.0106672
15600,13.341410200000002,5.220000000000001,1737.2405842,2000.2361762,0.011025799999999999
15700,13.4899088,5.318,1737.1482838,2000.1280898,0.011513199999999998
