n_samples,time,memory,MAE,RMSE,R2
100,0.027371200000000002,0.044833984375000004,1869.6976872,2139.4932022000003,-0.0977058
200,0.047123599999999995,0.023837890625,1895.1336058000002,2138.7776462,-0.0509066
300,0.0670312,0.0660703125,1838.304813,2094.2842857999995,-0.039536400000000006
400,0.08703419999999999,0.07073046875000001,1826.2498686,2079.5837727999997,-0.033372799999999994
500,0.109046,0.0842890625,1795.7043736,2055.0043512,-0.027005199999999997
600,0.12979979999999997,0.10052734375000001,1799.1801616,2052.8673217999994,-0.012121000000000002
700,0.1479702,0.10689648437499999,1799.7099739999999,2051.4651976,-0.0069267999999999995
800,0.1660232,0.10357812500000001,1797.828028,2045.9735905999999,-0.0035297999999999996
900,0.18349319999999997,0.117646484375,1803.5731136,2046.1299877999998,-0.0001532000000000002
1000,0.20137579999999997,0.11921875,1813.7399896000002,2054.7023706,0.003409999999999999
1100,0.2199052,0.125611328125,1808.5659884000002,2052.6102161999997,0.0030408
1200,0.2387388,0.11859179687500002,1812.8346362,2058.2626086,0.0031829999999999996
1300,0.2568318,0.13276953125,1810.5649537999998,2058.3734602,0.0020988000000000005
1400,0.2750688,0.13724414062499998,1800.3695480000001,2049.8223406,-5.639999999999968e-05
1500,0.29335680000000003,0.13893359375000003,1804.4389318,2053.7289155999997,-0.0012162000000000002
1600,0.3117824,0.14318359375,1794.8173525999998,2045.7337796,-0.00019599999999999983
1700,0.3305822,0.14472265625000003,1791.3452303999998,2042.529414,0.0017619999999999997
1800,0.34969799999999995,0.14364062500000002,1789.4383203999998,2040.1657498,0.0034138000000000003
1900,0.369061,0.15043164062499997,1781.1799740000001,2031.6660660000002,0.0036504000000000003
2000,0.387556,0.158111328125,1777.1876533999998,2026.8932644000001,0.0051237999999999995
2100,0.40635899999999997,0.1607421875,1767.5591838,2018.472099,0.006457600000000001
2200,0.4257852,0.163546875,1769.0903442,2018.2977933999998,0.005649400000000001
2300,0.4446942,0.164599609375,1760.9302665999999,2011.1747490000002,0.007352800000000001
2400,0.4633888,0.16526562500000003,1748.810218,1999.4722464,0.009115000000000002
2500,0.48234319999999997,0.16611718749999999,1737.1197966,1988.5143426,0.010662800000000002
2600,0.5018353999999999,0.16678710937500002,1727.7420120000002,1978.576678,0.0113766
2700,0.5211766,0.167119140625,1724.1031079999998,1973.646287,0.0117958
2800,0.5406259999999999,0.166064453125,1721.6104992,1971.080488,0.011843999999999999
2900,0.5599008000000001,0.17205468750000003,1717.6990513999997,1967.9497229999997,0.0100072
3000,0.579183,0.1693515625,1720.6284433999997,1970.7438978000002,0.009035200000000002
3100,0.5987775999999999,0.175130859375,1721.1853006000001,1971.8763762000003,0.008283
3200,0.6185284,0.17213671875000003,1722.2097474000002,1973.3580623999999,0.0083152
3300,0.6377269999999999,0.173828125,1720.640453,1971.5475764000003,0.0092954
3400,0.6573644,0.176240234375,1723.1139368,1973.8228598,0.009647199999999998
3500,0.677183,0.17894140625000002,1723.5706645999999,1973.6095842000002,0.010103
3600,0.6967272000000001,0.185216796875,1722.9816004,1972.6786749999999,0.0098372
3700,0.716462,0.18988671875000002,1721.3193422,1971.3955528,0.010057400000000001
3800,0.7362838,0.19160546875,1719.8993176,1970.9968922,0.009921
3900,0.756013,0.19700195312500002,1721.6680872000002,1972.9833766,0.010956400000000002
4000,0.7762842,0.20012695312499998,1721.0508724,1972.8481895999998,0.012030599999999999
4100,0.7960768,0.202220703125,1719.8277692,1972.1340420000001,0.0126782
4200,0.8160603999999999,0.201744140625,1719.6202323999998,1973.5140932000002,0.0102608
4300,0.8360406000000001,0.20569140625,1718.3574162,1973.0948964000004,0.008711
4400,0.8561162,0.20671093750000002,1719.8553422,1974.7750406,0.0081818
4500,0.8762677999999999,0.20933203125,1720.4937206000002,1975.3467839999998,0.0085032
4600,0.8965218,0.211369140625,1720.9935021999997,1975.5688726,0.0094868
4700,0.9171258,0.21316015625,1721.7191934000002,1976.9022281999999,0.0090842
4800,0.9372574,0.21321484374999997,1721.311552,1977.4534553999997,0.009443799999999999
4900,0.9576091999999999,0.21539453125,1723.8243594,1980.3994276,0.0089882
5000,0.9779496,0.22060546875,1725.6579422,1982.1179184,0.009032799999999999
5100,0.9981478000000001,0.220859375,1726.3666010000002,1982.7686816,0.009692000000000001
5200,1.0188115999999998,0.220912109375,1729.6299602,1985.8626248,0.009242400000000001
5300,1.0391062,0.222099609375,1728.639907,1985.2994594000004,0.008931600000000001
5400,1.0595066,0.223814453125,1727.8039313999998,1984.7071764,0.009051400000000001
5500,1.0800812,0.226513671875,1730.2516648,1987.2105884,0.0098276
5600,1.1005572,0.22955664062499997,1732.4661724000002,1989.5200842000002,0.0100044
5700,1.1208824,0.23496875,1733.248402,1990.3335864,0.011036
5800,1.141845,0.236767578125,1732.5775635999998,1989.878614,0.0115314
5900,1.162319,0.240283203125,1734.5321614,1992.2505643999998,0.0108732
6000,1.1830475999999999,0.244349609375,1735.5113563999998,1993.3829839999999,0.0114536
6100,1.2041598,0.25017187500000004,1736.2252025999999,1994.2533866,0.0105982
6200,1.2254121999999998,0.25225,1737.7082957999999,1995.685513,0.010366000000000002
6300,1.2464803999999998,0.25787890625,1740.4201264000003,1997.9552842,0.010408200000000001
6400,1.2676935999999999,0.262048828125,1740.567048,1998.2326802,0.0091946
6500,1.2887732,0.264478515625,1743.7640894,2001.2486812,0.0084376
6600,1.3108818,0.27116015625,1744.3229933999999,2002.1067790000002,0.0075688000000000005
6700,1.3326580000000001,0.29953125,1746.7876387999997,2004.2809702,0.008022199999999998
6800,1.3559186,0.305765625,1747.5568707999998,2005.2489288000002,0.0081748
6900,1.3786104,0.327779296875,1750.239227,2007.8109934,0.00804
7000,1.4019188000000002,0.3344296875,1749.5298437999998,2007.5358992000001,0.007941
7100,1.425334,0.34273242187499997,1751.8888608000002,2010.0138012,0.007193
7200,1.4500334000000001,0.3408828125,1754.3040391999998,2012.0809404,0.0072017999999999995
7300,1.4738997999999999,0.34122070312499997,1755.3410278,2013.1289843999998,0.0072878
7400,1.4978896000000002,0.33329101562499996,1754.2651922,2012.2785340000003,0.0074622
7500,1.5209996000000001,0.33759179687499996,1752.203645,2010.7042912000002,0.0072998
7600,1.5446940000000002,0.353140625,1752.967896,2011.6625576,0.006798799999999999
7700,1.568149,0.361265625,1752.9047554,2011.7920354000003,0.007352
7800,1.5922192000000002,0.35949414062499996,1752.9199787999999,2011.7750742,0.0077738
7900,1.6161271999999998,0.3708046875,1754.5586302,2013.1508178,0.0076988000000000004
8000,1.6404938000000002,0.379001953125,1755.2606494,2014.1143944,0.0071024
8100,1.6646866,0.383845703125,1756.9121122000001,2015.6407314,0.0068858
8200,1.6891056,0.39328515625000005,1757.533009,2016.3191946,0.006928800000000001
8300,1.7135387999999998,0.39512304687500005,1756.804925,2015.8619346,0.0074142
8400,1.7377368,0.39699218750000004,1757.1422808,2016.165042,0.0082746
8500,1.7623077999999999,0.396466796875,1757.0460789999997,2016.2106772,0.008755800000000001
8600,1.7867612000000002,0.396408203125,1756.5797322000003,2015.7996816,0.009866
8700,1.8117290000000001,0.394564453125,1757.5565584,2016.3427488000002,0.0107928
8800,1.8361724,0.40405078124999994,1758.2083736,2016.8214022,0.011459800000000001
8900,1.860864,0.40554492187499996,1757.9861392000003,2016.5890678,0.011666800000000001
9000,1.8860252000000002,0.40367968750000005,1758.1166923999997,2016.7689295999996,0.01184
9100,1.9108604,0.40444921875000006,1758.0726611999999,2016.4998363999998,0.012517200000000001
9200,1.9357114,0.41148046875000005,1758.3200160000001,2016.3216898000003,0.0126466
9300,1.9605394,0.418763671875,1757.7396113999998,2015.5537696,0.012581600000000002
9400,1.9856487999999999,0.42208203125,1758.9348372,2016.2501092000002,0.0130918
9500,2.0110926000000005,0.43336718750000003,1760.6267158000003,2017.1913674,0.013242799999999999
9600,2.0362192,0.437638671875,1761.6257582000003,2018.1394220000002,0.012959199999999999
9700,2.0622085999999995,0.43680078125,1762.7829304,2019.1744272,0.012575999999999999
9800,2.0875834,0.440287109375,1763.97009,2020.3982312,0.012237600000000001
9900,2.1128704000000003,0.443134765625,1763.8346608,2020.4651618,0.012235399999999999
10000,2.1381124,0.44620507812499993,1764.9655436,2021.6826933999996,0.012010999999999999
10100,2.1633254,0.44722460937499997,1764.6930392000002,2021.4862962000002,0.0120312
10200,2.1889084,0.44989257812500005,1763.8499782,2020.8904324,0.0120276
10300,2.2142178,0.45382421875,1762.7527777999999,2019.7556786,0.011775
10400,2.2396362000000005,0.45922656250000005,1760.3717576000004,2017.5687235999999,0.0113148
10500,2.2648818000000004,0.46487890624999995,1758.4510756000004,2015.6698786000002,0.0113236
10600,2.2905506000000004,0.466068359375,1758.2285358000001,2015.2293424,0.011210000000000001
10700,2.3162422,0.46705078125000005,1756.8219834000004,2013.7732574000001,0.0114566
10800,2.3419836,0.47509570312499994,1756.6101393999998,2013.170863,0.0116262
10900,2.3679966,0.476318359375,1755.037802,2011.5215540000002,0.0120616
11000,2.3938842,0.47417968750000006,1753.6645766000001,2009.9537646,0.0128336
11100,2.4195384,0.47697265624999996,1751.1771902,2007.3610652,0.013319999999999999
11200,2.4457526,0.476986328125,1749.6736836,2005.8693383999998,0.0135348
11300,2.4720646000000004,0.474685546875,1748.6578304,2004.7201843999999,0.013915199999999999
11400,2.4980415999999996,0.474966796875,1746.9541174,2003.1442744,0.013960400000000001
11500,2.5241786,0.47549414062500006,1746.7985472,2002.858884,0.013817600000000003
11600,2.550399,0.48036523437499995,1746.1808544,2002.2256712000003,0.013620000000000002
11700,2.5764736,0.48054101562499996,1745.8852886,2001.7083136,0.0135408
11800,2.6025072,0.48312890625,1744.1511925999998,1999.9320661999998,0.0138326
11900,2.6291214,0.48516992187499997,1742.8413872,1998.4055465999998,0.0140974
12000,2.6554446,0.48820312500000007,1742.9274474,1998.2514886000001,0.014113999999999998
12100,2.6817561999999997,0.489751953125,1742.1132784000001,1997.3649144000003,0.014047399999999998
12200,2.7085724,0.49078515625,1742.3359302000001,1997.3347377999999,0.013975000000000001
12300,2.7355194,0.493533203125,1741.4426038000001,1996.5284221999998,0.013895399999999999
12400,2.7622652,0.496126953125,1739.9475559999998,1995.3322433999997,0.014007
12500,2.788797,0.496951171875,1738.5775476000003,1993.8817691999998,0.014347599999999999
12600,2.8155924,0.49932812500000007,1737.8444034,1992.9320802000002,0.014524200000000001
