n_samples,time,memory,MAE,RMSE,R2
100,0.0282536,0.061876953125,1869.6976872,2139.4932022000003,-0.0977058
200,0.0494724,0.023857421875,1895.1336058000002,2138.7776462,-0.0509066
300,0.06926360000000001,0.08035546875,1833.7208318,2094.7229460000003,-0.0399498
400,0.0897994,0.089861328125,1819.142497,2078.0622226,-0.031850199999999995
500,0.11321220000000001,0.11373046875,1782.5669917999999,2048.1472006000004,-0.020277800000000002
600,0.13508040000000002,0.12785546875,1789.3663718,2045.1948044,-0.004605199999999999
700,0.155536,0.13470703125,1790.2140562,2044.3560103999996,4.400000000000015e-06
800,0.1743944,0.139330078125,1791.2925144,2041.1595072,0.0011832
900,0.1931506,0.14061914062499997,1797.5870148000001,2041.6245112000001,0.0042698
1000,0.21072379999999996,0.14709375,1808.6567877999998,2050.9568025999997,0.0070662
1100,0.22812939999999998,0.15306640625,1804.0237562000002,2048.6382806,0.006922600000000001
1200,0.24717440000000002,0.14866210937500002,1808.6484329999998,2054.4421574,0.006895599999999999
1300,0.26485519999999996,0.15512109375,1805.2286796,2053.3414249999996,0.007001599999999999
1400,0.2827146,0.161939453125,1795.2827054000002,2044.8873998,0.00476
1500,0.29994540000000003,0.1655703125,1799.0829364,2048.6058193999997,0.0037792
1600,0.31840119999999994,0.1609921875,1790.1866768,2041.1428256,0.0042932000000000005
1700,0.33595640000000004,0.16966015625000003,1786.8873518,2037.7108004000002,0.0064722
1800,0.3537586,0.16778710937500002,1786.752982,2036.607947,0.006884400000000001
1900,0.37169640000000004,0.17204296875,1778.8346107999998,2027.561146,0.0076644
2000,0.3897062,0.175990234375,1775.0463475999998,2022.8945358,0.009043200000000001
2100,0.40823580000000004,0.1724375,1765.2519578,2014.2565524000001,0.0106074
2200,0.4262532,0.175556640625,1766.0536139999997,2013.3999286000003,0.010471
2300,0.44422619999999996,0.18436523437500002,1758.0347918,2006.3771972000002,0.012085599999999998
2400,0.462133,0.19224609374999999,1747.0082180000002,1995.8965787999998,0.0126624
2500,0.48051940000000004,0.19688476562499999,1736.2126915999997,1985.8131709999998,0.0133548
2600,0.4999116,0.206146484375,1727.6956299999997,1976.5335985999998,0.013420199999999998
2700,0.51911,0.20906054687500003,1724.8763320000003,1972.5348277999997,0.012911
2800,0.5377236,0.20939648437499997,1723.2415574000001,1970.6019272,0.0123222
2900,0.5565348,0.21663085937499998,1720.1645185999998,1967.5762953999997,0.0103848
3000,0.5757722,0.21885742187499999,1722.6614064,1969.9010139999998,0.009883600000000001
3100,0.5945904000000001,0.227724609375,1722.6657297999998,1970.8260094000002,0.009339
3200,0.6137143999999999,0.22366015624999996,1722.9013525999999,1971.8494868000002,0.0098324
3300,0.6325978,0.23788476562499997,1721.5819799999997,1970.433746,0.0104134
3400,0.652595,0.23658007812499998,1724.5083778,1973.2337836,0.010239
3500,0.6716882,0.24273046875000004,1725.3709272,1973.325017,0.0103912
3600,0.6907024,0.24634375,1723.9953806,1971.8373811999998,0.010683999999999999
3700,0.7102108,0.24546289062499999,1721.9158946000002,1970.3337088,0.0111224
3800,0.7308092,0.25027539062500004,1720.6587901999999,1970.0766858,0.0108434
3900,0.7500072,0.25663671875,1722.2246108,1972.1880832,0.011749399999999998
4000,0.7693362,0.2589609375,1720.8712156000001,1971.2272423999998,0.0136556
4100,0.7897302,0.2604375,1719.0113231999999,1970.058439,0.0147544
4200,0.8095288,0.26079882812499994,1717.913366,1970.1521275999999,0.0136278
4300,0.8290488,0.2670390625,1716.4701299999997,1969.3140621999999,0.0125028
4400,0.8486578,0.2702734375,1717.5857408,1970.5783944,0.012390799999999999
4500,0.8693291999999999,0.26699804687499995,1718.4786502000002,1971.6750663999999,0.0121824
4600,0.8888452000000001,0.273916015625,1719.1135822,1972.3116586,0.012745800000000002
4700,0.9091208,0.2818203125,1719.9901204000003,1973.877379,0.012112600000000001
4800,0.9291226,0.2815703125,1719.6126735999999,1974.63063,0.0122718
4900,0.9493392,0.281509765625,1721.8153752000003,1977.6131088000002,0.0117734
5000,0.969616,0.290150390625,1723.8627006000002,1979.5300892,0.0116174
5100,0.9902446000000001,0.29125390625,1725.0871341999998,1980.8802719999999,0.0115724
5200,1.0107758,0.29743554687499996,1728.6962090000002,1984.413522,0.010684599999999999
5300,1.0317319999999999,0.29181640625000005,1727.7538769999999,1983.7745029999999,0.010452399999999999
5400,1.0522898,0.3063359375,1727.2526288000001,1983.4973418000002,0.010258
5500,1.0731666,0.317677734375,1729.0783854000001,1985.6220704,0.011409
5600,1.0945614,0.321203125,1731.4996596,1989.0767499999997,0.0104472
5700,1.1153402,0.334837890625,1733.0482786,1990.8179584000002,0.0105548
5800,1.1367444,0.337109375,1732.2100374000001,1990.1546721999998,0.0112556
5900,1.1581008,0.342044921875,1734.1873276,1992.5544770000001,0.0105708
6000,1.179689,0.34458984375,1734.8175236000002,1993.3787509999997,0.0114556
6100,1.2013875999999999,0.35520703124999997,1735.409153,1994.283365,0.010567
6200,1.222937,0.36900781250000003,1736.3496621999998,1995.573905,0.010476
6300,1.245229,0.375005859375,1738.6962872,1997.3399164000002,0.011017200000000001
6400,1.2671,0.38042187499999996,1738.4437655999998,1997.2542212,0.010164200000000002
6500,1.289195,0.386029296875,1740.9527344000003,1999.4627725999999,0.0102066
6600,1.3116016000000001,0.387005859375,1740.2099444,1999.181591,0.0104662
6700,1.3347525999999998,0.426712890625,1742.535394,2001.2345546000001,0.0110358
6800,1.3585775999999998,0.436947265625,1743.1722992000002,2001.9329542,0.011452399999999998
6900,1.3821721999999999,0.47645117187499997,1745.3061874,2003.7029499999996,0.012095400000000001
7000,1.4073896,0.47412890625,1743.0473114000001,2001.9818822000002,0.013422600000000002
7100,1.431931,0.5049609374999999,1743.8980523999999,2003.0481972000002,0.014060800000000002
7200,1.4571216,0.518056640625,1744.8769312,2003.8501612,0.015306
7300,1.4825746,0.5245644531249999,1744.4279686000002,2003.4160656,0.0168418
7400,1.5077677999999999,0.52996484375,1741.7547507999996,2000.942641,0.0186108
7500,1.5331424000000002,0.53127734375,1738.9013020000002,1998.9492886,0.018871600000000002
7600,1.559413,0.5264492187500001,1738.3191591999998,1998.6272136,0.0196266
7700,1.5860788,0.53131640625,1736.9595136,1997.3876086,0.021514600000000002
7800,1.6114172,0.543541015625,1735.9310308,1996.3948618,0.0228866
7900,1.6370014000000002,0.5554140625,1737.0270222,1997.3741691999999,0.023189599999999998
8000,1.6633778,0.5636503906250001,1737.7519639999998,1998.2815902000002,0.0226488
8100,1.6893324,0.5670566406249999,1739.6487997999998,2000.225608,0.0220168
8200,1.715888,0.5763906249999999,1740.8893734,2001.6278368000003,0.021345399999999997
8300,1.7424684,0.5802578125,1741.2403144,2002.289256,0.0207324
8400,1.7695205999999999,0.559166015625,1742.5482766,2003.5272937999998,0.0206664
8500,1.7953430000000001,0.5631171875,1742.8703466,2003.7468344000001,0.020969599999999998
8600,1.8211258000000001,0.56940234375,1742.4603926,2003.459017,0.0219498
8700,1.8471522,0.5744785156250001,1742.7990293999999,2003.3283678,0.023519400000000003
8800,1.8734110000000002,0.5824023437499999,1743.240972,2003.46285,0.024509999999999997
8900,1.9000713999999999,0.58723046875,1742.8543272,2003.1034324,0.024838799999999998
9000,1.926445,0.5955585937500001,1743.2037136000004,2003.4718668,0.024826599999999997
9100,1.9528615999999999,0.600896484375,1743.8776896,2003.8865896000002,0.0248312
9200,1.9793394,0.608455078125,1744.5720529999999,2004.1739070000003,0.0245078
9300,2.00649,0.60083984375,1744.3460414,2003.8533973999997,0.0240134
9400,2.0333486,0.60554296875,1746.2654026,2005.3458116000002,0.0237382
9500,2.0615178,0.622544921875,1748.3936258,2006.7976477999996,0.0233872
9600,2.088476,0.629140625,1749.6947946,2008.0415674,0.022813
9700,2.1154355999999996,0.638494140625,1750.8768682000002,2009.0982147999998,0.0224092
9800,2.1430102,0.6437578125,1752.3332694,2010.6254744000003,0.0217724
9900,2.170091,0.649361328125,1752.1974882,2010.7151162000002,0.021748200000000002
10000,2.19745,0.65123828125,1753.462736,2012.0949978,0.021362200000000005
10100,2.2250516,0.6609140625000001,1753.1748866000003,2011.8274684,0.0214518
10200,2.252215,0.663810546875,1752.3207446000001,2011.2116771999997,0.0214706
10300,2.2796437999999997,0.669396484375,1751.4007365999998,2010.1751367999998,0.0211298
10400,2.308108,0.67596484375,1748.9892940000002,2007.9900188,0.020682600000000002
10500,2.336231,0.682720703125,1747.0607926,2006.1019640000002,0.020689000000000003
10600,2.3640832,0.6911835937499999,1746.7233195999997,2005.5495446,0.0206878
10700,2.3918086,0.695603515625,1745.4869738000002,2004.2574995999998,0.020778799999999997
10800,2.4195965999999998,0.70523828125,1745.174483,2003.5446541999997,0.0210564
10900,2.4488221999999995,0.70301171875,1743.4168426,2001.6096344000002,0.0217748
11000,2.4769872,0.7099355468749999,1741.6289259999999,1999.6326011999997,0.0229456
11100,2.505235,0.711501953125,1739.2094748,1997.0902073999998,0.0233906
11200,2.5336166,0.7132734375,1737.7962172,1995.6770979999997,0.023534199999999998
11300,2.5617531999999996,0.715673828125,1736.7855692,1994.5992288000002,0.0238466
11400,2.590103,0.717859375,1735.0528849999998,1992.9898432000002,0.023932000000000002
11500,2.6184702,0.7157578125,1735.0764756,1992.9474458,0.0235548
11600,2.6473974,0.720330078125,1734.6491560000002,1992.43222,0.0232452
11700,2.6756552000000005,0.725001953125,1734.3365225999999,1991.8467496,0.0232368
11800,2.7046484,0.727830078125,1732.6071500000003,1990.0467359999998,0.023558
11900,2.7338194,0.7405039062500001,1731.2404772000002,1988.5122292,0.0238348
12000,2.7633668,0.7450234375000001,1731.3313210000001,1988.3693864000002,0.023840599999999997
12100,2.7924056,0.749302734375,1730.5830688,1987.5691198,0.023693799999999998
12200,2.8214962,0.75003125,1730.9900864000003,1987.7589086,0.0234066
12300,2.8504422,0.7530546874999999,1730.0257957999997,1986.8156471999998,0.023466000000000004
12400,2.8793978000000005,0.754712890625,1728.4017274000003,1985.3957404,0.023802399999999998
12500,2.909104,0.751505859375,1727.1943901999998,1984.1157196,0.023979000000000004
12600,2.9381519999999997,0.753181640625,1726.4573098,1983.2118982,0.0241132
12700,2.9681697999999996,0.7338496093749999,1726.2625024000001,1982.8565454,0.0239934
12800,2.9978846,0.730287109375,1726.8838418,1983.1686232,0.023875200000000003
12900,3.0265364000000003,0.7318281249999999,1726.6450924,1982.8127691999998,0.023866599999999998
13000,3.0554034000000003,0.7388515625000001,1727.0477660000001,1982.9545892,0.023881199999999998
13100,3.0840864,0.7424921875000001,1726.6199702,1982.3387102000002,0.0239008
13200,3.1134239999999997,0.7411191406250001,1727.0939348,1982.5529417999999,0.023891000000000003
13300,3.142433,0.7515019531249999,1727.3066694000001,1982.5203028,0.023649800000000002
13400,3.1719512,0.752193359375,1727.5888238000002,1982.7063572,0.0232086
13500,3.2012004,0.7573671875000001,1728.3226619999998,1983.3726614,0.022904800000000003
13600,3.2308962,0.75632421875,1728.6507707999997,1983.8457422,0.0226898
13700,3.2608054,0.7678925781249999,1730.1090158,1985.1966963999998,0.022397
13800,3.2909315999999995,0.7631035156249999,1730.6990420000002,1985.9149843999999,0.022155799999999996
