n_samples,time,memory,MAE,RMSE,R2
100,0.028361199999999996,0.044833984375000004,1869.6976872,2139.4932022000003,-0.0977058
200,0.0481696,0.024294921875,1895.1336058000002,2138.7776462,-0.0509066
300,0.0683066,0.06952148437500001,1838.3439168,2093.2202572,-0.038465400000000004
400,0.08843900000000002,0.07550390625,1828.3887094000002,2080.5949158,-0.0343846
500,0.11029560000000001,0.099796875,1807.6332331999997,2057.6782310000003,-0.029686800000000003
600,0.1315912,0.10501171875,1829.3326708,2068.7967302,-0.0278482
700,0.1522158,0.12487109375000001,1826.9373449999998,2066.8232354,-0.022083200000000004
800,0.1703554,0.1436484375,1823.9161928,2064.9614668000004,-0.0222428
900,0.18873099999999998,0.15300976562500002,1831.576721,2071.0172138,-0.0246284
1000,0.207644,0.159650390625,1842.4323734000002,2081.6889113999996,-0.0229012
1100,0.22724139999999998,0.18553124999999998,1836.6297676000002,2078.82415,-0.0225676
1200,0.246977,0.190515625,1836.2848868,2080.7050292,-0.018670799999999998
1300,0.2665246,0.196841796875,1829.6708566000002,2075.0892318,-0.014159
1400,0.2861728,0.20858007812499996,1818.2959948,2065.1008616000004,-0.015017999999999998
1500,0.30632339999999997,0.21574414062500002,1820.2983769999998,2067.428424,-0.014610799999999998
1600,0.327052,0.22280859375,1812.1152844,2060.3145746,-0.0145058
1700,0.3475854,0.22979296875,1811.108772,2059.3779102,-0.014781599999999997
1800,0.367958,0.23957421874999998,1809.5378458,2058.4236826,-0.0145126
1900,0.38905399999999996,0.242091796875,1802.3867275999996,2050.7729176000003,-0.015189000000000003
2000,0.42093400000000003,0.24806835937500002,1796.6104977999998,2044.2634948000002,-0.012004800000000001
2100,0.4419976,0.251767578125,1784.9868795999998,2033.5798,-0.0084668
2200,0.4632716,0.258494140625,1783.5799855999999,2030.6390238,-0.0065446
2300,0.4841698,0.262044921875,1773.2431101999998,2021.6311258,-0.0029886
2400,0.5051466,0.2681796875,1760.5906201999999,2009.9321238,-0.001274
2500,0.5263245999999999,0.26799218750000003,1748.5109704,1998.7456530000004,0.00046219999999999996
2600,0.5476652,0.27095703125,1738.5771094,1989.0889586,0.0008466
2700,0.5692186,0.27685546875,1734.0022844,1984.7359604,0.0006638
2800,0.5908034000000001,0.2783125,1731.4798442,1982.6758997999998,0.00018600000000000005
2900,0.6119242,0.28134765625,1727.4334414,1978.8670817999998,-0.001005
3000,0.633084,0.28204882812500004,1730.519991,1981.6712172,-0.0019846
3100,0.6542508,0.28373828125,1730.6474169999997,1982.2746886,-0.002203
3200,0.6756548,0.287693359375,1731.2283216,1983.8097143999998,-0.0022156000000000003
3300,0.6971885999999999,0.287861328125,1729.0035404000002,1981.338334,-0.0005673999999999999
3400,0.7199,0.28946289062499997,1731.5688294,1984.0490871999998,-0.0006402
3500,0.7419442,0.30483984375,1731.9372073999998,1984.0558406,-0.00040239999999999997
3600,0.7640378,0.31241796875,1730.1234264000002,1982.1207812,0.0003376000000000001
3700,0.7862647999999999,0.3205,1727.6450052,1980.2438348,0.0011520000000000002
3800,0.8083908,0.32489257812499994,1725.2677879999999,1978.8453023999998,0.0020207999999999997
3900,0.8308996000000001,0.329521484375,1728.1071507999998,1981.6842794,0.0022138
4000,0.8533348000000001,0.332876953125,1727.2136590000002,1981.2117024,0.0036379999999999997
4100,0.8760597999999999,0.33295703125,1725.526669,1980.4919424,0.0042916
4200,0.8986042,0.34154296875,1724.3271614,1980.2572304,0.0034860000000000004
4300,0.9213868,0.34086914062500007,1722.3948669999997,1979.1595858,0.0026075999999999994
4400,0.9449484,0.35144140625,1722.7382904,1979.6634674000002,0.0032643999999999998
4500,0.967973,0.352453125,1723.8826062,1980.9853552,0.0028306000000000004
4600,0.9910088,0.359537109375,1723.2313241999996,1980.473192,0.0045596
4700,1.0141506,0.369666015625,1722.6961602,1980.6348487999999,0.0053342
4800,1.0383216,0.379767578125,1722.7996523999998,1981.2215642000003,0.0056622
4900,1.0616736,0.385912109375,1723.524409,1982.6015870000003,0.0067776
5000,1.0855522,0.389021484375,1725.0610654,1983.9039428,0.0072364
5100,1.1095448,0.392513671875,1725.9152528,1984.9198212000003,0.0075324
5200,1.1336304,0.398369140625,1728.377964,1987.4653911999999,0.007636399999999999
5300,1.1574490000000002,0.398400390625,1727.3548252,1986.6900612000002,0.0075392
5400,1.1814002000000001,0.397767578125,1726.957131,1986.5196700000001,0.0072386
