n_samples,time,memory,MAE,RMSE,R2
100,0.018693599999999998,0.07918359375,22.446625400000002,30.171995000000003,-0.06311720000000001
200,0.0402646,0.034582031250000006,22.1692906,29.7383608,-0.034770999999999996
300,0.0729576,0.108333984375,21.4385524,29.3100444,-0.011247400000000001
400,0.0939818,0.09943359375000001,21.4812018,29.510081000000003,0.0010132
500,0.11652580000000001,0.13629296875000002,21.4467986,29.682731999999998,0.0156056
600,0.13795960000000002,0.14064453125,21.125185,29.4594872,0.0342014
700,0.1607074,0.1420625,20.7842324,29.065402,0.047533399999999996
800,0.182707,0.15150976562500001,20.6907966,29.013803399999993,0.0623064
900,0.205743,0.15577929687500003,20.5635626,28.862616199999998,0.0730778
1000,0.2276938,0.16247265625,20.388975600000002,28.712322,0.084732
1100,0.25047359999999996,0.16334960937500004,20.3954066,28.7350366,0.093933
1200,0.27353439999999996,0.172896484375,20.3325656,28.638464,0.099799
1300,0.2977348,0.175361328125,20.1910752,28.5599306,0.11252739999999999
1400,0.3205266,0.17968164062499997,20.084178199999997,28.410616600000004,0.1200362
1500,0.3437672,0.18165429687499998,19.914558200000002,28.233085199999998,0.1294948
1600,0.367711,0.182724609375,19.84185,28.162768800000002,0.1384128
1700,0.3903202,0.18378515625,19.719178,28.0193628,0.14713800000000002
1800,0.41465820000000003,0.183802734375,19.5773816,27.8075026,0.1508082
1900,0.4380102,0.17933984375000003,19.5263026,27.7451542,0.16176680000000002
2000,0.4613555999999999,0.1870546875,19.487653400000003,27.738431400000003,0.17101159999999999
2100,0.486041,0.19432031249999998,19.4033982,27.622681,0.17587999999999998
2200,0.5102050000000001,0.20830078125,19.3055314,27.5100712,0.1856602
2300,0.5345953999999999,0.22662109375,19.2123166,27.394942200000003,0.19598359999999998
2400,0.5594395999999999,0.23480859375000002,19.0505124,27.229136600000004,0.2029076
2500,0.584259,0.2406171875,18.9246924,27.098525799999997,0.2123494
2600,0.6087232,0.249814453125,18.802868,26.977073,0.22251539999999997
2700,0.633705,0.250796875,18.670762000000003,26.836133999999998,0.22624439999999998
2800,0.6593764,0.250505859375,18.5995334,26.7673108,0.2334346
2900,0.6841322,0.25599414062500003,18.499564200000002,26.6560116,0.2446312
3000,0.7092178,0.25807226562499996,18.3534702,26.502256800000005,0.2526878
3100,0.7336652,0.25877734374999994,18.257214600000005,26.397045600000002,0.258856
3200,0.7584302,0.259150390625,18.1432402,26.276074599999998,0.2648376
3300,0.7851374,0.27932421875,18.0329208,26.1381862,0.27183820000000003
3400,0.8104739999999999,0.2882265625,17.908241600000004,25.999666399999995,0.27635940000000003
3500,0.8369702,0.284767578125,17.7878604,25.8626604,0.28320460000000003
3600,0.8629667999999999,0.29848046875,17.673551800000002,25.7287194,0.2923466
3700,0.8892458000000001,0.31158984375000004,17.5613862,25.611305999999995,0.298516
3800,0.9160098,0.31090039062499997,17.440989000000002,25.478790800000002,0.3060676
3900,0.9427526,0.324017578125,17.2992368,25.320743200000003,0.31212840000000003
4000,0.9695698,0.33554492187499996,17.1821104,25.1853596,0.3211796
4100,0.9963235999999999,0.336650390625,17.033807,25.0117526,0.3305892
4200,1.0232564,0.34347656249999997,16.891433799999998,24.854790799999996,0.33763620000000005
4300,1.051528,0.35919726562500004,16.749306,24.694300399999996,0.3460264
4400,1.0789482000000001,0.37651953125000004,16.6145824,24.5340028,0.35271479999999994
4500,1.1066582,0.38397851562500007,16.4779054,24.3821794,0.3602412
4600,1.1347756,0.389427734375,16.3760468,24.2603088,0.3689784
4700,1.1638397999999999,0.39213671874999995,16.2496746,24.117787200000002,0.3746646
4800,1.1923248000000002,0.388912109375,16.1623908,24.0125102,0.3813892
4900,1.2209048,0.39337890625,16.052363199999995,23.8774586,0.3875
5000,1.2497314,0.3995839843750001,15.932056800000002,23.740457600000003,0.39544579999999996
5100,1.2782062,0.40533203124999995,15.828004000000002,23.611919999999998,0.4005128
5200,1.306227,0.40767382812499997,15.7068468,23.4698842,0.40953420000000007
5300,1.3352484,0.40879296875,15.6158242,23.3533558,0.4159243999999999
5400,1.3642268,0.411125,15.5165642,23.2359556,0.421034
5500,1.3929476,0.4113203125,15.439566600000001,23.129965000000002,0.426659
5600,1.4213828,0.41184374999999995,15.343779799999998,23.013316200000002,0.43086640000000004
5700,1.4501557999999999,0.42270703125000003,15.255466799999999,22.8982104,0.43680979999999997
5800,1.4794006,0.427916015625,15.187902000000003,22.8056012,0.44324779999999997
5900,1.5085739999999999,0.42766210937500004,15.102397999999999,22.694071,0.4484095999999999
6000,1.5389122,0.433203125,14.992436000000001,22.563866200000003,0.45264760000000004
6100,1.5679626,0.435646484375,14.9021162,22.4496382,0.4572488
6200,1.597661,0.43699023437499995,14.811456799999998,22.3408238,0.4630752
6300,1.6272777999999999,0.436966796875,14.7314416,22.2431172,0.4678973999999999
6400,1.6567418000000003,0.44264257812499996,14.642502799999999,22.138368800000002,0.47178319999999996
6500,1.6867556000000001,0.44004882812499996,14.565146200000001,22.0437454,0.4766924
6600,1.7162852000000002,0.44842382812500003,14.489870199999999,21.9457492,0.4817585999999999
6700,1.7463662,0.450359375,14.4054824,21.8418346,0.48675680000000004
6800,1.7759998,0.45359375,14.333292600000002,21.7513564,0.4910074
6900,1.80581,0.4564492187499999,14.273645399999998,21.66361,0.4959442
7000,1.8353937999999999,0.45282226562499994,14.203734399999998,21.576381599999998,0.4987342
7100,1.8657302000000002,0.463875,14.140905800000002,21.4895106,0.5033284
7200,1.8959106,0.47362890625,14.0770836,21.4032598,0.50746
7300,1.9269242000000002,0.47804101562499995,14.007617599999998,21.316252600000002,0.5112068
7400,1.9573666000000003,0.48383984375000005,13.948224199999999,21.2320706,0.515757
7500,1.9873560000000001,0.48575585937500004,13.886102,21.151386199999997,0.5207188
7600,2.0191050000000006,0.48130664062500006,13.825748200000001,21.064120600000003,0.5252618
7700,2.0495388,0.48855468750000003,13.7712246,20.987976200000002,0.5295664
7800,2.080952,0.486103515625,13.7215376,20.920683,0.532747
7900,2.1126776,0.496306640625,13.654953599999999,20.840191799999996,0.5364866
8000,2.1433986,0.504783203125,13.609105,20.7760338,0.5401752
8100,2.1746106000000003,0.51334375,13.549166000000003,20.693271799999998,0.5429806
8200,2.2055726,0.51889453125,13.498351,20.626704,0.5465987999999999
8300,2.2373828,0.514677734375,13.4435194,20.552562799999997,0.5490708000000001
8400,2.2687070000000005,0.51933203125,13.382029800000002,20.472780399999998,0.551633
8500,2.3006464,0.533162109375,13.3337658,20.402868,0.5550432
8600,2.332389,0.5396972656249999,13.282682400000002,20.330577999999996,0.5580727999999999
8700,2.3646954,0.542185546875,13.220237800000001,20.251528,0.560898
