n_samples,time,memory,MAE,RMSE,R2
100,0.0321574,0.336734375,22.446625400000002,30.171995000000003,-0.06311720000000001
200,0.11411940000000001,0.054728515624999995,22.1692906,29.7383608,-0.034770999999999996
300,0.1368468,0.36987109375,21.4327822,28.689545199999998,0.030843200000000005
400,0.1929808,0.485404296875,21.2168678,28.218255399999997,0.081749
500,0.2860762,0.358830078125,21.2434942,28.085153400000003,0.11570899999999999
600,0.31621520000000003,0.62828515625,21.0118206,27.827935200000002,0.1356212
700,0.3687869999999999,0.759109375,20.798192,27.4922422,0.1459036
800,0.44097479999999994,0.7238515624999999,20.536774599999998,27.234626400000003,0.1722618
900,0.496071,0.8684355468749999,20.3070224,27.0231102,0.1865416
1000,0.5788308,0.8256484375000002,19.987602400000004,26.7763886,0.203296
1100,0.669789,0.672625,19.776926600000003,26.613694599999995,0.22169179999999997
1200,0.7232074,0.8462890625,19.5331638,26.444734399999998,0.23146460000000002
1300,0.7884279999999999,0.9044589843749999,19.206709999999998,26.155593399999997,0.2549522
1400,0.8556940000000001,0.957642578125,18.9583626,25.9822568,0.263334
1500,0.9321392,1.01180078125,18.6836286,25.7232048,0.27671199999999996
1600,1.0185172000000002,0.9752656250000001,18.4548862,25.549827799999996,0.290519
1700,1.1039974000000001,0.927181640625,18.1915896,25.2870486,0.30525159999999996
1800,1.1720288,0.9805917968749999,17.878065199999998,24.9926886,0.31399560000000004
1900,1.2243526,1.132701171875,17.625284599999997,24.781946799999997,0.3315578
2000,1.3209024,1.0124453125000001,17.402201400000003,24.610954800000002,0.34794660000000005
2100,1.382573,1.17856640625,17.154650600000004,24.368019999999998,0.359091
2200,1.4310665999999999,1.4260000000000002,16.9176958,24.127856400000002,0.37393540000000003
2300,1.5188742,1.4579999999999997,16.7338176,23.942346,0.3861494
2400,1.581458,1.592,16.4844562,23.6994866,0.3964618
2500,1.7150866,1.340326171875,16.280152800000003,23.521633600000005,0.406825
2600,1.7996682,1.31,16.083358800000003,23.301082800000003,0.4201322
2700,1.8672366,1.367228515625,15.850715399999999,23.0428502,0.4295122
2800,1.9511981999999999,1.4409980468749999,15.625102799999999,22.808090799999995,0.44325760000000003
2900,2.0139694,1.6079999999999999,15.410456400000001,22.5578048,0.4589906
3000,2.0960968,1.672,15.197652,22.314190599999996,0.47029139999999997
3100,2.179437,1.734,15.0079298,22.0907118,0.480949
3200,2.2881007999999996,1.7020000000000004,14.813728000000001,21.870164,0.4908144
3300,2.3569218,1.8559999999999999,14.6334702,21.657263399999998,0.5004122
3400,2.4376972,1.8980000000000001,14.4466746,21.4492814,0.5078744000000001
3500,2.526593,2.048,14.288347000000002,21.260968,0.5161434
3600,2.6352497999999995,2.0100000000000002,14.137777199999999,21.084297600000003,0.5255178
3700,2.7191506,2.168,13.975858400000002,20.908619400000003,0.5332855999999999
3800,2.7898465999999997,2.41,13.839061599999999,20.737439000000002,0.541186
3900,2.9035362,2.466,13.7008036,20.5757102,0.5467502000000002
4000,3.013496,2.508,13.579806,20.435189200000003,0.5540976
4100,3.1163654000000003,2.542,13.4622596,20.2902838,0.5603234
4200,3.2341811999999996,2.5159999999999996,13.3399872,20.139325200000002,0.5661229999999999
4300,3.3467108000000003,2.466,13.2343174,20.001768,0.5719624000000001
4400,3.4241588,2.716,13.1223972,19.8540082,0.577167
4500,3.5457746,2.69,12.9988156,19.7031286,0.5831752000000001
4600,3.6742884000000005,2.67,12.8978038,19.5720442,0.5902696
4700,3.7569132000000005,2.9080000000000004,12.782648,19.434545800000002,0.5951869999999999
4800,3.8988335999999997,2.778,12.690399199999998,19.3119866,0.601163
4900,3.9839545999999997,3.0140000000000002,12.5978036,19.1907792,0.6056364000000001
5000,4.0824336,3.136,12.5043064,19.0683254,0.6113264
5100,4.205783800000001,3.186,12.4147708,18.950537200000003,0.6152636
5200,4.3319732,3.22,12.3290194,18.838213000000003,0.6209976
5300,4.4811822,3.072,12.2509874,18.7344626,0.6256160000000001
5400,4.587889800000001,3.21,12.1615654,18.6205684,0.6295843999999999
5500,4.738313600000001,3.0639999999999996,12.1013788,18.5312484,0.633534
5600,4.869822399999999,3.12,12.0235324,18.429190000000002,0.6367282000000001
5700,5.000557,3.084,11.954360999999999,18.3330474,0.6407664
5800,5.1073632,3.224,11.8939684,18.2495494,0.6452874000000001
5900,5.2338436,3.2600000000000002,11.818636999999999,18.1533214,0.648902
6000,5.3447455999999995,3.396,11.7470626,18.0614466,0.6511554
6100,5.4679182,3.4240000000000004,11.668997999999998,17.962985399999997,0.6544011999999999
6200,5.608343799999999,3.2640000000000002,11.5940002,17.8693878,0.6583766
6300,5.7807943999999996,3.06,11.521885399999999,17.7775338,0.6621544
6400,5.879366800000001,3.2060000000000004,11.4472372,17.6874402,0.6648173999999999
6500,5.9899602000000005,3.348,11.3828618,17.603277000000002,0.6682926
6600,6.1398032,3.2299999999999995,11.3184914,17.517962,0.6717094
6700,6.289632599999999,3.0060000000000002,11.2543836,17.4350908,0.6749122
6800,6.420541399999999,3.076,11.188607,17.353333,0.6779008
6900,6.511748999999999,3.322,11.13715,17.2791274,0.6810756
7000,6.640569199999999,3.378,11.073333600000002,17.1976756,0.683328
7100,6.76876,3.436,11.018452199999999,17.124872399999997,0.6864492
7200,6.9174368,3.396,10.968264600000001,17.0524526,0.6892317999999998
7300,7.064567799999999,3.344,10.9168786,16.9830502,0.6916133999999999
7400,7.162608400000001,3.5779999999999994,10.8704392,16.915231400000003,0.6945103999999999
7500,7.3259378,3.4539999999999993,10.814784800000002,16.8456424,0.6979158000000001
7600,7.4578034,3.4979999999999998,10.7665066,16.777651799999997,0.7007906
7700,7.5901591999999996,3.56,10.724256,16.7141588,0.7036174000000001
7800,7.6927328,3.7880000000000003,10.685841799999999,16.6583794,0.7057482
7900,7.8617668,3.6480000000000006,10.6382294,16.5969634,0.7080404
8000,7.998918999999999,3.688,10.594080799999999,16.53468,0.7107607999999999
8100,8.1526498,3.5460000000000003,10.545022600000001,16.4693802,0.7124805999999999
8200,8.3246206,3.3340000000000005,10.4952344,16.406320599999997,0.7151538000000001
8300,8.4223248,3.5759999999999996,10.452080599999999,16.3464824,0.7167370000000001
8400,8.5492982,3.63,10.403086400000001,16.2831576,0.7183816000000001
8500,8.6689932,3.772,10.360871999999999,16.225161,0.720559
8600,8.776826599999998,3.992,10.318978000000001,16.16883,0.7224248
8700,8.961295400000001,3.7520000000000002,10.2690118,16.1061458,0.724165
8800,9.0907894,3.806,10.221185199999999,16.0463736,0.726229
8900,9.2374392,3.768,10.1824424,15.991333399999998,0.7280028
9000,9.3700236,3.908,10.1440016,15.937456400000002,0.7297705999999999
9100,9.4973224,4.044,10.101494800000001,15.882572200000002,0.7308426000000001
9200,9.625887,4.188,10.06768,15.8337662,0.7319351999999999
9300,9.7726462,4.2379999999999995,10.0299096,15.782506799999998,0.7333106
9400,9.891121799999999,4.46,9.985101,15.724774400000001,0.7351578
9500,10.029208,4.5920000000000005,9.9526768,15.677670999999998,0.7364346
9600,10.186677399999999,4.632,9.914795,15.6267912,0.7379749999999999
9700,10.3558082,4.566000000000001,9.8850144,15.5816924,0.7395402
9800,10.526687,4.532,9.8429856,15.5275418,0.7412082
9900,10.7141776,4.3919999999999995,9.8133674,15.483135999999998,0.7429264
10000,10.8931364,4.334,9.7870176,15.4431032,0.744237
10100,11.0584084,4.304,9.7556002,15.3973582,0.7462454000000001
10200,11.2081718,4.356,9.7237832,15.3555526,0.7474055999999999
10300,11.402007000000001,4.208,9.701409,15.318616200000003,0.7487624
10400,11.544917199999999,4.356,9.672221599999999,15.2759062,0.7500686
10500,11.6975344,4.404000000000001,9.649171200000001,15.239560599999999,0.7517198
10600,11.8433794,4.54,9.6223864,15.2030688,0.7532748000000001
10700,12.030084800000001,4.32,9.59406,15.1611628,0.7547504
10800,12.1800464,4.3759999999999994,9.568683,15.1235768,0.7562934
10900,12.3342408,4.414,9.5419248,15.083122799999998,0.7574310000000001
