n_samples,time,memory,MAE,RMSE,R2
100,0.0711908,0.18899218750000002,39.76010699999999,44.5805278,-0.0828224
200,0.1428392,0.10481640625,40.352689,44.846787400000004,-0.043009
300,0.2081584,0.23375000000000004,39.1386186,44.5815244,-0.0428146
400,0.2775406,0.21454296875,38.984843999999995,44.547318000000004,-0.0427824
500,0.3491232,0.38848046875,38.6126112,44.154417,-0.0294352
600,0.42160960000000003,0.333794921875,38.4744968,43.952467999999996,-0.0163424
700,0.4977616,0.5543652343750001,38.0299042,43.5583388,0.0013304000000000024
800,0.593074,0.6334511718750001,37.5372962,43.030892800000004,0.0146422
900,0.670114,0.68504296875,37.1554484,42.7037114,0.022403
1000,0.7543912,0.746353515625,36.7395532,42.32189579999999,0.030788200000000005
1100,0.8367644000000001,0.83115625,36.4009224,42.018716999999995,0.0386648
1200,0.9195589999999999,0.894734375,36.1029712,41.7593606,0.04651960000000001
1300,1.0085241999999999,0.9389667968750001,35.7208682,41.439177799999996,0.0578944
1400,1.1112022,1.12851953125,35.112728600000004,41.0346264,0.075983
1500,1.2016155999999998,1.222923828125,34.571015,40.63949,0.09663380000000002
1600,1.2971495999999998,1.2511875,34.0140484,40.2033,0.115327
1700,1.3927939999999999,1.3208574218749998,33.3945954,39.740597,0.1283996
1800,1.4888215999999999,1.428,32.916125,39.3791418,0.1415194
1900,1.5860868,1.49,32.6070658,39.1995332,0.1497622
2000,1.6843952000000002,1.536,32.2887976,38.9923364,0.1542794
2100,1.7856074,1.544,32.044653,38.776501800000005,0.1669096
2200,1.892106,1.576,31.706073799999995,38.490146,0.1801544
2300,1.9959775999999998,1.75,31.3992836,38.2680004,0.186764
2400,2.1181942,1.85,31.1465832,38.0972208,0.19046860000000002
2500,2.2285272,1.9120000000000001,30.748582199999998,37.7882584,0.2020258
2600,2.337013,1.97,30.443055199999996,37.563509800000006,0.21061639999999998
2700,2.4476611999999998,2.0140000000000002,30.3026032,37.469514200000006,0.2193544
2800,2.5586696000000004,2.0439999999999996,30.1637682,37.3954758,0.22421560000000001
2900,2.6708979999999998,2.0780000000000003,29.930833,37.2054326,0.2360254
3000,2.7851038,2.082,29.810071399999998,37.1062392,0.24145380000000002
3100,2.8984047999999993,2.114,29.6343006,36.958057600000004,0.24453999999999998
3200,3.016321,2.124,29.432123400000002,36.8132864,0.24931299999999998
