n_samples,time,memory,MAE,RMSE,R2
100,0.0421626,0.021767578125,0.021575399999999998,0.027985,-0.051500000000000004
200,0.0760712,0.02259765625,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.11002540000000001,0.02259765625,0.022489000000000002,0.0287704,-0.0193222
400,0.143902,0.02259765625,0.0230652,0.029642400000000003,-0.014357600000000002
500,0.17701640000000002,0.02259765625,0.0234334,0.030124,-0.0116172
600,0.20998100000000003,0.02259765625,0.023630599999999995,0.030336799999999997,-0.0098818
700,0.24219059999999998,0.02259765625,0.0234836,0.030158800000000003,-0.0087578
800,0.274428,0.02259765625,0.0237172,0.0304624,-0.0076858
900,0.3066468,0.02259765625,0.023577999999999998,0.030338999999999998,-0.007011000000000001
1000,0.33900600000000003,0.02259765625,0.023452599999999997,0.0302004,-0.006464200000000001
1100,0.3713286,0.02259765625,0.0234416,0.0301214,-0.0059948
1200,0.4036206,0.02259765625,0.023465800000000002,0.0301122,-0.0055622
1300,0.43587420000000004,0.02259765625,0.023452,0.0300798,-0.0052028
1400,0.4681844,0.02259765625,0.023347,0.029925800000000002,-0.0049262
1500,0.5004595999999999,0.02259765625,0.0232114,0.0297774,-0.004683
1600,0.532735,0.02259765625,0.0231216,0.0296856,-0.0044496
1700,0.5650044,0.02259765625,0.0230432,0.029615000000000002,-0.004244
1800,0.5972778,0.02259765625,0.0230468,0.029681400000000004,-0.0040219999999999995
1900,0.6295076,0.02259765625,0.023009400000000003,0.029653400000000003,-0.003846
2000,0.6618026,0.02259765625,0.02306,0.029720600000000003,-0.0036651999999999995
2100,0.6940486,0.02259765625,0.0229876,0.029626399999999997,-0.0035320000000000004
2200,0.7263040000000001,0.02259765625,0.0230198,0.029647800000000002,-0.0033858
2300,0.7585409999999999,0.02259765625,0.023113799999999997,0.0297636,-0.0032374
2400,0.7907850000000001,0.02259765625,0.023137799999999997,0.0297744,-0.0031182000000000002
2500,0.8230158,0.02259765625,0.023143999999999998,0.029745000000000004,-0.0030134000000000003
2600,0.8552558000000001,0.02259765625,0.0231906,0.0297832,-0.0029062000000000003
2700,0.8874948,0.02259765625,0.023138399999999996,0.0297314,-0.0028208
2800,0.919727,0.02259765625,0.0231764,0.029778800000000005,-0.0027254
