n_samples,time,memory,MAE,RMSE,R2
100,0.0626468,0.15715039062499997,0.021575399999999998,0.027985,-0.051500000000000004
200,0.1209716,0.028857421875,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.1841574,0.27540234375,0.0228912,0.0290018,-0.035775
400,0.2318752,0.2755859375,0.023296199999999996,0.0294086,0.0012301999999999994
500,0.2846962,0.38821289062500003,0.023344399999999998,0.0294398,0.0337528
600,0.33424240000000005,0.3984921875,0.0232418,0.0293868,0.052319000000000004
700,0.3839766,0.39882421874999996,0.0230386,0.0291456,0.057816200000000005
800,0.433932,0.39898828124999997,0.023265,0.0293414,0.0651044
900,0.4897214,0.51008203125,0.022988600000000005,0.029099400000000004,0.0735848
1000,0.5430092,0.504109375,0.0228574,0.028948800000000004,0.07522899999999999
1100,0.5993945999999999,0.583384765625,0.022726000000000003,0.0287768,0.08170540000000001
1200,0.656441,0.642099609375,0.022678999999999998,0.0286906,0.0871044
1300,0.7145798,0.707001953125,0.022636,0.028639400000000002,0.0887512
1400,0.7726881999999999,0.7590703125,0.0226004,0.028572399999999998,0.08390220000000001
1500,0.8307433999999999,0.7608105468749999,0.022532600000000003,0.0284748,0.08127619999999999
1600,0.8887642,0.7613105468750001,0.022514,0.028438200000000004,0.078193
1700,0.9554386000000001,0.80240625,0.022461000000000002,0.028344799999999996,0.08003959999999999
1800,1.015179,0.9116953125,0.0224242,0.028315199999999995,0.0862688
1900,1.0767674,0.92659765625,0.0223046,0.028181400000000002,0.093332
2000,1.1382615999999999,0.9289277343750001,0.0222988,0.028173000000000004,0.09811120000000001
2100,1.1995586,0.929998046875,0.022195,0.028087400000000002,0.09800600000000001
2200,1.2610982000000002,0.9301777343750001,0.022160000000000003,0.028066,0.10080800000000001
2300,1.3225062,0.9301777343750001,0.0221934,0.028131800000000002,0.103746
2400,1.3840178,0.9301816406250001,0.022213599999999997,0.0281528,0.1031668
2500,1.4626466,0.94654296875,0.0221918,0.0281272,0.103109
2600,1.5244638000000001,0.9895878906250001,0.0222468,0.028177200000000003,0.1023368
2700,1.5970550000000001,1.05,0.022229199999999998,0.028154599999999995,0.1007238
2800,1.6669931999999998,1.178,0.0222518,0.0281822,0.1019168
2900,1.7380277999999998,1.23,0.0222556,0.0281976,0.10600860000000001
3000,1.8062666,1.294,0.022194600000000002,0.0281202,0.10861019999999999
3100,1.8762750000000001,1.3359999999999999,0.022102000000000004,0.028026600000000002,0.11293260000000001
3200,1.9477710000000001,1.346,0.022067399999999997,0.027988799999999998,0.11422360000000001
3300,2.0182056,1.352,0.022028399999999997,0.0279564,0.11602839999999999
3400,2.0885246000000004,1.358,0.0219784,0.0278952,0.11795839999999999
3500,2.1602622,1.372,0.021946600000000004,0.027833599999999997,0.11759800000000001
3600,2.2324862,1.376,0.021986,0.027861999999999998,0.11705259999999999
3700,2.3045766,1.358,0.022001800000000002,0.0278806,0.11675279999999999
3800,2.3763487999999997,1.4040000000000001,0.0219804,0.0278534,0.11850640000000001
3900,2.4492404,1.408,0.0219568,0.027823399999999998,0.12082459999999999
4000,2.5220876,1.408,0.021901999999999998,0.027780199999999998,0.123115
4100,2.5953754000000004,1.4300000000000002,0.021879399999999997,0.027763799999999998,0.12495160000000001
4200,2.6701088,1.474,0.0218386,0.0277192,0.1276362
4300,2.7461219999999997,1.5060000000000002,0.021844199999999998,0.0277074,0.1296504
4400,2.8214614,1.542,0.0218506,0.027707400000000004,0.1293048
4500,2.8966582,1.562,0.021840199999999997,0.0276812,0.12990500000000002
4600,2.9759944000000003,1.592,0.021852,0.0276862,0.13079040000000003
4700,3.0533826,1.6320000000000001,0.0218894,0.0277378,0.1316544
4800,3.1329231999999996,1.668,0.021859999999999997,0.027715200000000002,0.13275679999999998
4900,3.2266404,1.746,0.021848399999999997,0.027701999999999997,0.133682
5000,3.3076608,1.7939999999999998,0.021842,0.0276928,0.13344
5100,3.39174,1.812,0.0218282,0.027679799999999997,0.133703
5200,3.4754886,1.8519999999999999,0.0218348,0.027687200000000002,0.136351
5300,3.5606367999999997,1.846,0.021863,0.0277304,0.1397672
5400,3.6448344000000006,1.876,0.0218794,0.027762200000000004,0.1408256
5500,3.7301764,1.8799999999999997,0.0218964,0.027777599999999996,0.1416248
5600,3.8140764000000003,1.9060000000000001,0.021921799999999998,0.0278022,0.1429276
5700,3.9006622,1.9099999999999997,0.0219412,0.027821600000000002,0.14467200000000002
5800,3.9865076000000004,1.9780000000000002,0.0219578,0.0278324,0.1441802
5900,4.0744442,1.9779999999999998,0.0219594,0.027827800000000003,0.1444396
6000,4.1619214,1.998,0.0219638,0.027826799999999995,0.14516440000000003
6100,4.248558399999999,2.0220000000000002,0.021956999999999997,0.027815599999999996,0.1462174
6200,4.340003800000001,2.0300000000000002,0.0219584,0.0278144,0.1468926
6300,4.427751,2.0660000000000003,0.0219476,0.0277962,0.14681000000000002
6400,4.516388600000001,2.0699999999999994,0.021944,0.027788200000000002,0.14687899999999998
6500,4.6068414,2.0940000000000003,0.021951199999999997,0.0277856,0.1466876
6600,4.696649600000001,2.152,0.021933199999999996,0.0277644,0.14706619999999998
6700,4.7876686,2.162,0.021921000000000003,0.0277526,0.14743
6800,4.8774476,2.166,0.021921600000000003,0.027754,0.1481516
6900,4.9681972000000005,2.15,0.0219634,0.027797,0.14679440000000002
7000,5.0589468,2.194,0.0219594,0.027790199999999998,0.14713400000000001
7100,5.151076,2.1799999999999997,0.0219308,0.0277648,0.1484516
7200,5.2416228,2.2340000000000004,0.021912599999999997,0.0277556,0.1487228
7300,5.3364458,2.268,0.021923400000000003,0.0277756,0.14938959999999998
7400,5.430256,2.318,0.0219272,0.0277832,0.14990920000000002
7500,5.529461,2.326,0.0219304,0.027788599999999997,0.1499546
7600,5.6247282,2.388,0.0219556,0.0278112,0.1508316
7700,5.7224688,2.408,0.021981399999999998,0.027843800000000002,0.15074079999999998
7800,5.8186396,2.4859999999999998,0.021970800000000002,0.0278318,0.15100660000000002
7900,5.914818000000001,2.5140000000000002,0.0219584,0.027818,0.1516624
8000,6.011410199999999,2.5279999999999996,0.021959399999999997,0.0278228,0.1525166
8100,6.108777400000001,2.54,0.0219582,0.027821400000000003,0.15386640000000001
