n_samples,time,memory,MAE,RMSE,R2
100,0.0650474,0.4600546875,0.021575399999999998,0.027985,-0.051500000000000004
200,0.141953,0.031406250000000004,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.1920116,1.109578125,0.0223354,0.028482999999999998,0.0002888000000000005
400,0.2831114,1.4082988281250002,0.022439399999999998,0.0286142,0.0531902
500,0.36011139999999997,1.576208984375,0.022457,0.028610999999999998,0.08676740000000001
600,0.44656700000000005,1.65223046875,0.022501399999999998,0.028718399999999998,0.0945224
700,0.5352716,2.036796875,0.022104000000000002,0.0282594,0.1140684
800,0.6844284,2.5147558593749997,0.0219986,0.028145999999999997,0.1391402
900,0.7887754,2.967419921875,0.0216038,0.0277862,0.15488439999999998
1000,0.9070632,3.4677617187500003,0.021319399999999995,0.027428199999999996,0.1693788
1100,1.0342676,3.9257714843749993,0.021066,0.027116800000000003,0.1843108
1200,1.1717546,4.293939453125001,0.020892,0.026879999999999998,0.1977842
1300,1.315048,4.549939453125001,0.020746,0.026705800000000002,0.2065084
1400,1.4666914,4.7419453125,0.0206292,0.026557199999999996,0.207071
1500,1.6269668,5.016109375,0.020406599999999997,0.026321,0.2133444
1600,1.7910847999999997,5.2602773437499994,0.020258599999999998,0.026143800000000002,0.2190016
1700,1.9609504000000002,5.4424414062499995,0.0201692,0.026020599999999998,0.2226544
1800,2.1350826,5.526441406249999,0.020071,0.025928800000000002,0.23156680000000002
1900,2.3094716,5.676445312499999,0.0199358,0.025758399999999997,0.24005739999999998
2000,2.4879472000000002,5.752451171875,0.0199132,0.025705,0.24647199999999997
2100,2.6692624,5.808451171874999,0.019805200000000002,0.0255928,0.24818859999999998
2200,2.852141,5.858455078125,0.0197448,0.025537999999999998,0.2522126
2300,3.0363578,5.896455078125,0.0197552,0.0255498,0.2574764
2400,3.2191471999999997,5.916455078125,0.0197278,0.025500000000000002,0.26080760000000003
2500,3.4047913999999997,5.942623046875,0.0196792,0.025434000000000002,0.2629574
2600,3.5866227999999998,5.954623046875,0.019693600000000002,0.025441800000000004,0.2643438
2700,3.7731747999999996,5.908623046875,0.019670800000000002,0.0254114,0.2634974
2800,3.9656028,5.932623046874999,0.0196402,0.0253648,0.26861560000000007
2900,4.1535186,5.986623046875001,0.0195978,0.0253142,0.2754796
3000,4.353089,5.798623046875,0.019490200000000003,0.0251996,0.2800822
3100,4.5523398,6.272,0.019357,0.025053199999999998,0.28717339999999997
3200,4.7587854,6.890000000000001,0.0192482,0.0249388,0.292773
3300,4.9713024,7.292,0.0191158,0.024809,0.2999074
3400,5.1925052,7.724000000000001,0.018997000000000003,0.024687599999999997,0.3051376
3500,5.4192766,8.18,0.0188812,0.0245632,0.3088866
3600,5.674668,8.548,0.0188214,0.024502399999999997,0.31336040000000004
3700,5.927271200000001,8.972,0.018726399999999997,0.0244086,0.31903899999999996
3800,6.2074647999999994,9.315999999999999,0.0186474,0.0243226,0.32379959999999997
3900,6.5176327999999994,10.156,0.0185144,0.0241834,0.33210419999999996
4000,6.812795199999999,10.782,0.0183764,0.0240356,0.339954
4100,7.135146000000001,11.408,0.018269599999999997,0.023927800000000003,0.34646119999999997
4200,7.450605400000001,12.228,0.018136600000000003,0.0237896,0.353815
4300,7.7871120000000005,12.962,0.0180066,0.0236438,0.3625372
4400,8.1587902,13.606,0.0178964,0.023526399999999996,0.36836
4500,8.5850386,14.168000000000001,0.017755,0.023377000000000002,0.37553339999999996
4600,8.9727426,14.832000000000003,0.0176456,0.023253600000000003,0.382934
4700,9.377322199999998,15.623999999999999,0.0175258,0.023125399999999997,0.3923376
4800,9.816320399999999,16.395999999999997,0.017402400000000002,0.022999,0.39890440000000005
4900,10.2538146,17.118000000000002,0.017275400000000003,0.0228576,0.4063562
5000,10.7107326,17.830000000000002,0.0171564,0.0227252,0.4127758
5100,11.1840226,18.45,0.0170254,0.0225852,0.41947419999999996
5200,11.6945988,19.062000000000005,0.0169052,0.0224612,0.4279166
5300,12.1971846,19.656000000000002,0.016816199999999996,0.0223576,0.43718219999999997
5400,12.728704000000002,20.232,0.0167242,0.022248200000000003,0.444653
5500,13.263212000000001,20.663999999999998,0.016626799999999997,0.0221374,0.4511608
5600,13.8078044,21.112000000000002,0.016538599999999997,0.022033000000000004,0.4580872
5700,14.3709692,21.518,0.0164492,0.0219324,0.4647658
5800,14.941806600000001,21.932,0.0163734,0.021845399999999997,0.4689718
5900,15.624810599999998,22.491999999999997,0.0162842,0.021742400000000002,0.4740825999999999
6000,16.2285098,22.878,0.016183999999999997,0.021633,0.4796658
6100,16.861086,23.37,0.016091,0.0215276,0.484985
6200,17.488116400000003,23.538,0.0160036,0.021429,0.49000319999999997
6300,18.1365236,24.098000000000003,0.0159196,0.021333400000000002,0.4937669999999999
6400,18.774020599999997,24.732000000000003,0.0158288,0.0212314,0.4983254
6500,19.424023,25.424,0.0157198,0.021118400000000002,0.5033814
6600,20.101148400000003,26.092000000000002,0.015629399999999998,0.021017599999999997,0.507465
6700,20.8092128,26.560000000000002,0.015542,0.020921600000000002,0.5117436000000001
6800,21.506539,27.162,0.015457799999999999,0.0208256,0.5166856
6900,22.2158892,27.821999999999996,0.0153744,0.020729600000000004,0.521891
7000,22.9473986,28.304000000000002,0.0152918,0.020634999999999997,0.5262207999999999
7100,23.692301399999998,28.768,0.0152056,0.020536400000000003,0.5305168
7200,24.476709,29.312,0.015127800000000002,0.0204446,0.5344024
7300,25.2490338,29.698,0.015041200000000001,0.020347999999999998,0.539856
7400,26.0289862,30.188,0.0149588,0.0202578,0.544465
7500,26.8247906,30.797999999999995,0.014881,0.020167200000000003,0.5487512
7600,27.6279562,31.411999999999995,0.014807,0.0200836,0.5536366
7700,28.442163599999997,32.048,0.014737999999999998,0.020001400000000003,0.5582312
7800,29.277887,32.536,0.0146732,0.019923199999999995,0.5613577999999999
7900,30.159316,33.058,0.0146036,0.0198386,0.5650308
8000,31.021351599999996,33.582,0.0145306,0.0197568,0.5691368
8100,31.894960400000002,34.14,0.014457999999999999,0.019676,0.5732482
