n_samples,time,memory,MAE,RMSE,R2
100,0.050751199999999996,0.024375,0.5162732,0.6571428000000001,-578.7951930000002
200,0.09656179999999999,0.025205078124999995,0.5712246,0.7223034,-647.2107725999999
300,0.1424868,0.025205078124999995,0.592649,0.7440806,-681.3114831999999
400,0.1884824,0.025205078124999995,0.6101518,0.7605620000000001,-667.5015636
500,0.23442500000000002,0.025205078124999995,0.620493,0.7691153999999999,-658.4305948
600,0.2804452,0.025205078124999995,0.6264578000000001,0.7754324,-659.0359632
700,0.32646640000000005,0.025205078124999995,0.626656,0.7749928,-665.2839752000001
800,0.37243519999999997,0.025205078124999995,0.6259083999999999,0.7757726,-652.6457400000002
900,0.41838879999999995,0.025205078124999995,0.6263308,0.7774030000000001,-660.2329824000001
1000,0.4643828,0.025205078124999995,0.6291496000000001,0.7793478,-669.2717976
1100,0.5102584,0.025205078124999995,0.6304930000000001,0.7814479999999999,-676.1477757999999
1200,0.556307,0.025205078124999995,0.6321198000000001,0.7825088000000001,-678.049768
1300,0.6022114,0.025205078124999995,0.6316246,0.7815929999999999,-677.7075678
1400,0.6481876,0.025205078124999995,0.6327497999999999,0.7834497999999999,-687.82121
1500,0.6940462000000001,0.025205078124999995,0.6314645999999999,0.7813568,-690.8610639999999
1600,0.739969,0.025205078124999995,0.6306718,0.779918,-692.3490558000001
1700,0.7863022,0.025205078124999995,0.6303616,0.7789227999999999,-693.7242571999999
1800,0.8322528,0.025205078124999995,0.6308912,0.7792128,-691.013287
1900,0.8780926000000001,0.025205078124999995,0.6327077999999999,0.7807044000000001,-694.857809
2000,0.9241384,0.025205078124999995,0.6328958,0.780716,-691.5790979999999
2100,0.9700492000000001,0.025205078124999995,0.6332822,0.780773,-696.0339942
2200,1.0159200000000002,0.025205078124999995,0.6331344,0.7803831999999999,-694.2270202000001
2300,1.0617734,0.025205078124999995,0.6327738,0.7798216,-687.7498674000001
2400,1.1076948000000002,0.025205078124999995,0.6334664000000001,0.7810188000000001,-689.2911644
2500,1.1535472,0.025205078124999995,0.6332536,0.7809336,-690.4480925999999
2600,1.1994864,0.025205078124999995,0.6350482,0.7830221999999999,-692.2899868000001
2700,1.2452646,0.025205078124999995,0.6364254,0.7847405999999999,-697.6736126
2800,1.2911594000000002,0.025205078124999995,0.6360334,0.7842112,-694.4382392
2900,1.3370128000000001,0.025205078124999995,0.6361768000000001,0.784853,-691.6784747999999
3000,1.3829015999999998,0.025205078124999995,0.636934,0.7850822,-693.8420037999999
3100,1.4288409999999998,0.025205078124999995,0.6363456000000001,0.784097,-693.352058
3200,1.474777,0.025205078124999995,0.6368742000000001,0.7845016,-694.9529452
3300,1.5206032,0.025205078124999995,0.6365314000000001,0.7844282,-695.0629998000001
3400,1.5665377999999999,0.025205078124999995,0.6363808,0.7841898,-696.1295384
3500,1.6123725999999998,0.025205078124999995,0.6364563999999999,0.7846566,-700.318289
3600,1.658316,0.025205078124999995,0.6362536,0.784555,-699.1589620000001
3700,1.7042114000000002,0.025205078124999995,0.6361128,0.784749,-698.7739277999999
3800,1.7501197999999998,0.025205078124999995,0.6366115999999999,0.7852956,-699.7272376
3900,1.7958995999999998,0.025205078124999995,0.6375230000000001,0.7867066,-701.9119494
