n_samples,time,memory,MAE,RMSE,R2
100,0.0244952,0.129625,4.932366999999999,5.8251104,-0.0743582
200,0.0486244,0.023544921875,4.9515156,5.7754924,-0.040471400000000005
300,0.08419979999999999,0.19979687499999998,4.7930504,5.594164,0.0008673999999999997
400,0.1068206,0.21569531249999999,4.7663956,5.547909199999999,0.0294358
500,0.1332476,0.233701171875,4.697028599999999,5.484024,0.05157579999999999
600,0.15774660000000001,0.28797265625,4.6528696,5.440654400000001,0.0812894
700,0.1827684,0.3001328125,4.560614800000001,5.3579682,0.1083622
800,0.2093594,0.291330078125,4.4812026000000005,5.2822128,0.1250634
900,0.2384432,0.304134765625,4.440326799999999,5.244025,0.1412742
1000,0.26447539999999997,0.37324804687499996,4.3774201999999995,5.1803888,0.1622862
1100,0.2906866,0.40156445312500005,4.3055834,5.1030364,0.181062
1200,0.319837,0.39484179687500004,4.2603222,5.055255000000001,0.20030940000000003
1300,0.3495016,0.39748046875000004,4.218915999999999,5.0132488,0.2124472
1400,0.3779386,0.4569609375,4.1987194,4.9941448,0.22066
1500,0.4075285999999999,0.472568359375,4.162425600000001,4.9627226,0.2292904
1600,0.4368056,0.48429492187499995,4.1243308,4.9219994,0.23843640000000002
1700,0.467356,0.50437890625,4.0953512,4.893051600000001,0.24568379999999998
1800,0.4995978,0.5256015625,4.0640484,4.863459000000001,0.2480828
1900,0.5317993999999999,0.55887890625,4.0470771999999995,4.8488284,0.25151120000000005
2000,0.5771396,0.59164453125,4.0291848,4.832011400000001,0.2555598
2100,0.6089394,0.608708984375,4.011206,4.8113475999999995,0.26029859999999994
2200,0.6453676,0.5795859375,3.9855186000000002,4.786923200000001,0.2656846
2300,0.6783038,0.6607988281250001,3.969151,4.7796178,0.266301
2400,0.7146847999999999,0.68458984375,3.9412442,4.7541232,0.272029
2500,0.7495443999999999,0.73001953125,3.929177,4.7451664,0.2750998
2600,0.7844548,0.754845703125,3.9181412,4.7313278,0.28262019999999993
2700,0.8198906000000001,0.768919921875,3.9010962,4.7125608,0.2898984
2800,0.8563373999999999,0.764837890625,3.8830528,4.6913862,0.297421
2900,0.8941042000000001,0.7713710937499999,3.8666902,4.676728,0.3022342
3000,0.9314425999999999,0.7651679687499999,3.8428508,4.6547802,0.307641
3100,0.9699437999999999,0.7812734375,3.8285320000000005,4.6428842,0.30993360000000003
3200,1.0061963999999999,0.81847265625,3.8103586,4.6271364,0.315154
3300,1.0463456,0.807720703125,3.7999488,4.6159106,0.3196314
