n_samples,time,memory,MAE,RMSE,R2
100,0.029344600000000005,0.05433984374999999,4.932366999999999,5.8251104,-0.0743582
200,0.0511826,0.025849609375,4.9515156,5.7754924,-0.040471400000000005
300,0.07338360000000001,0.14032812499999997,4.6260248,5.4185228,0.06252579999999999
400,0.09708320000000001,0.14068359375,4.495088,5.2845672,0.11920039999999998
500,0.12057199999999998,0.14068359375,4.376570200000001,5.159583,0.160556
600,0.141801,0.14068359375,4.3417122,5.119765599999999,0.1865516
700,0.1615296,0.14068359375,4.288478400000001,5.0577086,0.20572720000000003
800,0.18121939999999997,0.14068359375,4.2375810000000005,5.000151399999999,0.21619000000000002
900,0.2025112,0.174884765625,4.177314,4.9435018,0.23703119999999997
1000,0.224456,0.267720703125,4.0570516,4.8389258,0.26927700000000004
1100,0.2474014,0.3011875,3.9155582000000004,4.7188224,0.2999552
1200,0.2712662,0.34105078125,3.8092851999999993,4.6204788,0.3322216
1300,0.3070824,0.42334765625,3.735897,4.5526198,0.35078979999999993
1400,0.33200860000000004,0.44789453125000006,3.6814234,4.508462,0.36515939999999997
1500,0.357491,0.455978515625,3.6309118,4.4642774,0.3765356
1600,0.3831026,0.45853124999999995,3.5676928000000006,4.402470200000001,0.3908804
1700,0.4089456,0.45861914062500003,3.5237258,4.3606628,0.4010427999999999
1800,0.4346196,0.458623046875,3.4753962,4.3127486,0.4088916
1900,0.460425,0.458623046875,3.4451158,4.2818546,0.41653979999999996
2000,0.486155,0.458623046875,3.422216,4.2599773999999995,0.4215712
2100,0.5118476,0.458623046875,3.3986564,4.2342054000000005,0.4273016
2200,0.5374346,0.458623046875,3.3717473999999994,4.2085454,0.43260540000000003
2300,0.563091,0.458623046875,3.3497399999999997,4.190038400000001,0.43632420000000005
2400,0.5887484,0.458623046875,3.3191968000000003,4.1600464,0.4427866
2500,0.6144755999999999,0.458623046875,3.3029252,4.1449658,0.4470656
2600,0.6402127999999999,0.458623046875,3.2852236000000006,4.1239436000000005,0.4551748
2700,0.6659786000000001,0.458623046875,3.2715484000000004,4.103676200000001,0.4617322
2800,0.6916675999999999,0.458623046875,3.2496274,4.079833000000001,0.46886740000000005
2900,0.7174115999999999,0.458623046875,3.2303995999999997,4.0622968,0.47374599999999994
3000,0.7435614,0.45861914062500003,3.2180886,4.0493136,0.4762246
3100,0.7697423999999999,0.458623046875,3.2048098000000005,4.0381398,0.4781664
3200,0.7956084000000001,0.45861914062500003,3.1914284,4.0228878,0.48251859999999996
3300,0.8218866,0.45861914062500003,3.1795915999999997,4.011627599999999,0.48629
3400,0.8483466,0.458623046875,3.1651298,3.9958318000000004,0.49000659999999996
3500,0.8741738,0.458623046875,3.150127,3.9803558000000003,0.49589
3600,0.9004714,0.458623046875,3.1397196000000003,3.971479,0.49919
3700,0.9261664,0.458623046875,3.1279602,3.9597448,0.5020332
3800,0.9519068,0.458623046875,3.1185994,3.9503454,0.5060968
3900,0.9778079999999999,0.458623046875,3.1112197999999998,3.944101,0.5093984
4000,1.0036038,0.458623046875,3.104777,3.9388579999999997,0.5114183999999999
4100,1.0301297999999999,0.45861914062500003,3.1002108,3.9320015999999995,0.5137898
4200,1.0568818,0.458615234375,3.0926296000000004,3.9218376,0.5160856
4300,1.0839344,0.45861914062500003,3.0841269999999996,3.9113667999999997,0.5185451999999999
4400,1.1106888,0.458615234375,3.075869,3.9012520000000004,0.5220236
4500,1.1384798,0.45614648437499994,3.0708682,3.8952126,0.5237762000000001
4600,1.1654942,0.460783203125,3.0638864,3.8870447999999995,0.5265070000000001
4700,1.1918804,0.492875,3.0606778,3.8835815999999994,0.5278538
4800,1.2184816,0.5040429687500001,3.0566656,3.8786942000000004,0.5289424
4900,1.2452736,0.5115175781250001,3.0507972000000003,3.8730734,0.5305544
5000,1.2721988,0.5164316406249999,3.0483317999999997,3.8707268,0.5309248
5100,1.2992105999999999,0.52137890625,3.0428456,3.8637147999999994,0.531438
5200,1.3269308000000002,0.52352734375,3.0374673999999997,3.8580774,0.5328952
5300,1.3539582,0.526876953125,3.0349346,3.8570727999999996,0.533436
5400,1.3810410000000002,0.528623046875,3.0307666,3.8499576000000006,0.5353544
5500,1.4089470000000002,0.529158203125,3.0249074,3.8429628,0.537231
5600,1.4382744,0.5451289062499999,3.018553,3.8367852,0.5381356
5700,1.4665194,0.5732031249999999,3.0112234,3.828579,0.5399922
5800,1.4948785999999998,0.584423828125,3.009367,3.8264907999999997,0.5392863999999999
5900,1.5245638,0.5913886718750001,3.0077704,3.8236897999999995,0.539061
6000,1.5535404,0.597169921875,3.0028287999999996,3.8176126000000004,0.5400792
6100,1.5820802,0.59948828125,3.000325,3.8162996,0.5402210000000001
6200,1.6107027999999999,0.6004414062500001,3.0017237999999997,3.8178114,0.54003
6300,1.6393421999999997,0.6017070312499999,3.0022428,3.8185556,0.5405558
6400,1.6679410000000001,0.602087890625,3.0018013999999997,3.8176012,0.5422977999999999
6500,1.6965489999999999,0.6022734375,2.9968373999999995,3.8131996,0.542976
6600,1.7251356000000002,0.6022890624999999,2.9953622,3.8110875999999996,0.544533
6700,1.7537487999999999,0.6024609375,2.9924232,3.8063426,0.5458266
