n_samples,time,memory,MAE,RMSE,R2
100,0.0490164,0.614552734375,4.6072486,5.7473073999999995,-0.1573814
200,0.26576560000000005,0.676998046875,4.3850234,5.4702058,-0.08480180000000001
300,0.3210696,1.2739999999999998,4.6430914,5.8616902,-0.04931939999999999
400,0.6155458,1.0900000000000003,4.8586788,6.088870399999999,-0.034871
500,0.6793222,1.7299999999999998,4.923405600000001,6.1809731999999995,-0.027262200000000004
600,1.0448232000000002,1.0971171874999999,4.9034804,6.160882399999999,-0.0230034
700,1.1204291999999998,1.742376953125,5.013978,6.3404414000000004,0.003981399999999999
800,1.384085,0.28446875,5.0903748,6.4416438,0.017830599999999995
900,1.4264984,0.9413125000000001,4.964192,6.279336599999999,0.058765
1000,1.5125088000000002,1.32,4.8459282,6.1468096,0.0851014
1100,1.5940178,1.9439999999999997,4.719064,6.012917,0.12542579999999998
1200,1.8149292,1.4280000000000002,4.6272056,5.908251,0.15206219999999998
1300,2.03044,1.3519999999999999,4.5234548,5.791366399999999,0.1735596
1400,2.1110018,1.98,4.474787,5.7189874000000005,0.18997340000000001
1500,2.2709478,2.066,4.416137000000001,5.64049,0.21209059999999996
1600,2.3583412,2.6919999999999997,4.3432088,5.5541856,0.22745700000000002
1700,2.670005,2.196,4.289099599999999,5.494940799999999,0.24037319999999998
1800,2.8028609999999996,2.6260000000000003,4.249557200000001,5.4700976,0.2574988
1900,3.0332350000000003,2.66,4.2250537999999995,5.4486112,0.2726138
2000,3.2268896,2.806,4.1844506,5.40442,0.2872296
2100,3.3733869999999997,2.936,4.1859508,5.4187884,0.29499820000000004
2200,3.6583452000000003,2.652,4.193280799999999,5.4333754,0.30554580000000003
2300,3.90022,2.584,4.181648,5.4225222,0.3183886
2400,4.0921914,2.808,4.162468600000001,5.3927484,0.3256828
2500,4.2195492,3.186,4.179610200000001,5.4165644,0.326081
2600,4.454206999999999,2.988,4.1971788000000005,5.4338726,0.32467100000000004
2700,4.6901368,2.72125,4.1632454,5.3995666,0.33312400000000003
2800,4.8339286,3.146,4.129403600000001,5.3673898,0.34310399999999996
2900,5.038410600000001,3.31,4.1234804,5.3621582000000005,0.3479936
3000,5.2634566000000005,3.2439999999999998,4.1319707999999995,5.375185,0.35109320000000005
3100,5.3851982000000005,3.872,4.101985600000001,5.345608,0.3559776
3200,5.723953,3.478,4.097307600000001,5.3383272,0.35803559999999995
3300,5.927242199999999,3.6100000000000003,4.1066302,5.347778,0.35681660000000004
3400,6.157028,3.444,4.0876976,5.323262799999999,0.3587540000000001
3500,6.3288042,3.8239999999999994,4.0731340000000005,5.304439,0.3641788
3600,6.4786626,4.194000000000001,4.0584732,5.283131200000001,0.3699694
3700,6.7474989999999995,3.9160000000000004,4.040450000000001,5.2610665999999995,0.375558
3800,7.139692199999999,2.864,4.012071399999999,5.2286546000000005,0.38125200000000004
3900,7.2941286000000005,3.272,3.9942746,5.2067808,0.3871818
4000,7.5414978,3.128,3.9901739999999997,5.2011798,0.3913792
4100,7.650384399999998,3.754,3.970045399999999,5.1777064,0.395056
4200,7.840207599999999,3.85,3.9413326,5.1467928,0.4017178
4300,8.079796400000001,3.7699999999999996,3.9217768,5.1222156,0.40744959999999997
4400,8.356946400000002,3.688,3.911811,5.108102000000001,0.4127878
4500,8.4787386,4.316,3.8916928,5.0827964,0.41684
4600,8.7158084,4.176,3.8680408,5.0548188,0.4218884
4700,9.0420786,3.8560000000000003,3.8634876,5.0446598,0.4251652
4800,9.2435982,4.087999999999999,3.8551547999999998,5.0328768,0.42946819999999997
4900,9.5097724,3.968,3.834628,5.0072263999999995,0.4326226
5000,9.642701599999999,4.5920000000000005,3.8242939999999996,4.9940998,0.43434439999999996
5100,9.963172199999999,4.26,3.82444,4.992141,0.4382674
5200,10.1725236,4.392,3.8101876000000003,4.974916800000001,0.4420182
5300,10.457652999999999,4.282,3.7975786,4.9593954,0.44513300000000006
5400,10.6959178,4.433999999999999,3.7813722,4.940519999999999,0.4487782
5500,10.8459826,5.058,3.7747504,4.934505799999999,0.45197000000000004
5600,11.080845199999999,5.124,3.7676299999999996,4.923231400000001,0.45470259999999996
5700,11.345954800000001,5.029999999999999,3.7600384000000004,4.9134428,0.45676839999999996
5800,11.717498599999999,4.462,3.7507132,4.9014792,0.458711
5900,11.946123799999999,4.62,3.7427428,4.8930986,0.4593553999999999
6000,12.1800956,4.758,3.7325194,4.8780642,0.46137940000000005
6100,12.429694800000002,4.926,3.7268856,4.8685102,0.46403340000000004
6200,12.6704126,5.056,3.7282342,4.8698076,0.46729780000000004
6300,13.0505214,4.465999999999999,3.7253701999999995,4.866499599999999,0.4693823999999999
6400,13.2457362,4.846,3.7156516,4.8541186000000005,0.4711392
6500,13.39821,5.47,3.7117638,4.8499403999999995,0.4732258
