n_samples,time,memory,MAE,RMSE,R2
100,0.033442,0.388498046875,4.6072486,5.7473073999999995,-0.1573814
200,0.08241079999999999,0.44955468750000005,4.3850234,5.4702058,-0.08480180000000001
300,0.11846019999999999,0.511615234375,4.6430914,5.8616902,-0.04931939999999999
400,0.18275999999999998,0.5703437500000001,4.8586788,6.088870399999999,-0.034871
500,0.2211994,0.5954921875,4.923405600000001,6.1809731999999995,-0.027262200000000004
600,0.2799506,0.37532617187499995,4.9034804,6.160882399999999,-0.0230034
700,0.3159552,0.5888808593749999,4.973398,6.2736393999999995,0.0241674
800,0.3687075999999999,0.29187109375000003,5.01875,6.337519,0.048266199999999995
900,0.4033372,0.591662109375,4.9887084,6.2704382,0.060448800000000004
1000,0.45057099999999994,0.60908984375,4.884735399999999,6.1567186000000005,0.081335
1100,0.5135904,0.8516328125000001,4.7923838000000005,6.0519,0.1135618
1200,0.5696085999999999,1.1044375,4.707455,5.956416599999999,0.1377254
1300,0.635482,1.674,4.605193999999999,5.848224999999999,0.15693580000000001
1400,0.7047078,2.38,4.5355137999999995,5.761813399999999,0.1775786
1500,0.8071572,3.0260000000000002,4.4673736,5.681821200000001,0.20029359999999996
1600,0.9093718,3.5200000000000005,4.411144,5.612252400000001,0.2108988
1700,1.0238083999999998,3.9219999999999997,4.366962,5.560537399999999,0.2219138
1800,1.1635598,4.298,4.334657599999999,5.5320523999999995,0.24023180000000002
1900,1.2977284,4.666,4.3101928,5.5028486,0.2580016
2000,1.441296,4.9559999999999995,4.274636,5.463866,0.2714988
2100,1.5920664000000002,5.188000000000001,4.263890399999999,5.4583578,0.2847978
2200,1.749435,5.43,4.2514384,5.4456906,0.30240619999999996
2300,1.9120785999999999,5.640000000000001,4.2451546,5.4373126,0.3145846
2400,2.0788637999999997,5.8100000000000005,4.230334399999999,5.4104206,0.32125459999999995
2500,2.2519438,5.9879999999999995,4.230999,5.4116252,0.3273318
2600,2.4460214000000002,6.1579999999999995,4.2302236,5.4092286,0.33074159999999997
2700,2.6271940000000003,6.261999999999999,4.2058852,5.383103199999999,0.3372248
2800,2.8125177999999997,6.37,4.190827199999999,5.3607318,0.34472420000000004
2900,3.0014360000000004,6.481999999999999,4.1834598,5.3462494,0.3518658
3000,3.1923786,6.5760000000000005,4.1942012,5.355609200000001,0.3558586
3100,3.387775199999999,6.648000000000001,4.1754518,5.3345394,0.35866239999999994
3200,3.5856374000000004,6.734,4.1648812,5.3229476,0.361775
3300,3.784319,6.811999999999999,4.1568658,5.3142102,0.36484639999999996
3400,3.9857058000000003,6.88,4.1374608,5.2906698,0.366578
3500,4.1891038,6.952000000000001,4.133645,5.283068200000001,0.3693022
3600,4.394314,7.022,4.1160858,5.2620658,0.37497579999999997
3700,4.6011912,7.087999999999999,4.105088,5.2469814,0.37892819999999994
3800,4.809937,7.134,4.0950435999999995,5.230692599999999,0.380795
3900,5.0219786,7.169999999999999,4.0856216,5.218058200000001,0.38455999999999996
4000,5.234804199999999,7.218000000000001,4.0780376,5.208572200000001,0.38971480000000003
4100,5.4499516,7.2700000000000005,4.05994,5.187427000000001,0.3928452
4200,5.6748878,7.2219999999999995,4.0447532,5.169888200000001,0.39636119999999997
4300,5.8954716,7.284000000000001,4.0347878,5.1560194,0.39962159999999997
4400,6.110271,7.279999999999999,4.0331622,5.1501934,0.4030788
4500,6.3351878,7.280000000000001,4.0178484,5.1313122,0.40567699999999995
4600,6.5525098,7.35,4.0061442000000005,5.1133892,0.40846340000000003
4700,6.778537,7.306,3.9962725999999997,5.099972,0.4125472
4800,6.9955452000000005,7.37,3.9919259999999994,5.0921948,0.415972
4900,7.213203,7.383999999999999,3.9758386000000003,5.072886,0.4176816
5000,7.435867999999999,7.336,3.9650208000000005,5.0608334,0.419148
5100,7.657727800000001,7.4,3.9606676000000007,5.0538338,0.4243256000000001
5200,7.8810232,7.395999999999999,3.9496688,5.041412599999999,0.42703120000000006
5300,8.111437200000001,7.468000000000001,3.9419020000000002,5.030787800000001,0.42907839999999997
5400,8.3390518,7.481999999999999,3.9314156,5.0162854,0.4317874
5500,8.575022,7.401999999999999,3.9251728,5.009262,0.4352682
5600,8.8009012,7.494,3.916561,4.9963904,0.43841640000000004
5700,9.022439,7.517999999999999,3.9114378000000003,4.9886490000000006,0.44004080000000007
5800,9.2492324,7.556,3.9120432000000003,4.986083799999999,0.43990100000000004
5900,9.4849864,7.674000000000001,3.9086114000000003,4.9817124,0.4396464
6000,9.7197578,7.768000000000001,3.8970572,4.967229999999999,0.4415546
6100,9.950128000000001,7.832000000000001,3.8920358,4.958832200000001,0.44401340000000006
6200,10.1837562,7.898000000000001,3.8908612,4.9559848,0.4483262
6300,10.4245264,7.952000000000001,3.8893158,4.952738,0.45045340000000006
6400,10.6585736,8.033999999999999,3.8839794000000003,4.944088599999999,0.4513986
6500,10.8949422,8.09,3.8813395999999996,4.9407762,0.4533598
