n_samples,time,memory,MAE,RMSE,R2
100,0.0410524,0.2276484375,4.6072486,5.7473073999999995,-0.1573814
200,0.0835082,0.206986328125,4.3850234,5.4702058,-0.08480180000000001
300,0.1198248,0.420197265625,4.5363474,5.7420436,-0.007651399999999994
400,0.16088960000000002,0.548744140625,4.653734399999999,5.8725694,0.0344366
500,0.19292060000000003,0.6159296875,4.655061399999999,5.8791242,0.0625582
600,0.23293599999999998,0.6642460937499999,4.598152600000001,5.813453999999999,0.0770816
700,0.26725380000000004,0.7103046875000001,4.724209999999999,6.007060200000001,0.0908654
800,0.30944720000000003,0.498734375,4.816376,6.130250200000001,0.09578519999999999
900,0.3425746,0.7654453125,4.7902784,6.0643654,0.1058964
1000,0.37942339999999997,0.8251328125,4.7019404,5.9627251999999995,0.1224224
1100,0.41715,0.8681425781250001,4.6173774000000005,5.8600408,0.1538818
1200,0.4624712000000001,0.786275390625,4.5488412,5.7712918,0.17641
1300,0.5085476,1.3108671875,4.4483996,5.6653524,0.1960818
1400,0.5576026000000001,1.75,4.378829,5.5785338,0.2170546
1500,0.6293309999999999,2.13,4.3186232,5.5060762,0.2382804
1600,0.6940883999999999,2.3560000000000003,4.2660918,5.4396112,0.2485096
1700,0.7617915999999999,2.5160000000000005,4.2181163999999995,5.389645799999999,0.25906399999999996
1800,0.8328642,2.6800000000000006,4.185919800000001,5.364481,0.2761838
1900,0.906758,2.832,4.1558536,5.3317662,0.2942606
2000,0.9844375999999999,2.9339999999999997,4.1231317999999995,5.2962086,0.3068864
2100,1.0627456,3.01,4.1142596,5.291028799999999,0.31987239999999995
2200,1.1438435999999998,3.068,4.104541,5.2814638,0.33603859999999997
2300,1.2376542000000001,3.16,4.0963366,5.270891799999999,0.3485108
2400,1.3232326,3.21,4.07428,5.238757199999999,0.3564712
2500,1.408782,3.286,4.0756314,5.243801400000001,0.3622678
2600,1.4962964,3.3899999999999997,4.082519400000001,5.248919600000001,0.3639316
2700,1.586123,3.45,4.057557,5.2254536,0.36968059999999997
2800,1.6762476,3.5420000000000003,4.037564,5.198552,0.37811760000000005
2900,1.766909,3.6700000000000004,4.030621200000001,5.1839808,0.3851934
3000,1.8627658,3.776,4.0386632,5.194864,0.388583
3100,1.9583110000000001,3.9579999999999997,4.014247,5.1691664,0.3926948
3200,2.0581804,4.093999999999999,4.0024704,5.1574118,0.3959542
3300,2.1594510000000002,4.196,3.9981321999999997,5.151573400000001,0.39861599999999997
3400,2.262574,4.292,3.9776776,5.1261377999999995,0.40106079999999994
3500,2.3677774000000005,4.38,3.9704692,5.117245200000001,0.4039692
3600,2.4763304,4.433999999999999,3.9533434,5.0956604,0.4095964
3700,2.5859814,4.532,3.9353156000000005,5.073540599999999,0.4149698
3800,2.708847,4.612,3.9199168,5.0532846000000005,0.41786899999999993
3900,2.8245508,4.696,3.9066870000000002,5.0369446,0.422389
4000,2.9403368,4.764,3.8982631999999997,5.026654000000001,0.4275678
4100,3.0570378,4.8260000000000005,3.879690599999999,5.0046284,0.4308936
4200,3.1777034,4.864,3.8591995999999993,4.980950399999999,0.43576899999999996
4300,3.2992018,4.946,3.8430684,4.960919200000001,0.44016279999999997
4400,3.419307,5.02,3.8368279999999997,4.9510694,0.44431640000000006
4500,3.5437868000000003,5.0520000000000005,3.818735,4.9291842,0.44744540000000005
4600,3.6671591999999995,5.12,3.8003177999999997,4.905756200000001,0.4514412
4700,3.7931660000000003,5.12,3.7859290000000003,4.8882036,0.45621340000000005
4800,3.9170226,5.18,3.7771313999999996,4.8762168,0.4602886
4900,4.0443666,5.2,3.7591514000000004,4.8541698,0.4626176
5000,4.1862096,5.324,3.7460244000000005,4.839128799999999,0.4647366
5100,4.3163956,5.376,3.7381760000000006,4.8290106,0.47028099999999995
5200,4.450025800000001,5.4719999999999995,3.7276004,4.8155874,0.47301459999999995
5300,4.5832676,5.630000000000001,3.7145086000000007,4.8005656,0.47604500000000005
5400,4.7213405999999996,5.784000000000001,3.699953,4.7836308,0.47917059999999995
5500,4.8594706,5.909999999999999,3.693812,4.7762915999999995,0.48263160000000005
5600,5.0021176,5.956,3.6848164000000003,4.76306,0.48569819999999997
5700,5.144517400000001,6.062,3.6778594,4.753878200000001,0.48753339999999995
5800,5.2963028,6.134,3.673928,4.7459882,0.4885302
5900,5.4494868,6.228,3.6721716,4.7438482,0.48789819999999995
6000,5.600573799999999,6.2620000000000005,3.6614818,4.728958,0.4898434
6100,5.7496384,6.356,3.6535652,4.717194999999999,0.49285700000000005
6200,5.906098399999999,6.498,3.6525852,4.7150228,0.4967558
6300,6.0620296,6.658000000000001,3.649429,4.7088108,0.49946460000000004
6400,6.2364924,6.779999999999999,3.6420328,4.697931,0.5008426
6500,6.3972692,6.864,3.6367502000000003,4.6924086,0.5030766
