n_samples,time,memory,MAE,RMSE,R2
100,0.034065399999999996,0.12587500000000001,0.8226522,1.1614542,-0.4037146
200,0.06452240000000001,0.11292187500000002,0.7698094,1.0336698,-0.2244774
300,0.0911116,0.147376953125,0.7493981999999999,0.9955928,-0.1544652
400,0.12177980000000002,0.107115234375,0.7516596,0.9813558,-0.11327419999999999
500,0.1468658,0.175240234375,0.7479828,0.9742868,-0.0829682
600,0.1740118,0.18816796875000003,0.7464268,0.9700975999999999,-0.0679612
700,0.1991354,0.2102578125,0.7402196000000001,0.9581046000000001,-0.05213759999999999
800,0.22437200000000002,0.24302148437499999,0.728097,0.9415374,-0.0358836
900,0.24779420000000002,0.3157734375,0.720637,0.9291414,-0.025056399999999996
1000,0.2752384,0.33496484375,0.7221238,0.9300066000000001,-0.018560399999999998
1100,0.30081100000000005,0.40224414062499997,0.7218152,0.9282406,-0.0109038
1200,0.32757,0.43696875,0.7195548,0.9248693999999998,-0.0006706000000000004
1300,0.3554182,0.46233984375000003,0.719104,0.9254566000000001,0.0026550000000000002
1400,0.3843802,0.4845546875,0.7165312,0.9217017999999999,0.007790400000000003
1500,0.4141972,0.5299042968750001,0.7119256,0.9146974,0.0162848
1600,0.44387699999999997,0.59162890625,0.708486,0.9084714,0.024625800000000003
1700,0.4742758,0.6378691406250001,0.7092959999999999,0.9089054000000001,0.0319834
1800,0.5058198,0.674861328125,0.708376,0.9058398000000001,0.0395804
1900,0.5377798,0.69690234375,0.708291,0.9049668000000001,0.0437888
2000,0.5705513999999999,0.7233066406249999,0.7075704,0.9030022000000001,0.0503684
2100,0.604197,0.768806640625,0.7066984,0.9016869999999999,0.0551976
2200,0.6388908000000001,0.793732421875,0.707062,0.9028202000000001,0.0544122
2300,0.6746274,0.815861328125,0.7036992,0.8987809999999999,0.05572780000000001
2400,0.7097008,0.8721289062500001,0.7015779999999999,0.8951926,0.059511800000000004
2500,0.7456596,0.915845703125,0.6984252,0.8909244,0.06323300000000001
2600,0.7823408,0.9371855468749999,0.6982488,0.8896272,0.066313
2700,0.8195712,0.963876953125,0.6978408,0.8871459999999999,0.07001460000000001
2800,0.871532,1.021435546875,0.6963282,0.8848978000000001,0.0710814
2900,0.9114342000000001,1.0920683593749998,0.6947416000000001,0.8824368,0.0738248
3000,0.9517086000000001,1.14244921875,0.6937933999999999,0.8806405999999999,0.0777698
3100,0.9925384000000002,1.1840996093749998,0.6933484,0.8802353999999999,0.07946
3200,1.0343232,1.2422265624999997,0.6919074000000001,0.8776756000000001,0.08315520000000001
3300,1.0777367999999998,1.294826171875,0.6909124,0.8756845999999999,0.0858246
3400,1.124534,1.3299999999999998,0.691042,0.8759352,0.08515320000000001
3500,1.1696700000000002,1.4220000000000002,0.6891526,0.8732225999999998,0.09039900000000001
3600,1.2159534,1.484,0.6860809999999999,0.8693649999999999,0.0936526
3700,1.2628027999999998,1.546,0.6839704,0.8671949999999999,0.0946488
3800,1.3126423999999999,1.552,0.6824874000000001,0.8665034,0.09442239999999999
3900,1.3621666,1.6280000000000001,0.6798516,0.863983,0.0973512
4000,1.4142202,1.67,0.6788228000000001,0.8624700000000001,0.0983768
4100,1.4658286,1.768,0.6765196,0.8597704,0.10131140000000001
4200,1.5187981999999998,1.8239999999999998,0.674676,0.8575343999999999,0.10320120000000002
4300,1.5732102000000001,1.862,0.6721244,0.8546164,0.1060254
4400,1.6278568,1.8940000000000001,0.6696078,0.8518329999999998,0.10905119999999999
4500,1.6839764,1.9300000000000002,0.6672808,0.8486126,0.1111832
4600,1.7392516,1.966,0.6650462,0.8460905999999999,0.11331099999999998
4700,1.7967672000000001,1.984,0.66273,0.8437870000000001,0.1142274
4800,1.8664654000000003,2.0420000000000003,0.6608064,0.8412531999999999,0.11459939999999999
4900,1.9254786,2.08,0.6592436,0.8392763999999999,0.11693279999999999
5000,1.9847930000000003,2.1060000000000003,0.6572172000000001,0.8367941999999999,0.1184028
5100,2.0446268000000005,2.146,0.6563162,0.8362152,0.1200274
5200,2.1052366000000005,2.16,0.6552994,0.8352282000000001,0.1214724
