n_samples,time,memory,MAE,RMSE,R2
100,0.0317434,0.019775390625,3.802211200000001,4.8313742,-23.3508948
200,0.058006,0.0200390625,3.6395901999999998,4.626129799999999,-23.6140564
300,0.0844432,0.0200390625,3.6151976000000006,4.6450564,-24.156996400000004
400,0.1112516,0.0200390625,3.5707982,4.5889146,-23.362535
500,0.1378602,0.0200390625,3.5741278000000003,4.5840238,-23.0022464
600,0.1641898,0.0200390625,3.5591488,4.570395400000001,-22.7138404
700,0.19051,0.0200390625,3.545156,4.5360794,-22.588461600000002
800,0.2166634,0.0200390625,3.5379290000000005,4.5239704,-22.914416600000003
900,0.2428232,0.0200390625,3.5327385999999996,4.541229599999999,-23.487591400000003
1000,0.26892299999999997,0.0200390625,3.542687,4.547610399999999,-23.355080400000002
1100,0.2949464,0.0200390625,3.534062,4.5343474,-23.120821999999997
1200,0.3209302,0.0200390625,3.5237186,4.531985000000001,-23.0287114
1300,0.3469566,0.0200390625,3.5151098,4.5217176,-22.807235
1400,0.3710848,0.0200390625,3.5154039999999993,4.507615599999999,-22.732288
1500,0.394022,0.0200390625,3.5066711999999995,4.494522600000001,-22.7438034
1600,0.4169032,0.0200390625,3.5102602,4.5109324,-23.0484828
1700,0.43974520000000006,0.0200390625,3.530478,4.5665086,-23.431284599999998
1800,0.462562,0.0200390625,3.5286774000000003,4.567058000000001,-23.409601799999997
1900,0.4854882,0.0200390625,3.5331926000000005,4.5649125999999995,-23.327494199999997
2000,0.5084312,0.0200390625,3.5334676000000003,4.5545198,-23.1538624
2100,0.5312674,0.0200390625,3.5295482,4.5535756,-23.0878344
2200,0.5541574,0.0200390625,3.5376217999999993,4.5597438,-23.114373
2300,0.576999,0.0200390625,3.5342081999999997,4.5558407999999995,-23.256740999999998
2400,0.5998094,0.0200390625,3.5293908000000003,4.5467578,-23.256036199999997
2500,0.6226697999999999,0.0200390625,3.5275246000000005,4.545320599999999,-23.3759608
2600,0.6455658000000001,0.0200390625,3.5274197999999997,4.5413422,-23.3253644
2700,0.668469,0.0200390625,3.5281154,4.5378346,-23.326976
2800,0.6912758,0.0200390625,3.5252846,4.5357736,-23.401066200000002
2900,0.7140557999999999,0.0200390625,3.5254060000000003,4.532717,-23.4333336
3000,0.7367893999999999,0.0200390625,3.5226892,4.527112000000001,-23.367712599999997
3100,0.7595738,0.0200390625,3.5208723999999996,4.5207880000000005,-23.2760216
3200,0.7824744,0.0200390625,3.5146606000000005,4.5109788,-23.215011600000004
3300,0.805363,0.0200390625,3.5121076,4.510933400000001,-23.254665199999998
3400,0.8282147999999999,0.0200390625,3.5101666000000002,4.5055008,-23.200108
3500,0.8510294,0.0200390625,3.5121561999999997,4.5053974000000006,-23.209166399999997
3600,0.8738004,0.0200390625,3.5067572,4.4978898,-23.2563064
3700,0.8965681999999999,0.0200390625,3.50413,4.4946364,-23.316152800000005
3800,0.9194130000000001,0.0200390625,3.5024464,4.490976600000001,-23.3216696
3900,0.9422586,0.0200390625,3.5038446,4.4934976,-23.4126768
4000,0.9650196,0.0200390625,3.5074496,4.4930932,-23.4663614
4100,0.9877628000000002,0.0200390625,3.5059342,4.4913446,-23.521
4200,1.0105104,0.0200390625,3.5045271999999996,4.4872284,-23.551326800000002
4300,1.0332542,0.0200390625,3.502002,4.4842552,-23.608463
4400,1.0560101999999998,0.0200390625,3.5037408,4.4872658,-23.719231799999996
4500,1.0788236000000002,0.0200390625,3.5016914,4.486094800000001,-23.8349782
4600,1.1016418000000001,0.0200390625,3.4960622,4.4759338,-23.810793999999998
4700,1.124381,0.0200390625,3.4964530000000003,4.4730593999999995,-23.8887188
4800,1.1471064,0.0200390625,3.4947160000000004,4.4708619999999994,-24.0043078
4900,1.1698708000000002,0.0200390625,3.4934078,4.468968200000001,-24.034863599999998
5000,1.1926367999999998,0.0200390625,3.4928265999999994,4.467898,-24.1289726
5100,1.215548,0.0200390625,3.4967306000000002,4.4772226,-24.2232934
5200,1.2386000000000001,0.0200390625,3.4936552000000005,4.4753854,-24.2211876
