n_samples,time,memory,MAE,RMSE,R2
0.0,0.002767100648693502,0.0,2.0493901531919114e-06,7.014271166700077e-06,0.1273815583383246
0.0,0.0028039986269611486,0.0,3.7815340802377995e-06,3.6742346141747733e-06,0.058551430974827595
0.0,0.0029292749444188373,0.0,1.3038404810405264e-06,2.489979919597743e-06,0.035667224394393245
0.0,0.0030366521532767,0.0,2.190890230020663e-06,1.8708286933869655e-06,0.024012402268411216
0.0,0.003120666066723574,0.0,1.2247448713915953e-06,8.36660026534074e-07,0.01907236774760806
0.0,0.003189746416253182,0.0,4.722287581247046e-06,2.3415806627148253e-05,0.012040537791145377
0.0,0.0032428021062038217,0.0,4.393176527297763e-06,1.111305538544643e-05,0.004335447324094711
0.0,0.003323312925380331,0.0,2.5099800796022272e-06,5.7879184513951e-06,0.0031787413861464092
0.0,0.003419089425563492,0.0,2.3021728866442603e-06,2.0000000000000135e-06,0.0026274537484035753
0.0,0.003503356861639989,0.0,8.366600265340726e-07,1.1401754250991478e-06,0.002310008593057611
0.0,0.0036104495287982963,0.0,4.472135954999581e-07,1.5165750888102832e-06,0.0020577037444685763
0.0,0.0037301295821995234,0.0,8.366600265340738e-07,1.3416407864998574e-06,0.0019049658002179455
0.0,0.003942202518897294,0.0,1.2247448713915847e-06,1.4832396974191322e-06,0.0017056692821294521
0.0,0.0040890974554295256,0.0,8.366600265340764e-07,8.94427190999907e-07,0.001624708373832055
0.0,0.004269965632180201,0.0,1.6733200530681535e-06,3.999999999999988e-06,0.0012864346854776579
0.0,0.004437486811247935,0.0,2.0736441353327883e-06,2.863564212655263e-06,0.0011674905567069912
0.0,0.004594918084144624,0.0,5.47722557505165e-07,1.2247448713915792e-06,0.0010450932015853896
0.0,0.004795123804449658,0.0,1.1401754250991425e-06,1.5811388300842053e-06,0.0009510784930803556
0.0,0.004915138889187112,0.0,8.366600265340624e-07,1.0954451150103315e-06,0.00087361049673181
0.0,0.004545895071380346,0.0,1.3038404810405277e-06,2.049390153191913e-06,0.0008211986970277046
0.0,0.004502385556568874,0.0,4.4721359549996274e-07,1.14017542509913e-06,0.0007438835258291449
0.0,0.0047354570212387774,0.0,8.366600265340879e-07,2.4083189157584557e-06,0.0006976613075124635
0.0,0.005247585463810936,0.0,1.9235384061671277e-06,3.3615472627943086e-06,0.0006375925030926885
0.0,0.006040225268977963,0.0,1.1401754250991204e-06,2.2803508501982976e-06,0.0005687808892710796
0.0,0.0069259444337939026,0.0,5.477225575051593e-07,2.3452078799116996e-06,0.0005429338817940912
0.0,0.00788522800558102,0.0,5.477225575051733e-07,1.0954451150103363e-06,0.0005343614881332673
0.0,0.008875867095670169,0.0,0.0,4.4721359549997667e-07,0.0005268114463448948
0.0,0.009911310019366786,0.0,4.4721359549996883e-07,0.0,0.0005154635777627745
0.0,0.010982027535933442,0.0,5.477225575051809e-07,4.4721359549997667e-07,0.0004996298629986001
0.0,0.012084234303421953,0.0,4.4721359549996883e-07,5.477225575051456e-07,0.0004875482540221018
0.0,0.013238634117612013,0.0,5.477225575051746e-07,4.4721359549996274e-07,0.00047362886314075074
0.0,0.014397592079927829,0.0,5.477225575051448e-07,5.477225575051602e-07,0.0004648829960323349
0.0,0.015565228918971961,0.0,0.0,5.477225575051893e-07,0.0004587673702433511
0.0,0.01682651757494697,0.0,4.4721359549994157e-07,8.944271909999078e-07,0.00043818523480373007
0.0,0.017958549877426032,0.0,8.366600265340838e-07,1.0954451150103558e-06,0.0004204750884416341
0.0,0.019101765489085043,0.0,0.0,7.071067811865487e-07,0.0004010089774556175
0.0,0.020063834511378883,0.0,4.4721359549996904e-07,4.472135954999471e-07,0.0003943809072457743
0.0,0.02110096344245925,0.0,7.071067811865686e-07,2.167948338867872e-06,0.0003775517183115446
0.0,0.02215418892670181,0.0,8.36660026534073e-07,1.48323969741913e-06,0.00036333909781359887
0.0,0.023255945953669598,0.0,4.4721359549996274e-07,1.3038404810405192e-06,0.0003503122892506056
0.0,0.02446130416596789,0.0,8.366600265340919e-07,1.5165750888103165e-06,0.0003320082830292039
0.0,0.025629509763161664,0.0,5.477225575051353e-07,8.944271909999262e-07,0.00030843394754793117
0.0,0.026786639464479272,0.0,8.366600265340737e-07,1.303840481040536e-06,0.0002993406086717937
0.0,0.028016444524600212,0.0,5.477225575051733e-07,7.071067811865407e-07,0.0002864056563687247
0.0,0.029256728075777803,0.0,4.472135954999471e-07,5.477225575051746e-07,0.0002827159351716844
0.0,0.030549023596507914,0.0,4.4721359549997667e-07,8.366600265340622e-07,0.00027814528577705587
0.0,0.03186513581173002,0.0,0.0,0.0,0.00027290969202283747
0.0,0.03308412132277363,0.0,4.4721359549996904e-07,5.477225575051539e-07,0.0002688841758080977
0.0,0.034354850322771094,0.0,0.0,5.477225575051794e-07,0.0002678930756850576
0.0,0.03682771315870696,0.0,0.0,0.0,0.0002658492053777855
0.0,0.03579151850229317,0.0,5.477225575051794e-07,5.477225575051602e-07,0.00026207632476055523
0.0,0.034511375146464095,0.0,4.4721359549996904e-07,0.0,0.0002583075686076582
0.0,0.03321063369916326,0.0,4.4721359549997667e-07,0.0,0.000256016991623603
0.0,0.03189316589490618,0.0,0.0,5.477225575051395e-07,0.00025226513829699094
0.0,0.030635929858582593,0.0,0.0,0.0,0.0002491501555287493
0.0,0.029396460938351007,0.0,5.477225575051733e-07,5.477225575051539e-07,0.0002470856126932525
0.0,0.028142004711818377,0.0,0.0,0.0,0.00024071559982684958
0.0,0.02690397418969908,0.0,4.4721359549994834e-07,4.4721359549997487e-07,0.00023830820380339407
0.0,0.02570775405009153,0.0,5.477225575051572e-07,0.0,0.00023639733501035917
0.0,0.02449211452080036,0.0,4.472135954999539e-07,7.071067811865359e-07,0.00022989606347216998
0.0,0.02325642314071525,0.0,5.477225575051448e-07,4.4721359549992944e-07,0.00022154525497062677
0.0,0.022009062694717453,0.0,4.4721359549996883e-07,4.4721359549996904e-07,0.0002175299979313198
0.0,0.02078378441718454,0.0,4.4721359549997667e-07,0.0,0.00021434714833652445
0.0,0.0189169307420626,0.0,5.477225575051733e-07,0.0,0.0002122180482428391
0.0,0.0177232618386119,0.0,5.477225575051794e-07,4.4721359549997487e-07,0.00020794350194223442
0.0,0.016554478019557277,0.0,7.071067811865552e-07,5.477225575051794e-07,0.00020378051918669754
0.0,0.015453812393710593,0.0,5.477225575051733e-07,8.944271909999116e-07,0.0001969004824778243
0.0,0.014405289608334804,0.0,4.4721359549997667e-07,5.477225575051794e-07,0.00019455667554725534
0.0,0.013403903808219443,0.0,4.472135954999471e-07,0.0,0.0001927918566744976
0.0,0.012525827469672578,0.0,0.0,4.4721359549997667e-07,0.00019182335624214267
0.0,0.011560946444820204,0.0,5.477225575051733e-07,0.0,0.00019018491002179965
0.0,0.01072866670653922,0.0,0.0,0.0,0.00018580715809677503
0.0,0.010016025569057018,0.0,4.4721359549996904e-07,7.071067811865647e-07,0.00018235487380380042
0.0,0.009525652402854053,0.0,8.944271909999126e-07,1.095445115010333e-06,0.0001745179073906171
0.0,0.009233254615789757,0.0,5.477225575051794e-07,8.366600265340992e-07,0.00016956915993186972
0.0,0.009039203366447883,0.0,4.4721359549996904e-07,8.366600265340813e-07,0.00016694400258769404
0.0,0.00892639225555342,0.0,0.0,0.0,0.0001636328206687155
0.0,0.009071400647088498,0.0,0.0,0.0,0.0001633502372205195
0.0,0.0094305387597952,0.0,4.4721359549992944e-07,0.0,0.00016279373452316893
0.0,0.009953929048370797,0.0,0.0,0.0,0.00016201697441934902
0.0,0.010358037927136495,0.0,0.0,0.0,0.00016121321285800371
0.0,0.012494017956606021,0.0,4.4721359549994834e-07,0.0,0.00016040978773129775
0.0,0.012589081022854647,0.0,5.477225575051809e-07,4.4721359549997667e-07,0.00015947946576283737
0.0,0.012606778743993075,0.0,5.477225575051593e-07,0.0,0.00015855756052613832
