n_samples,time,memory,MAE,RMSE,R2
100,0.0609564,0.305720703125,0.00012480000000000002,0.00016619999999999997,-0.4517432
200,0.130914,0.29353124999999997,0.0001234,0.00016,-0.2065672
300,0.1923214,0.43612890625,0.00012560000000000002,0.000161,-0.133975
400,0.26532540000000004,0.22770703125000002,0.0001296,0.0001644,-0.0950442
500,0.338168,0.48678125000000005,0.00013220000000000001,0.00016639999999999998,-0.0884034
600,0.40851699999999996,0.6093144531250001,0.0001536,0.00022360000000000001,-0.0527218
700,0.485302,0.5484023437500001,0.000188,0.00028839999999999996,0.008886
800,0.5595512,0.8088027343749999,0.00020400000000000003,0.00030820000000000006,0.029381200000000003
900,0.6362208,0.853466796875,0.0002104,0.0003126,0.0351944
1000,0.7134655999999999,0.7712382812499999,0.000214,0.00030920000000000003,0.042925599999999994
1100,0.7974572,0.74381640625,0.00021480000000000002,0.0003064,0.0539276
1200,0.8665331999999999,0.646740234375,0.00022099999999999998,0.000313,0.0433766
1300,0.9303426,0.6721171874999999,0.00022339999999999998,0.0003144,0.0361036
1400,0.9918214000000001,0.685142578125,0.0002242,0.0003128,0.0360368
1500,1.0608716,0.692798828125,0.00023140000000000001,0.00032500000000000004,0.04659919999999999
1600,1.1340324000000002,0.72340625,0.0002408,0.0003386,0.0685604
1700,1.2047946,0.7489609375,0.0002476,0.000348,0.0813476
1800,1.2727948,0.7535859375,0.00025020000000000006,0.0003514,0.0796306
1900,1.3375164,0.7677675781249998,0.00025200000000000005,0.00035640000000000004,0.0817642
2000,1.402919,0.7854999999999999,0.0002584,0.0003654,0.08655159999999999
2100,1.4701534,0.7967890625,0.0002602,0.00036839999999999996,0.08992559999999998
2200,1.5440438,0.7402968750000001,0.0002596,0.00036740000000000004,0.0923398
2300,1.6134619999999997,0.7633281249999999,0.0002686,0.0003846,0.1061668
2400,1.6752808000000001,0.767541015625,0.00027039999999999996,0.00038679999999999997,0.1158442
2500,1.7356292,0.769494140625,0.0002678,0.0003836,0.1219614
2600,1.7959228,0.7706738281250001,0.0002644,0.000379,0.12851240000000003
2700,1.8583311999999998,0.77085546875,0.000261,0.00037479999999999995,0.134724
2800,1.9177972,0.772337890625,0.0002588,0.00037099999999999996,0.1412794
2900,1.980312,0.6961445312500001,0.0002582,0.0003676,0.1499002
3000,2.0446846,0.5814882812500001,0.000258,0.000365,0.157967
3100,2.1003827999999998,0.6315214843750001,0.0002578,0.00036300000000000004,0.1586004
3200,2.1576434000000004,0.6427050781250001,0.0002568,0.00036020000000000003,0.15815200000000001
3300,2.2159590000000002,0.64857421875,0.0002558,0.00035800000000000003,0.1566388
3400,2.2826746,0.761912109375,0.0002594,0.0003634,0.157089
3500,2.3546144,0.796552734375,0.0002612,0.00036459999999999997,0.168757
3600,2.4242454,0.8088203125,0.0002608,0.0003638,0.17860779999999998
3700,2.4952046,0.698947265625,0.0002586,0.0003606,0.18478500000000003
3800,2.5530199999999996,0.7050546875,0.00026100000000000006,0.0003678,0.1776156
3900,2.6100064,0.7090429687500001,0.0002628,0.0003722,0.1725366
4000,2.671528,0.713037109375,0.0002618000000000001,0.00037140000000000003,0.1744346
4100,2.7313276,0.73581640625,0.0002622,0.0003746,0.1816334
4200,2.8030606000000002,0.7542890625,0.0002656,0.0003792,0.1963374
4300,2.8689314,0.761140625,0.00026660000000000003,0.0003796,0.20649259999999997
4400,2.9344822,0.69616015625,0.0002672,0.0003792,0.21298459999999997
4500,2.9948341999999997,0.610572265625,0.0002662,0.00037759999999999996,0.21451000000000003
4600,3.0628718000000004,0.656103515625,0.00026720000000000004,0.00037959999999999996,0.20819460000000004
4700,3.1173648,0.659548828125,0.000266,0.0003788,0.2053778
4800,3.1727212000000002,0.6617304687500001,0.00026480000000000004,0.0003766,0.2027954
4900,3.2271333999999996,0.66903515625,0.0002624,0.000374,0.203015
5000,3.281714,0.670423828125,0.00026020000000000004,0.00037119999999999997,0.2052546
5100,3.3366634000000004,0.6715078125,0.0002588,0.0003688,0.21072839999999998
5200,3.3931854,0.612099609375,0.0002582,0.00036700000000000003,0.2156418
5300,3.4456508,0.612099609375,0.0002578,0.00036500000000000004,0.2160206
5400,3.497983,0.612099609375,0.00025640000000000005,0.0003632,0.21909499999999998
5500,3.5503982,0.612099609375,0.0002552,0.0003612,0.22238179999999996
5600,3.6030682,0.612099609375,0.0002546,0.00036020000000000003,0.2253168
5700,3.6565898000000003,0.6211875,0.0002552,0.00035959999999999996,0.22627479999999997
5800,3.7095758000000005,0.621197265625,0.0002544,0.000358,0.22941820000000002
