n_samples,time,memory,MAE,RMSE,R2
100,0.0324924,0.435259765625,83428.8872192,102129.2071182,-0.061055399999999996
200,0.1848072,0.051501953124999986,82977.67727860001,99193.4166406,-0.0350914
300,0.2135418,0.4675683593750001,75417.3331042,93798.29234279999,0.115587
400,0.2786118,0.686814453125,69962.63604320001,87992.1039446,0.202068
500,0.3644902,0.771666015625,66680.69624579999,85135.94346080002,0.27005
600,0.4474842,0.855421875,62903.356423599995,81409.594009,0.3226026
700,0.5131508000000001,1.1048593749999998,60648.707097399994,79257.514992,0.3676984
800,0.6024037999999999,1.18714453125,59178.668290400004,77493.9276766,0.3804462
900,0.7096108,1.0384257812500002,58358.01128240001,76564.8410472,0.3838786
1000,0.8065211999999999,1.0551875,58553.740675199995,76707.38400339999,0.384855
1100,0.9048263999999999,1.070322265625,59217.674024199994,77700.3790814,0.39478219999999997
1200,0.9925978000000001,1.1880273437500002,59460.2924978,77792.4088282,0.38810900000000004
1300,1.0630598,1.25,59378.85771239999,77518.5740752,0.3654922
1400,1.1786838000000002,1.226,59069.166388,76957.91802699999,0.341057
1500,1.2869888,1.2020078125000002,58531.1259494,76133.013276,0.3350964
1600,1.3683414,1.245833984375,58160.947522799994,75524.62319799999,0.3406862
1700,1.4195482,1.315833984375,58241.173186399996,75097.8941092,0.35163559999999994
1800,1.4947568,1.293833984375,58563.7897636,74887.1882426,0.36734159999999993
1900,1.5865404,1.00711328125,58660.792023,74599.3554626,0.3650652
2000,1.6320092,1.1326542968750002,58134.257419199996,73859.48249180001,0.35968579999999994
2100,1.7034099999999999,1.0759687500000001,57669.57109120001,73395.0892978,0.3741098
2200,1.7844574000000002,1.0006933593750003,58120.845901400004,74121.46896500001,0.409396
2300,1.8332677999999998,1.2060761718750002,57781.34458999999,73977.8671304,0.4241816
2400,1.9194295999999997,1.0447792968749998,57290.5951128,73392.80153059999,0.4344162
2500,2.0082560000000003,0.851033203125,56797.963885,73034.8586634,0.4369394
2600,2.0474328,0.899857421875,56855.1894092,72947.3275366,0.44224399999999997
2700,2.0866648,0.9155136718750001,56862.26342239999,72672.4332406,0.45449740000000005
2800,2.1437676,0.792037109375,56858.417527800004,72507.43067100001,0.458896
2900,2.1971548000000003,0.66608203125,56553.073719600005,72143.4304608,0.46246
3000,2.2465573999999995,0.5172636718750001,56073.2027834,71577.8174004,0.4696032
3100,2.3013348000000002,0.28706445312500006,55688.704995399996,71009.20601200001,0.4787934
3200,2.326471,0.37675000000000003,55217.4815726,70396.77427000001,0.485743
3300,2.3527646,0.42998828125,54788.524115,69897.1568122,0.4916658
3400,2.3789246,0.44987109375,54424.3176616,69437.0912032,0.49716839999999995
3500,2.4055210000000002,0.4623339843750001,54049.849237200004,69026.9770918,0.5019722
3600,2.4484983999999996,0.30315625,53573.829504600006,68488.348105,0.5075898
3700,2.4708856000000003,0.30515625,53263.8400298,68216.6575662,0.5083088
3800,2.4934104,0.30915625,53187.09208839999,68018.145116,0.5079741999999999
3900,2.5173761999999997,0.34515625000000005,53119.839410199995,67819.2983336,0.5065504000000001
4000,2.5823831999999998,0.17567578125,53234.034346600005,67792.75041960001,0.5021938
4100,2.6016959999999996,0.19465039062499997,53503.627819999994,68195.61303,0.504218
4200,2.6213068,0.20534375,53917.09923980001,68770.27694839999,0.4999918
4300,2.6410392000000003,0.20944921875000003,54552.333372,69598.0328126,0.4862228
4400,2.6606503999999997,0.21192578125,55689.8451086,71213.5406694,0.4651044
4500,2.680364,0.21441210937500005,56267.7320144,71913.39119159999,0.453397
4600,2.700684,0.22915625000000003,57079.2282262,73249.0958196,0.4533732
4700,2.7377018,0.080689453125,58293.7850316,75262.97341579999,0.4508366
4800,2.7538001999999997,0.080689453125,59402.548236200004,77258.9216828,0.44061120000000004
4900,2.7698858,0.080689453125,60784.4061708,79578.6239718,0.42427339999999997
5000,2.7859154000000004,0.080689453125,61349.6917622,80532.7727014,0.4164682
5100,2.8019844,0.080689453125,61193.22354399999,80695.2600224,0.40984300000000007
5200,2.8180653999999996,0.080689453125,61717.07703559999,81770.2300226,0.40088460000000004
5300,2.8341666,0.080689453125,62950.3169368,84016.9438204,0.38565360000000004
5400,2.8502158,0.080689453125,63217.14500239999,84917.5459236,0.3772608
5500,2.8663032,0.080689453125,63018.6228748,84911.01303379999,0.374303
5600,2.8823802,0.080689453125,62671.91364040001,84629.55336759999,0.3736452
5700,2.8984236,0.080689453125,62334.108541199996,84234.89705960001,0.37411399999999995
5800,2.9145292,0.080689453125,62312.979825200004,84107.615176,0.38595559999999995
5900,2.9305575999999998,0.080689453125,63385.431342,85794.075604,0.3971532
6000,2.9465838,0.080689453125,64785.0682148,87812.3548398,0.3962256
6100,2.9626374,0.080689453125,65968.69598799999,89437.783335,0.3933072
6200,2.9786986000000004,0.080689453125,66258.63033680001,89844.3752864,0.3929372
6300,2.9947407999999998,0.080689453125,66610.8677374,90157.32113040001,0.394339
6400,3.0108024,0.080689453125,66808.7294026,90221.7220502,0.3934048
6500,3.0268518,0.080689453125,66760.0107108,90121.75363919999,0.39196640000000005
6600,3.0429171999999998,0.080689453125,66543.44267779999,89839.86419,0.39090539999999996
6700,3.0590122,0.080689453125,66192.8922128,89434.3702718,0.39115160000000004
6800,3.0750802,0.080689453125,65835.1897686,89012.6284762,0.39051420000000003
6900,3.0911608,0.080689453125,65469.72586340001,88606.88454700001,0.3907996
7000,3.1072037999999997,0.080689453125,65454.260939800006,88566.4819026,0.3937692
7100,3.1232584,0.080689453125,65254.6214552,88368.95336900001,0.39655880000000004
7200,3.1393100000000005,0.080689453125,65092.64531119999,88214.49638079999,0.4014844
7300,3.1553622,0.080689453125,65245.0297418,88428.40656920001,0.40715219999999996
7400,3.1714604,0.080689453125,65318.0161738,88436.110624,0.4091036
7500,3.1875229999999997,0.080689453125,65114.7077528,88184.15509739998,0.4102266
7600,3.2035725999999998,0.080689453125,64801.706879599995,87829.8652704,0.41009019999999996
7700,3.2196103999999997,0.080689453125,64450.1291938,87433.80252400001,0.40921640000000004
7800,3.2357070000000006,0.080689453125,63995.759671399996,86986.68637899999,0.4095774
7900,3.2517650000000002,0.080689453125,63473.69523440001,86513.8613134,0.40997720000000004
8000,3.2678522,0.080689453125,62963.6760388,86043.4396828,0.41075819999999996
8100,3.2839204000000004,0.080689453125,62643.927163600005,85654.287668,0.4118044
8200,3.3000278,0.080689453125,62424.513942000005,85330.1494154,0.4118316
8300,3.3161102,0.080689453125,62235.8736368,85047.5751902,0.41156240000000005
8400,3.3322092,0.080689453125,61973.5578272,84707.72810739998,0.41043240000000003
8500,3.3482624000000003,0.080689453125,61653.786054000004,84346.75720820001,0.4105142
8600,3.3643110000000007,0.080689453125,61346.536569200005,84022.75035040002,0.4103224
8700,3.3803814,0.080689453125,61098.35081280001,83787.47752500001,0.409446
8800,3.3964468000000005,0.080689453125,60877.8264632,83631.8885766,0.40862420000000005
8900,3.4125458,0.080689453125,61036.73766859999,83976.2262792,0.4058116
9000,3.4286044,0.080689453125,60892.5111988,83872.34924139999,0.40395000000000003
9100,3.4446556,0.080689453125,60766.7600266,83724.9193484,0.4031118
9200,3.4607383999999994,0.080689453125,61120.579441199996,84123.6968258,0.40851
9300,3.4767742,0.080689453125,61455.097279,84485.23751699999,0.4114858
9400,3.4928045999999995,0.080689453125,62108.3149134,85337.5196692,0.4180104
9500,3.5088424000000003,0.080689453125,63099.4467856,86835.857422,0.41494100000000006
9600,3.5249086,0.080689453125,63741.18019300001,87778.65114100001,0.4144882
9700,3.5410136000000003,0.080689453125,63996.7020016,88095.5744474,0.4123246
9800,3.5571374,0.0815078125,64174.0966494,88192.0497334,0.41233820000000004
9900,3.5737036000000004,0.09710156249999999,64436.935889399996,88411.790456,0.412618
10000,3.5908235999999993,0.117626953125,64779.622134200006,88812.1896298,0.41497759999999995
10100,3.6094494000000004,0.1620625,64795.418406,88771.44382700001,0.41701259999999996
10200,3.6287598,0.189162109375,64850.3344824,88721.3317316,0.41848340000000006
10300,3.6686138,0.031447265625,64738.20506480001,88532.6042776,0.419004
10400,3.6833978000000003,0.031439453125,64862.96087539999,88698.26944939999,0.4173362
10500,3.698162,0.031439453125,64833.0401218,88714.399133,0.41520900000000005
10600,3.7129724000000004,0.031439453125,64656.3904724,88519.35132059999,0.41464840000000003
10700,3.7277612000000007,0.031439453125,64460.4242694,88277.01681459999,0.4151232
10800,3.742543,0.031439453125,64273.999505199994,88044.82277180001,0.4151728
10900,3.7573238000000004,0.031439453125,64174.620998599996,87879.8605488,0.4156662
11000,3.7720852000000007,0.031439453125,64224.869248999996,87906.915651,0.41606240000000005
11100,3.7868545999999994,0.031439453125,64279.0412202,87974.2767462,0.4164416
11200,3.8016099999999993,0.031439453125,64364.6000026,88084.5067008,0.4169722
11300,3.8163646,0.031439453125,64668.7847206,88518.2328894,0.4180738
11400,3.8311304,0.031439453125,64962.146781,88942.15996460001,0.4182074
11500,3.8459201999999997,0.031439453125,64864.48065900001,88873.2994196,0.4189648
11600,3.8606895999999997,0.031439453125,64712.840099600005,88703.2115186,0.4207432
11700,3.875447,0.031439453125,64534.68209160001,88495.76949900002,0.4210644
11800,3.8902165999999996,0.031439453125,64332.500298800005,88264.5541024,0.420295
11900,3.9049984,0.031439453125,64071.0558372,87979.334682,0.42001900000000003
12000,3.9197688,0.031439453125,63879.4434224,87772.471722,0.4199046
12100,3.9345398000000005,0.031439453125,63893.500211,87796.50883400001,0.42016939999999997
12200,3.9493242000000004,0.031439453125,63793.11219960001,87691.0922332,0.42065719999999995
12300,3.9641136,0.031439453125,63618.141784800006,87474.46634740001,0.4209028
12400,3.9789202,0.031439453125,63449.227993399996,87255.152509,0.4217206
12500,3.9937530000000003,0.031439453125,63383.2385902,87118.4578706,0.4217314
12600,4.0085402000000006,0.031439453125,63356.906118,86998.6119476,0.4213258
12700,4.0233386,0.031439453125,63271.454541,86838.806335,0.4212269999999999
12800,4.0381596,0.031439453125,63249.553923,86764.4617482,0.4212146
12900,4.0529944,0.031431640625,63238.2005846,86668.1896526,0.4218996
13000,4.0677904,0.031431640625,63280.8490578,86634.64400300001,0.4222284
13100,4.0825971999999995,0.031431640625,63195.35060340001,86475.5020718,0.4237430000000001
13200,4.0973926,0.031431640625,63114.0391218,86318.28271939998,0.42541
13300,4.1122152,0.031431640625,62983.8086194,86126.0297506,0.4271168
13400,4.1270058,0.031431640625,62867.1215628,85940.4928508,0.4292256
13500,4.1418192,0.031431640625,62738.5930794,85753.555689,0.430284
13600,4.1566092,0.031431640625,62620.34966600001,85600.9039246,0.43020800000000003
13700,4.1714472,0.031431640625,62509.947346600005,85442.150723,0.4302768
13800,4.1862372,0.031431640625,62402.374479599996,85284.9699002,0.4303894
13900,4.2010302,0.031431640625,62298.6826246,85118.67827820001,0.4305266
14000,4.2158114,0.031431640625,62226.55016119999,84985.4948778,0.43034539999999993
14100,4.2305954,0.031431640625,62230.0467958,84878.294963,0.43080040000000003
14200,4.2453952,0.031431640625,62298.5609204,84826.55840240001,0.43118660000000003
14300,4.2601726,0.031431640625,62364.34386179999,84813.2032514,0.4305314
14400,4.274951400000001,0.031431640625,62382.966318599996,84733.5634778,0.4305598
14500,4.289738000000001,0.031431640625,62427.293808,84684.8959642,0.4307964
14600,4.3045230000000005,0.031431640625,62448.996719400006,84650.5649038,0.4308932
14700,4.319294999999999,0.031431640625,62347.9131508,84498.9720664,0.4313698
14800,4.334067,0.031431640625,62238.2667916,84337.7143502,0.43155800000000005
14900,4.3488364,0.031431640625,62223.8643112,84283.857218,0.431382
15000,4.3635991999999995,0.031431640625,62384.71269420001,84478.3467422,0.4298782
15100,4.378426800000001,0.031431640625,62535.7239996,84680.9627568,0.429343
15200,4.393226,0.031431640625,62498.64030320001,84635.16464280001,0.42926839999999994
15300,4.4080312,0.031431640625,62412.651110599996,84524.6196428,0.4290698
15400,4.4228262,0.031431640625,62368.8636348,84494.95498919999,0.4284684
15500,4.437651799999999,0.031431640625,62281.902084,84384.84080600001,0.4284070000000001
15600,4.4524628,0.031431640625,62146.955868000005,84231.88718240001,0.4280876
15700,4.467261199999999,0.031431640625,62012.204775599996,84084.00490100001,0.42792440000000004
15800,4.4820302,0.031431640625,61988.460926399996,84043.1924774,0.42883319999999997
15900,4.4968319999999995,0.031431640625,62062.7573942,84192.499352,0.42693200000000003
16000,4.511589,0.031431640625,61948.35625979999,84060.196934,0.42674780000000007
16100,4.5263568,0.031431640625,61818.572397,83905.7150752,0.4267448
