n_samples,time,memory,MAE,RMSE,R2
100,0.0378186,0.11180664062500001,0.0034671999999999993,0.0046014,-0.34353360000000005
200,0.07737859999999999,0.130693359375,0.0031866,0.004113,-0.1936152
300,0.11367259999999998,0.13509765625,0.0031568,0.004089799999999999,-0.1242996
400,0.15069919999999998,0.09425976562499999,0.0031298,0.0041194,-0.0893976
500,0.1820692,0.170013671875,0.0030382,0.004020800000000001,-0.0708898
600,0.21730520000000003,0.158501953125,0.0029110000000000004,0.003846,-0.0630048
700,0.2513346,0.2827109375,0.0029927999999999995,0.004547799999999999,-0.014707599999999998
800,0.28904019999999997,0.35839257812499997,0.0035889999999999997,0.005928599999999999,0.0935632
900,0.3269934,0.404736328125,0.0036339999999999996,0.0059862000000000005,0.09923180000000001
1000,0.3668078,0.38431835937500003,0.0035763999999999995,0.005874,0.1010944
1100,0.40739079999999994,0.46874609375,0.003492,0.005707800000000001,0.104805
1200,0.4485236,0.46181835937500004,0.003392,0.005533000000000001,0.10745579999999999
1300,0.4891084,0.49389453124999994,0.0033100000000000004,0.0053776,0.11564700000000001
1400,0.5315904,0.5157324218749999,0.0034904,0.0058048,0.152337
1500,0.5758376,0.55877734375,0.0036568000000000004,0.0060262,0.16171700000000003
1600,0.6167704,0.5979453125,0.0037168,0.0060422,0.14342700000000003
1700,0.6604712,0.64648046875,0.0037136,0.0059824000000000006,0.1336712
1800,0.704602,0.7120058593749998,0.0037346,0.005952600000000001,0.13857599999999998
1900,0.7496606000000001,0.7626015625000001,0.0037722,0.005964,0.1379754
2000,0.796492,0.790302734375,0.003789,0.0059348,0.12351640000000001
2100,0.8448038,0.8077617187499999,0.0039156,0.0061514,0.130639
2200,0.8932141999999998,0.813916015625,0.0039494000000000005,0.006213000000000001,0.1309802
2300,0.9403900000000001,0.8222304687499999,0.004043,0.006494999999999999,0.1358602
2400,0.9881078000000001,0.831548828125,0.004185800000000001,0.006744600000000001,0.1417352
2500,1.0365259999999998,0.8190703125000001,0.0042074,0.0067358,0.1416248
2600,1.0852308000000002,0.78665625,0.0041622,0.006654200000000001,0.1423652
2700,1.1447232,0.777158203125,0.0041481999999999995,0.0066344,0.15536080000000002
2800,1.1902824,0.7916796875000001,0.0042866,0.006857199999999999,0.16542240000000002
2900,1.2349637999999998,0.796794921875,0.0043128,0.0068874,0.1659932
3000,1.2798758,0.79913671875,0.004303400000000001,0.0068566,0.1672692
3100,1.3264462,0.7713066406250001,0.0042594,0.0067858,0.16832560000000002
3200,1.3692774,0.7713066406250001,0.0042096,0.0067085999999999995,0.17101099999999997
3300,1.4129836,0.7528964843750001,0.004162,0.0066318,0.1757406
3400,1.454991,0.7550566406250001,0.0042298,0.0068043999999999995,0.1659806
3500,1.4973642000000003,0.749427734375,0.004205800000000001,0.0067886000000000005,0.16581319999999997
3600,1.5396506,0.75358984375,0.0041703999999999995,0.006739200000000001,0.16762739999999998
3700,1.5822254,0.73777734375,0.0041272,0.006672600000000001,0.1716676
3800,1.625197,0.7469589843750001,0.0041276,0.0066496,0.1776988
3900,1.6676963999999999,0.7471464843750001,0.004102,0.0065994,0.1788802
4000,1.7108654,0.7533105468750001,0.004076999999999999,0.00655,0.1787556
4100,1.7547216000000003,0.7553144531250001,0.0040618,0.0065082000000000004,0.1786996
4200,1.7992528,0.76055859375,0.004074,0.0064995999999999995,0.1887526
4300,1.844942,0.7567441406250001,0.0040926,0.006488000000000001,0.18633260000000001
4400,1.8878298,0.7730820312500001,0.0040838,0.006455600000000001,0.1821544
4500,1.9299078,0.7830859375000001,0.0040596,0.0064152,0.1806016
4600,1.9733492,0.781658203125,0.0040788,0.0064944,0.19090980000000002
4700,2.0173988,0.785857421875,0.004122,0.0066045999999999995,0.2006558
4800,2.06194,0.7970429687499999,0.0041262,0.006629399999999999,0.20442099999999996
4900,2.1042954000000003,0.7995488281249999,0.0041002,0.006603599999999999,0.2070308
5000,2.1479299999999997,0.7958515625,0.0040726,0.0065676,0.2124994
5100,2.192138,0.8110722656250001,0.0040942,0.006597799999999999,0.22734320000000002
5200,2.2383035999999996,0.79725,0.004092,0.006576799999999999,0.2289552
5300,2.282619,0.7974140625,0.0040638,0.0065374000000000005,0.22970600000000002
5400,2.3264237999999997,0.7794218749999999,0.0040456,0.0065092,0.23352659999999997
5500,2.3718118,0.775755859375,0.0040316,0.0064822000000000005,0.23491800000000002
5600,2.4165845999999997,0.781177734375,0.0040388,0.006486800000000001,0.2380554
5700,2.4610364000000002,0.7873652343750001,0.004051000000000001,0.0064919999999999995,0.24281760000000002
5800,2.5041127999999997,0.7913652343750001,0.0040498,0.0064736,0.24194299999999996
5900,2.548242,0.79155859375,0.0040498,0.006456600000000002,0.23987040000000004
6000,2.5906262,0.7897265625000001,0.0040412,0.006435000000000001,0.2381932
6100,2.6327565999999996,0.7737265625,0.0040203999999999995,0.0064016,0.2385962
6200,2.673908,0.776064453125,0.0039946,0.006363000000000001,0.2395288
6300,2.7154426,0.7760683593750001,0.0039618,0.0063203999999999995,0.24143339999999996
6400,2.7575852000000003,0.7784492187500001,0.0039326,0.0062786,0.2445526
6500,2.7999268,0.7806132812500002,0.003913399999999999,0.0062439999999999996,0.24585439999999997
6600,2.8425952000000003,0.780623046875,0.0038869999999999994,0.0062062,0.2466014
6700,2.8850176,0.7826230468750001,0.0038578,0.0061665999999999995,0.24835339999999997
6800,2.9261670000000004,0.7846230468750001,0.0038286,0.006127799999999999,0.2506498
6900,2.9677759999999997,0.78479296875,0.0038084,0.0060956,0.2540634
7000,3.0117472,0.7887929687499999,0.0037989999999999994,0.006072599999999999,0.2562174
7100,3.0542248,0.78895703125,0.0037966,0.0060578,0.25422859999999997
7200,3.0966721999999995,0.7909707031250001,0.0037736,0.0060278,0.25529379999999996
7300,3.1407922,0.7612851562499999,0.0037457999999999997,0.005992599999999999,0.2570382
7400,3.1837094,0.7656816406250001,0.0037386000000000003,0.005989800000000001,0.2632476
7500,3.2280293999999996,0.77878515625,0.0037492,0.006003400000000001,0.2680146
7600,3.2715556,0.7871347656250001,0.0037597999999999998,0.006013,0.27023699999999995
7700,3.3163492,0.7911347656250001,0.0037665999999999997,0.0060148,0.2713414
7800,3.3604765999999997,0.7912988281250001,0.0037665999999999997,0.0060016,0.2704204
7900,3.4041869999999994,0.795314453125,0.0037622000000000003,0.0059824000000000006,0.2718236
8000,3.4499923999999993,0.7849453125,0.0037665999999999997,0.005974200000000001,0.27217060000000004
8100,3.4957979999999997,0.77960546875,0.0037736,0.005968000000000001,0.27005559999999995
8200,3.5400906000000005,0.7949980468749999,0.0037986000000000005,0.0059916,0.27337559999999994
8300,3.5855574,0.797494140625,0.0038122000000000004,0.0060018,0.2741784
8400,3.6293750000000005,0.783498046875,0.0038046000000000004,0.0059874,0.2743638
8500,3.6717060000000004,0.7838261718749999,0.0037965999999999994,0.005969400000000001,0.273444
