n_samples,time,memory,MAE,RMSE,R2
100,0.023298400000000004,0.09671874999999999,28984.6276114,43168.4544304,-0.045170999999999996
200,0.045113400000000005,0.09021679687499999,28064.267131599998,39729.707330799996,-0.0291734
300,0.0643346,0.110974609375,27466.298178600002,39055.8098046,-0.021532
400,0.08626439999999999,0.118392578125,26731.748012800002,40597.4513692,-0.0086262
500,0.10730239999999999,0.152951171875,27487.061252000003,43283.8115742,0.0005394
600,0.13062820000000003,0.14990625000000002,28109.002016199996,46731.0727578,0.004007999999999999
700,0.15139719999999998,0.173140625,29745.4468788,51342.387589800004,0.008472
800,0.17563,0.1684140625,30690.2149952,54116.8454946,0.0088262
900,0.19750779999999998,0.21882617187500003,31109.135235999995,54913.53786299999,0.014569799999999999
1000,0.222167,0.23396875,31093.395173800003,54802.246910400005,0.0165386
1100,0.2448804,0.244734375,31311.414268,54981.509852,0.024608400000000002
1200,0.270395,0.23016406249999996,31532.557744600002,55203.97397959999,0.0329696
1300,0.29324,0.255162109375,31503.414444200003,54546.4168542,0.03596680000000001
1400,0.3186358,0.266919921875,31657.287428,54746.86129800001,0.038296199999999996
1500,0.343692,0.281318359375,31841.724300399997,54579.21147180001,0.0435552
1600,0.36939120000000003,0.27309375,31853.066746999997,54385.6834046,0.0495506
1700,0.39352780000000004,0.302140625,31892.656658800006,54353.6053678,0.0496478
1800,0.4197892,0.26495703125000003,31807.857715399994,53944.5264472,0.0498228
1900,0.44594960000000006,0.27380468750000003,31664.806071400002,53546.9973718,0.055669
2000,0.46936419999999995,0.29485937500000003,31368.718696199998,52851.664196399994,0.0569654
2100,0.49456819999999996,0.3296953125,31173.101436800003,52361.9935806,0.062746
2200,0.5201119999999999,0.34991601562499997,31074.9304238,52235.289857200005,0.06936780000000001
2300,0.5459058,0.353314453125,30855.4432028,51894.5667566,0.071473
2400,0.5710382,0.37054101562499997,30702.9161204,51546.5732718,0.078887
2500,0.5965486,0.382693359375,30648.992599999998,51365.004506599995,0.08451600000000001
2600,0.6228902,0.38,30627.893687599997,51620.92198579999,0.09298
2700,0.6497852,0.376611328125,30497.8305292,51513.6662778,0.09733680000000001
2800,0.6762094000000001,0.3578925781250001,30598.275122800005,51634.208376,0.098251
2900,0.7020959999999999,0.352107421875,30642.9929762,51785.829587,0.108389
3000,0.7272832,0.34262304687500006,30610.397681799997,51783.525657800004,0.114919
3100,0.7526132,0.32673046875,30564.8954152,51661.9622576,0.1208742
3200,0.7772114,0.32941210937500004,30487.4933722,51678.1820504,0.1267768
3300,0.8021533999999999,0.29782031249999996,30452.4163644,51702.6355498,0.1288744
3400,0.82614,0.296841796875,30328.0015432,51472.933077,0.13123400000000002
3500,0.8497408,0.2936171875,30236.992422600004,51370.5095708,0.13388719999999998
3600,0.8731012,0.2828125,30160.9560566,51098.49859,0.13673359999999998
3700,0.8961283999999999,0.26702343749999996,30052.4542854,50778.52097320001,0.13850679999999999
3800,0.9177546,0.273974609375,29961.2988494,50512.839788,0.140909
3900,0.9398712,0.263751953125,29878.7673786,50392.542875800005,0.1412168
4000,0.9614779999999999,0.26687500000000003,29758.5248988,50155.7656812,0.14498540000000001
4100,0.982888,0.270810546875,29776.999239799996,50371.4272298,0.1467314
4200,1.0048402,0.26152734375,29738.1386536,50246.4509158,0.1480142
4300,1.0276688,0.234470703125,29725.0392584,50243.9616236,0.1499448
4400,1.0485064,0.22552734375,29619.874944,50000.0180384,0.15392619999999999
4500,1.0687270000000002,0.22779296875,29614.416436,50016.408367599994,0.15610319999999997
4600,1.0899374,0.21874609375,29531.3173832,49962.9587444,0.1589992
4700,1.109674,0.21976953125,29471.591658999998,50037.545936200004,0.16038999999999998
4800,1.129718,0.22130078125000002,29378.4763638,49863.551197600005,0.1636922
4900,1.150962,0.20328906250000003,29305.443915,49769.83203039999,0.1671484
5000,1.1707075999999998,0.21500390625,29291.8630012,49870.33999559999,0.17343999999999998
5100,1.1903924,0.22276757812499998,29275.920919800003,49862.524042200006,0.1751838
5200,1.210766,0.21818164062499998,29248.797227199997,49871.217250999995,0.1789708
5300,1.2305508,0.222599609375,29159.442257,49679.8197392,0.17976920000000002
5400,1.2505488,0.22574414062500003,29092.4158682,49499.66889739999,0.1807666
5500,1.2705278,0.22839257812500002,29045.302971999998,49378.46158039999,0.181566
5600,1.2905788,0.228677734375,29006.369945199996,49372.1794438,0.1837062
5700,1.310674,0.23143359375,28974.757150800004,49395.5305616,0.1849656
5800,1.331258,0.22366210937499997,28958.4761404,49302.371412399996,0.1852808
5900,1.3530448,0.21583203125,28942.5898934,49259.445989399996,0.1840396
