n_samples,time,memory,MAE,RMSE,R2
100,0.0194564,0.05557226562499999,22.446625400000002,30.171995000000003,-0.06311720000000001
200,0.039865399999999995,0.03093359375,22.1692906,29.7383608,-0.034770999999999996
300,0.0599318,0.0955859375,21.522485,29.163342399999998,-0.0002958000000000016
400,0.08070200000000001,0.0960234375,21.5396122,29.2251798,0.022409199999999997
500,0.1021824,0.125005859375,21.494909999999997,29.2390314,0.0460888
600,0.12417,0.138927734375,21.1983968,28.984464000000003,0.06671679999999999
700,0.146231,0.13970312499999998,20.952446399999996,28.5886288,0.07947119999999999
800,0.1681652,0.14123046875,20.8945538,28.488809600000003,0.0967516
900,0.19093,0.157013671875,20.6970362,28.1773996,0.1159088
1000,0.21320140000000004,0.17279687500000002,20.535325,27.9569008,0.1313788
1100,0.23592519999999997,0.176162109375,20.5305236,27.948470799999996,0.1416878
1200,0.2593336,0.18654687500000003,20.4649268,27.8515894,0.1468988
1300,0.281909,0.187599609375,20.3571892,27.7506412,0.16043619999999997
1400,0.3045556,0.18777148437499996,20.2356148,27.534348599999998,0.17108600000000002
1500,0.32772900000000005,0.18289257812499998,20.1314054,27.3544894,0.1802978
1600,0.3505784,0.18045312500000002,19.953148399999996,27.157048600000003,0.1957376
1700,0.37209440000000005,0.182326171875,19.8033502,26.9948576,0.2051264
1800,0.39371839999999997,0.17931640625000003,19.6445496,26.8038992,0.20839400000000002
1900,0.4150568,0.17540624999999999,19.584103399999996,26.8048332,0.2158642
2000,0.43598400000000004,0.17558984375,19.525789800000002,26.8197226,0.2237682
2100,0.45674919999999997,0.17598046875,19.367036000000002,26.658541800000002,0.23128859999999998
2200,0.4781264,0.17605664062499998,19.268682599999998,26.571498400000003,0.23903020000000003
2300,0.49931600000000004,0.176060546875,19.201942,26.519392600000003,0.24528500000000003
2400,0.520106,0.176060546875,19.0516318,26.3605286,0.251827
2500,0.541426,0.17681835937499998,18.986397399999998,26.333065799999996,0.25541939999999996
2600,0.5627434000000001,0.17289453124999998,18.925640800000004,26.2802544,0.261772
2700,0.5839855999999999,0.172884765625,18.8386712,26.1872538,0.2631156
2800,0.605336,0.17384570312499997,18.7865822,26.130032399999997,0.26891620000000005
2900,0.6260236,0.177541015625,18.7120972,26.0736988,0.27653760000000005
3000,0.6468464,0.178294921875,18.653696399999998,26.023082999999996,0.27896139999999997
3100,0.6678268,0.173322265625,18.587352,25.9647198,0.2827598
3200,0.6890836,0.177017578125,18.4951656,25.8819766,0.28688220000000003
3300,0.7097632,0.178046875,18.415394,25.787158800000004,0.29178160000000003
3400,0.7303883999999999,0.1785703125,18.3319168,25.698774000000004,0.2935506
3500,0.7521410000000001,0.1772734375,18.2318388,25.5846752,0.2994398
3600,0.7737342,0.17442578125,18.201737200000004,25.557716199999998,0.30278299999999997
3700,0.7950101999999999,0.17014257812500003,18.1021182,25.4544502,0.30861340000000004
3800,0.8156808,0.17526367187500003,17.964148,25.3136766,0.3166086
3900,0.8366994,0.17451171875,17.862211199999997,25.2190014,0.3198
4000,0.8575650000000001,0.173474609375,17.772137800000003,25.13223,0.32618779999999997
4100,0.8784178,0.170828125,17.668092,25.027298800000004,0.331768
4200,0.8990003999999999,0.17612109374999999,17.5864274,24.940431999999998,0.3352018
4300,0.9196104,0.17980859374999997,17.4918024,24.828446199999995,0.3407658
4400,0.9407242,0.17375390625,17.400402800000002,24.7294136,0.3444152
4500,0.9615568,0.176783203125,17.2919384,24.6250768,0.3495916
4600,0.9819846,0.17890234375,17.2015844,24.5434712,0.35666180000000003
4700,1.0027762,0.17408203125000002,17.0939522,24.4368866,0.360722
4800,1.0229917999999998,0.174283203125,16.9942884,24.3436004,0.3669202
4900,1.0432896,0.174796875,16.87654,24.2312048,0.3720978
5000,1.0634056,0.176115234375,16.777576200000002,24.1417222,0.37754119999999997
5100,1.0840384,0.16820507812500002,16.6826522,24.059182999999997,0.3806502
5200,1.104299,0.168814453125,16.606975,23.9913118,0.3861962
