n_samples,time,memory,MAE,RMSE,R2
100,0.0798486,0.18901953124999998,39.76010699999999,44.5805278,-0.0828224
200,0.1495646,0.10484374999999999,40.352689,44.846787400000004,-0.043009
300,0.21487060000000002,0.23377539062500002,39.1386186,44.5815244,-0.0428146
400,0.2844602,0.21456640625000004,38.984843999999995,44.547318000000004,-0.0427824
500,0.3563732,0.38849609375,38.6126112,44.154417,-0.0294352
600,0.4294528000000001,0.333798828125,38.4744968,43.952467999999996,-0.0163424
700,0.5046916,0.5543652343750001,38.0299042,43.5583388,0.0013304000000000024
800,0.5814891999999999,0.6334511718750001,37.5372962,43.030892800000004,0.0146422
900,0.6585994000000001,0.68504296875,37.1554484,42.7037114,0.022403
1000,0.7419397999999999,0.6999726562499999,36.7395532,42.32189579999999,0.030788200000000005
1100,0.8199906,0.740052734375,36.4009224,42.018716999999995,0.0386648
1200,0.8973236,0.7927558593749999,36.1029712,41.7593606,0.04651960000000001
1300,0.980475,0.7589902343749999,35.7208682,41.439177799999996,0.0578944
1400,1.0560466,0.822990234375,35.1140874,41.0359496,0.0759204
1500,1.1426416000000001,0.8658886718750001,34.579793800000004,40.6501526,0.09613100000000001
1600,1.221789,0.851626953125,34.041833600000004,40.233158,0.1139192
1700,1.2996538000000002,0.8510332031250002,33.4418258,39.7826086,0.126417
1800,1.3876894,0.9247167968750001,32.9812116,39.4381204,0.1387284
1900,1.4627854,0.9616679687499999,32.6895282,39.276369599999995,0.14613740000000003
2000,1.5394999999999999,0.9928769531249999,32.3781252,39.078406,0.1502158
2100,1.6184838,0.9762148437499999,32.1447558,38.87414160000001,0.1623248
2200,1.7015494,0.969455078125,31.8056228,38.588879,0.175507
2300,1.7794964,1.034537109375,31.5349784,38.38407780000001,0.1813016
2400,1.8588045999999998,1.076771484375,31.3079142,38.229999,0.18422880000000003
2500,1.940287,1.061548828125,30.985938800000003,37.976015,0.1932238
2600,2.0181671999999997,1.07729296875,30.716191599999995,37.763546000000005,0.20125539999999997
2700,2.0973182,1.091724609375,30.6200574,37.702782,0.2084756
2800,2.175917,1.10567578125,30.520530400000002,37.6574758,0.21206080000000002
2900,2.2549812000000005,1.12184375,30.342294599999995,37.510317,0.22194559999999997
3000,2.3356666,1.0922460937499998,30.261106,37.4396596,0.2260974
3100,2.4144892,1.10225,30.119865800000003,37.3169602,0.2280014
3200,2.493175,1.110048828125,29.949551600000007,37.1883272,0.23204179999999996
3300,2.5749666,1.082556640625,29.729717600000004,37.0155906,0.2363772
3400,2.6536695999999997,1.0848749999999998,29.57047,36.8932998,0.2418168
3500,2.7315426,1.11224609375,29.451709799999996,36.831542199999994,0.2440204
3600,2.8117134,1.097345703125,29.3165978,36.726495,0.246565
3700,2.8891694,1.131990234375,29.1691502,36.610014,0.24956360000000002
3800,2.9659102,1.144490234375,28.978432799999997,36.4656388,0.2534914
3900,3.0445298,1.1400449218749997,28.8429224,36.368090599999995,0.255556
4000,3.1226822000000003,1.13328125,28.704143400000003,36.2471482,0.2595148
4100,3.199777,1.1412949218750001,28.5795036,36.1447008,0.2635702
4200,3.2782038,1.1168632812500001,28.4645234,36.064875799999996,0.2646152
4300,3.3567284,1.12890234375,28.354385999999998,35.9931836,0.2656034
4400,3.4337001999999996,1.1347539062499998,28.2862056,35.9471522,0.2676516
4500,3.5125485999999997,1.139810546875,28.198349,35.8773604,0.2710752
4600,3.5894940000000006,1.145982421875,28.146647,35.845707399999995,0.2727704
4700,3.6667791999999997,1.14832421875,28.0647134,35.7975552,0.2747314
4800,3.7457304000000002,1.169962890625,27.996169199999997,35.7332028,0.2774392
4900,3.8251518000000004,1.134490234375,27.925735600000003,35.6713158,0.2803788
5000,3.9028763999999994,1.1391660156249999,27.7911426,35.5683406,0.2814666
5100,3.9808009999999996,1.11401171875,27.6984196,35.491718399999996,0.2826708
5200,4.0580434,1.10109765625,27.612766200000003,35.4087934,0.2842046
