n_samples,time,memory,MAE,RMSE,R2
100,0.0338102,0.43603710937499995,4.932366999999999,5.8251104,-0.0743582
200,0.15657459999999998,0.023232421875,4.9515156,5.7754924,-0.040471400000000005
300,0.18073619999999999,0.44043945312500005,4.6493421999999995,5.457309199999999,0.04869340000000001
400,0.21852099999999997,0.8522500000000001,4.5045649999999995,5.3157836000000005,0.1086644
500,0.3302058,0.8057578124999999,4.4120904,5.2170282,0.1413544
600,0.4098714,0.890990234375,4.327179799999999,5.120438200000001,0.1858062
700,0.4896762,1.16674609375,4.235846799999999,5.0225821999999996,0.216174
800,0.5832772,1.215056640625,4.1294218,4.928531,0.238137
900,0.7004552,1.3780000000000001,4.0535466,4.8615488,0.2618642
1000,0.8267693999999999,1.26569921875,4.004288600000001,4.8122094,0.2770746
1100,0.9186408,1.258,3.9362907999999996,4.744797,0.2918908
1200,1.0249346000000001,1.2041289062499998,3.8751247999999996,4.6829068000000005,0.3138264
1300,1.0814976,1.4704550781249999,3.8509394,4.6576116,0.3202926
1400,1.1960958,1.2028398437499999,3.8377817999999997,4.654986200000001,0.323063
1500,1.3062411999999999,0.811994140625,3.8183059999999998,4.638256200000001,0.3268434
1600,1.3929107999999997,0.67822265625,3.7842080000000005,4.6027974,0.3341136
1700,1.4738784,0.6805019531250001,3.7624690000000003,4.5835268,0.33815219999999996
1800,1.5355371999999998,0.6468378906250001,3.7382232,4.5619382,0.33851580000000003
1900,1.580767,0.7910000000000001,3.718085,4.5433478,0.343009
2000,1.6198422000000001,0.9040546875000001,3.7008696,4.5254252,0.34714199999999995
2100,1.6880821999999998,0.8627109374999999,3.688129,4.508721,0.3504812
2200,1.7517766,0.7371484375,3.6692934,4.4895846,0.3541776
2300,1.8216596000000003,0.5029609374999999,3.6630914000000003,4.4902336,0.352566
2400,1.8674657999999997,0.402970703125,3.6393476,4.4666476,0.3575482
2500,1.8939896,0.45808984375,3.6388757999999997,4.466456,0.3578902
2600,1.9223032000000004,0.5237753906249999,3.6394148,4.4649618,0.361274
2700,1.9524706000000003,0.586546875,3.6309130000000005,4.4531244,0.36608260000000004
2800,2.0207524,0.282296875,3.6196240000000004,4.4365048,0.371855
2900,2.0430418,0.30453515625,3.6048739999999997,4.4213718,0.3765366
3000,2.0658672,0.32600585937500004,3.58524,4.401724000000001,0.3810122
3100,2.0890832,0.33751367187500003,3.5726454000000003,4.390423800000001,0.3830496
3200,2.1127029999999998,0.34904101562500006,3.5611912000000006,4.3778774,0.3870654
3300,2.137132,0.380455078125,3.553564,4.3678022,0.39094280000000003
3400,2.1624452,0.407625,3.5457517999999992,4.3603172,0.3926404
3500,2.188692,0.443900390625,3.5424763999999995,4.3587992,0.3953934
3600,2.2156802,0.471060546875,3.5345546,4.3504328,0.39899120000000005
3700,2.243571,0.49656835937500005,3.5219970000000003,4.3370144,0.40255519999999995
3800,2.2722037999999998,0.522150390625,3.5148554000000005,4.330249,0.4064596
3900,2.3178006,0.38513281250000003,3.5067445999999998,4.321805400000001,0.4108554
4000,2.3433196,0.4032832031250001,3.496956,4.3132854,0.4140548
4100,2.3688192,0.4164179687500001,3.4885666,4.3074204,0.416458
4200,2.4109614,0.26524804687500003,3.4805684,4.297316,0.4189236
4300,2.4324946,0.27264257812500003,3.4759577999999998,4.2921366,0.42018880000000003
4400,2.45417,0.27592578125000006,3.4745356000000003,4.2887242,0.4223098
4500,2.4759358,0.27920703125000007,3.4712242000000004,4.2855622,0.42348719999999995
4600,2.4978406,0.28414648437500006,3.4711346,4.286006,0.42426059999999993
4700,2.519954,0.29237109375000003,3.4699115999999997,4.285514200000001,0.4250176
4800,2.5425398,0.30717578125000006,3.4691330000000002,4.2840518,0.425282
