n_samples,time,memory,MAE,RMSE,R2
100,0.0335446,0.19916015625,0.8226522,1.1614542,-0.4037146
200,0.0753852,0.18016796875000002,0.7698094,1.0336698,-0.2244774
300,0.109049,0.23450390625,0.751994,0.9954066000000001,-0.15404420000000002
400,0.1511788,0.12506445312499997,0.7544888000000001,0.9809899999999999,-0.1124522
500,0.1993964,0.375708984375,0.7510164,0.9735236,-0.08129579999999999
600,0.23877679999999998,0.481037109375,0.7448854,0.962792,-0.0522044
700,0.2750394,0.5550273437500001,0.7376842,0.9508592,-0.0363874
800,0.3182,0.5407265625,0.7256250000000001,0.9351532,-0.0218332
900,0.3613088,0.6095703125,0.717519,0.9214566,-0.0081802
1000,0.40185139999999997,0.7668593749999999,0.7168086,0.9205142000000001,0.0020930000000000002
1100,0.4467968,0.875251953125,0.7159806,0.917057,0.013275199999999997
1200,0.49915459999999995,0.8776660156249999,0.7135346,0.9142165999999999,0.0221606
1300,0.5486538000000001,0.95915625,0.712839,0.9138073999999999,0.027698
1400,0.5994132,1.0334218750000002,0.7099902,0.9095744,0.033748
1500,0.6511196,1.09593359375,0.7061386000000001,0.9033486,0.0408962
1600,0.7050782,1.149341796875,0.70274,0.8971298000000001,0.049043
1700,0.7612458,1.160576171875,0.70283,0.8968396000000001,0.057742400000000006
1800,0.8162486000000001,1.1975097656249998,0.7018326000000001,0.8936109999999999,0.06558159999999999
1900,0.8739437999999999,1.1984296874999998,0.7015134,0.8926912,0.0697784
2000,0.929697,1.235177734375,0.7010774,0.8911504000000001,0.0753598
2100,0.9829612000000001,1.2291523437499998,0.6998782,0.8893348000000001,0.08125600000000001
2200,1.032532,1.25333984375,0.7007155999999999,0.8912582,0.0788162
2300,1.0854164000000002,1.211912109375,0.6973003999999999,0.8873420000000001,0.0798724
2400,1.1346926,1.23844140625,0.695435,0.8846814000000001,0.08174239999999999
2500,1.1841984,1.255296875,0.6929109999999999,0.8812894000000002,0.08367859999999999
2600,1.2378994,1.243650390625,0.6928012000000001,0.8802034000000001,0.0862502
2700,1.2905792,1.214935546875,0.6921302,0.8778859999999999,0.089571
2800,1.3396476,1.2424941406249999,0.6901634,0.8754504000000001,0.091062
2900,1.3926994,1.26471484375,0.6882762,0.872897,0.09392039999999999
3000,1.4431148000000003,1.2853046875,0.6872406,0.8712937999999999,0.0974178
3100,1.4960944,1.26394921875,0.6865602000000001,0.870397,0.1001698
3200,1.54623,1.273103515625,0.6851412,0.8681946,0.10311300000000001
3300,1.5968788,1.28587890625,0.6842358000000001,0.8666482,0.104841
3400,1.6506901999999997,1.2456191406250001,0.6843022,0.8670532,0.1038438
3500,1.7001739999999999,1.271181640625,0.6831052000000001,0.8651005999999999,0.10745920000000002
3600,1.7516197999999998,1.266822265625,0.6805166,0.8615632,0.11005519999999999
3700,1.8031400000000002,1.31601171875,0.6788677999999999,0.8601018000000001,0.10957159999999999
3800,1.8550716,1.32583203125,0.6775184000000001,0.8595347999999999,0.1090862
3900,1.9062573999999999,1.35227734375,0.6751936000000001,0.857352,0.1112698
4000,1.9580568,1.3810625,0.6737241999999999,0.8556494000000001,0.11269219999999999
4100,2.0116199999999997,1.36329296875,0.6719809999999999,0.8535391999999999,0.1144048
4200,2.0635922,1.3749160156250002,0.6708572,0.852079,0.1147078
4300,2.1160728,1.3870078124999998,0.6688348,0.8497818,0.11625060000000001
4400,2.1697498,1.375177734375,0.6669224,0.8474386,0.11834320000000001
4500,2.2237568,1.385267578125,0.6645614,0.8441525999999999,0.1206218
4600,2.279099,1.33769921875,0.663126,0.8424206,0.12109940000000001
4700,2.3323473999999997,1.32594921875,0.6612935999999999,0.8404608,0.12131019999999999
4800,2.3846702,1.3192109375,0.6596400000000001,0.8384854,0.1205008
4900,2.4356728,1.34428125,0.6586012,0.8370032000000001,0.12179119999999999
5000,2.4884112,1.36851953125,0.6568908,0.8351295999999999,0.122017
5100,2.5425820000000003,1.3303359375,0.6562608,0.8349361999999999,0.1228032
5200,2.5946865999999997,1.3486992187500002,0.6558154,0.8345901999999998,0.12288919999999999
