n_samples,time,memory,MAE,RMSE,R2
0.0,0.02045430879545921,0.006433573441974253,2.0493901531919114e-06,7.014271166700077e-06,0.1273815583383246
0.0,0.0461008821097818,0.09384023301441177,3.7815340802377995e-06,3.6742346141747733e-06,0.058551430974827595
0.0,0.06657155300652072,0.05208705120804205,2.1213203435596327e-06,1.341640786499873e-06,0.03989017596100575
0.0,0.08614435980840533,0.17230238859986244,3.633180424916982e-06,2.9154759474226423e-06,0.03160962004991518
0.0,0.10524747728425607,0.18328974042838383,3.807886552931953e-06,3.781534080237804e-06,0.046061521161377204
0.0,0.12859595446980435,0.24997792247563583,7.39594483484025e-06,2.3926972228010807e-05,0.04206369669560677
0.0,0.1582092281733275,0.3743632733095768,3.605551275463985e-06,1.1260550608207395e-05,0.043261163279551325
0.0,0.18772705076440105,0.426825824122353,5.770615218501407e-06,9.126883367283702e-06,0.05192543848827856
0.0,0.21970395632714493,0.44824751781876315,6.188699378706322e-06,7.70064932327139e-06,0.05164372499345879
0.0,0.255273298886703,0.5131643191941873,4.505552130427538e-06,6.670832032063162e-06,0.04713708056827448
0.0,0.2754411019288879,0.4263997191099884,4.5607017003965495e-06,6.348228099241538e-06,0.03744522145347788
0.0,0.2870507418093533,0.4809615923701079,8.648699324175858e-06,1.0014988766843439e-05,0.05317392391482879
0.0,0.2986105680502617,0.4691848565613183,8.203657720797475e-06,9.939818911831336e-06,0.059106526207348714
0.0,0.3098035246511892,0.4737692018004449,8.234075540095557e-06,9.914635646356355e-06,0.0600641517587654
0.0,0.3196502079372075,0.5124503996223785,9.444575162494078e-06,1.2095453691366856e-05,0.06355962566991721
0.0,0.333118512338627,0.5286379891200388,1.0802777420645121e-05,1.3957077057894329e-05,0.06707210525471823
0.0,0.3566491795732888,0.4192706698108931,1.0922453936730532e-05,1.4300349646075095e-05,0.07289041747239482
0.0,0.37711891596378455,0.3980593588955619,9.838699100999077e-06,1.3164345787011222e-05,0.07379615971376831
0.0,0.3896743648066935,0.4271556444213334,1.0305338422390594e-05,1.5849290204927174e-05,0.07690176517284893
0.0,0.4045816476526092,0.347587190955251,1.0848963084092419e-05,1.7152259326397783e-05,0.08212124243336799
0.0,0.4137145883162691,0.34781907675009843,1.1388590782006339e-05,1.758408371226661e-05,0.08223644493349648
0.0,0.4209344004958493,0.4251834966024447,1.0568822072492283e-05,1.5562776101968452e-05,0.08316284022145949
0.0,0.4312491157894703,0.41998577423072664,1.1886967653695378e-05,2.065671803554475e-05,0.10104744397905371
0.0,0.4406759140649737,0.4183511873186674,1.2739701723352861e-05,2.2467754671973784e-05,0.10458010385680443
0.0,0.4497150574228086,0.41992356867391006,1.3038404810405301e-05,2.2853883696212343e-05,0.10270945346120776
0.0,0.45970977190320844,0.42121312699398483,1.2377398757412634e-05,2.2653917983430588e-05,0.10040424308016072
0.0,0.46865602941997875,0.4163010834745098,1.2349089035228464e-05,2.239866067424568e-05,0.0990671152184215
0.0,0.4761490161612224,0.4160367972761239,1.1691877522451219e-05,2.2029525641738187e-05,0.09793006700447007
0.0,0.4827292089522863,0.41851604157014594,1.1300442469213316e-05,2.164486082191335e-05,0.09450543994765592
0.0,0.49013515853303163,0.4171177230716919,1.0945318634009712e-05,2.104043725781382e-05,0.09216142218032446
0.0,0.4989302632710308,0.4159018477959938,1.0473776778220945e-05,2.0513410247932927e-05,0.08971735355660018
0.0,0.5076580755485919,0.471863349740417,1.0114346246792217e-05,1.9831792657246098e-05,0.08754967169727138
0.0,0.5186087242601113,0.49638720422601296,9.69535971483266e-06,1.8939376969689357e-05,0.08504604542364097
0.0,0.5312501030867666,0.49653504486717753,1.0545141061171268e-05,2.0586403279834984e-05,0.08994582718614579
0.0,0.5483503825748642,0.41518958320652066,1.1588787684654513e-05,2.130023474049054e-05,0.0904350198584597
0.0,0.5564434307178044,0.4188610729883666,1.1238327277669034e-05,2.122969618247044e-05,0.08865588002608739
0.0,0.5671967657733074,0.42054185337425465,1.0986355173577816e-05,2.08686367547092e-05,0.08808479835192903
0.0,0.5752261244775833,0.4108909259352166,1.0464224768228166e-05,2.016928357676592e-05,0.08513333242332287
0.0,0.5823382717703686,0.42092040366930206,1.0597169433391171e-05,1.967739820199813e-05,0.0824176048141415
0.0,0.5913220427826956,0.41990429616639474,1.0709808588392223e-05,1.9829271292712697e-05,0.08108168840743266
0.0,0.5994559641952859,0.4161272613748127,1.0644247272588144e-05,1.9519221295943126e-05,0.08280429459092083
0.0,0.6086693668168293,0.4286129191051386,1.151954860226736e-05,2.1393924371185397e-05,0.08506096347914241
0.0,0.6182563212302806,0.4335471822719893,1.1844830095868835e-05,2.2108821768696767e-05,0.08467664280248716
0.0,0.6270391490942172,0.4369986387052655,1.1777096416349826e-05,2.1393924371185376e-05,0.08276578994790057
0.0,0.6350195633787986,0.4374595379456598,1.1371015785759857e-05,2.1004761364985788e-05,0.08157532506217798
0.0,0.643995453404137,0.43941460267355154,1.0714476188783098e-05,1.98922095303664e-05,0.07944503263389095
0.0,0.652882082693345,0.4409288266286637,1.0807404868885027e-05,2.0141995928904364e-05,0.0787740419472049
0.0,0.660802412194296,0.4385559440819725,1.074709263010233e-05,2.0141995928904364e-05,0.07815690383261097
0.0,0.6691851216793452,0.4385559440819725,1.0401922899156676e-05,1.9501282009139817e-05,0.07736589002267083
0.0,0.6778070897347563,0.44081634533220554,1.023230179382919e-05,1.9385561637466167e-05,0.07693055017676657
0.0,0.6855820331792543,0.45027159503617065,9.576011695899282e-06,1.9018412131405724e-05,0.07562930800489978
0.0,0.6964926404329768,0.45027159503617065,9.607288899580351e-06,1.872965562950905e-05,0.07424227126240146
0.0,0.709605004565357,0.3755140064664772,9.219544457292882e-06,1.8729655629509054e-05,0.07345985421643579
0.0,0.7178416726310896,0.37615700095173754,8.820430828479976e-06,1.786896751354147e-05,0.0720422309031307
0.0,0.7256176592742901,0.37590873060233276,8.336666000266532e-06,1.7770762504743557e-05,0.07065435946210254
