n_samples,time,memory,MAE,RMSE,R2
100,0.06517199999999998,0.472171875,0.00012480000000000002,0.00016619999999999997,-0.4517432
200,0.1490026,0.472611328125,0.0001234,0.00016,-0.2065672
300,0.2157422,0.6927753906249998,0.0001252,0.0001606,-0.128301
400,0.30420679999999994,0.3463125,0.0001294,0.000164,-0.09135259999999999
500,0.3699664,0.7415800781249999,0.0001314,0.00016519999999999998,-0.0748396
600,0.45083840000000003,0.9016796875,0.0001526,0.00022259999999999996,-0.043148599999999995
700,0.5322706,1.179326171875,0.000187,0.00028740000000000005,0.016484199999999997
800,0.6368332000000001,1.1292265625,0.00020240000000000001,0.00030639999999999997,0.0409564
900,0.7384398,1.102173828125,0.00020859999999999997,0.00031,0.050391399999999996
1000,0.8263503999999999,1.0399921875,0.0002108,0.0003058,0.06371560000000001
1100,0.9080172,1.2168417968749998,0.0002114,0.00030240000000000003,0.0774298
1200,1.0106160000000002,1.246546875,0.00021739999999999997,0.0003086,0.0688382
1300,1.1054506,1.4155859375,0.0002192,0.00030960000000000004,0.0652144
1400,1.2055496,1.558,0.0002196,0.00030779999999999995,0.0670588
1500,1.3439891999999998,1.6706171875,0.0002268,0.0003196,0.07802200000000001
1600,1.4413854000000001,1.784,0.00023579999999999999,0.0003326,0.1003558
1700,1.546424,1.9479999999999997,0.00024199999999999997,0.00034159999999999995,0.11493840000000002
1800,1.6551801999999998,2.1060000000000003,0.0002444,0.000344,0.116412
1900,1.7742103999999999,2.278,0.0002458,0.00034820000000000006,0.1247656
2000,1.9072046,2.2359999999999998,0.00025079999999999997,0.0003548,0.1385638
2100,2.0248134,2.29,0.00025199999999999995,0.0003562,0.14856180000000002
2200,2.1818206,2.2239999999999998,0.0002514,0.00035539999999999997,0.1512304
2300,2.3174766,2.5060000000000002,0.000258,0.00036720000000000004,0.1854808
2400,2.451137,2.4400000000000004,0.0002574,0.00036720000000000004,0.2043234
2500,2.5661834000000003,2.628,0.000255,0.00036379999999999995,0.21119559999999998
2600,2.6883719999999998,2.668,0.0002512,0.0003594,0.2183646
2700,2.8242982,2.54,0.0002478,0.0003548,0.22557460000000001
2800,2.9371978,2.6759999999999997,0.0002448,0.0003506,0.2321098
2900,3.061374,2.722,0.00024359999999999999,0.00034679999999999997,0.2433072
3000,3.1869458,2.786,0.00024239999999999998,0.0003438,0.253306
3100,3.3125184000000005,2.926,0.0002418,0.00034100000000000005,0.2557394
3200,3.4444298000000004,3.008,0.0002404,0.0003392,0.255006
3300,3.5792286000000004,3.044,0.00023959999999999997,0.0003366,0.253018
3400,3.7135936000000003,3.306,0.0002428,0.00034060000000000004,0.25869660000000005
3500,3.8604904000000007,3.2640000000000002,0.0002444,0.00034159999999999995,0.2702424
3600,4.0128516,3.4159999999999995,0.0002444,0.000341,0.27780400000000005
3700,4.1609246,3.316,0.00024200000000000003,0.0003386,0.2826008
3800,4.2921592,3.572,0.0002444,0.000345,0.2766704
3900,4.437952999999999,3.7399999999999998,0.0002464,0.0003492,0.2711944
4000,4.5800985999999995,3.8659999999999997,0.0002456,0.0003486,0.27228020000000003
4100,4.7265462000000005,3.9619999999999997,0.0002454,0.000351,0.281165
4200,4.8981324,3.7920000000000003,0.00024660000000000003,0.0003538,0.3004564
4300,5.0493648,3.886,0.00024680000000000004,0.0003534,0.3121944
4400,5.1943288,4.014,0.000246,0.0003524,0.3209492
4500,5.346242,4.162000000000001,0.000245,0.0003506,0.323014
4600,5.5209098,4.154,0.0002454,0.0003522,0.3173292
4700,5.6777506,4.296000000000001,0.0002452,0.0003514,0.3152394
4800,5.846569,4.1979999999999995,0.00024380000000000002,0.0003496,0.3123358
4900,6.0083704,4.238,0.00024239999999999998,0.0003474,0.3116694
5000,6.1676646,4.164,0.00024000000000000003,0.0003448,0.3133186
5100,6.316207400000001,4.238,0.000238,0.0003424,0.3194256
5200,6.469233,4.2219999999999995,0.0002366,0.0003402,0.3259524
5300,6.6231798,4.372,0.0002356,0.0003384,0.32749079999999997
5400,6.7833764,4.402000000000001,0.00023359999999999999,0.00033600000000000004,0.3314628
5500,6.9413216,4.4,0.0002316,0.0003336,0.33589420000000003
5600,7.0946762,4.494000000000001,0.00023080000000000003,0.000332,0.33987120000000004
5700,7.2592338,4.476000000000001,0.00023080000000000003,0.0003318,0.34016680000000005
