n_samples,time,memory,MAE,RMSE,R2
100,0.0384424,0.335021484375,40.761112000000004,52.4785482,-0.044348
200,0.1265678,0.024560546875,38.8910542,50.6046162,-0.0267
300,0.16364680000000004,0.276923828125,34.6878006,46.4660436,0.0762972
400,0.2012658,0.45086132812499996,32.689738399999996,44.815595,0.1437736
500,0.27948080000000003,0.28970312500000006,31.894269200000004,44.216271000000006,0.1812432
600,0.31614580000000003,0.47869921875,31.0828284,43.1437908,0.20491260000000003
700,0.36150319999999997,0.67509765625,30.4019098,42.4778098,0.2401888
800,0.41848840000000004,0.866169921875,30.493270000000003,42.909301799999994,0.2644016
900,0.5306524,0.714828125,30.407019400000003,42.7220484,0.2807656
1000,0.6312112,0.5771113281250001,30.748303200000002,43.5123222,0.3072172
1100,0.6844302,0.8135839843749999,31.506653600000003,45.1214684,0.3275662
1200,0.7760022,0.88952734375,31.587370399999998,45.2260712,0.33794960000000007
1300,0.869061,0.9468515625,31.666104999999998,45.482140199999996,0.3501266
1400,0.9398896000000001,1.0540000000000003,31.784168,45.833762199999995,0.3586086
1500,1.0154644000000002,1.149775390625,32.2411474,46.563260400000004,0.36216099999999996
1600,1.1291534,1.104,32.7275212,47.4022716,0.366845
1700,1.246473,0.9890078125,33.416730799999996,48.7479988,0.3756258
1800,1.3521476,0.96751171875,34.121103,50.2803398,0.3824092
1900,1.4536715999999998,0.961970703125,34.5963976,51.049743,0.391219
2000,1.5652051999999999,0.8570957031249999,34.728926,51.3521672,0.3993602
2100,1.6454736,1.002431640625,35.1204242,52.10514499999999,0.406273
2200,1.7285238,1.1400000000000001,35.5713854,53.0571154,0.41089200000000003
2300,1.8286259999999999,1.2694023437500002,36.2360692,54.425267600000005,0.4098376
2400,1.9336855999999998,1.362,36.9239096,55.577946,0.4126734000000001
2500,2.0361489999999995,1.3860000000000001,37.8615678,57.5997802,0.4244464
2600,2.1479255999999998,1.404,39.10938599999999,60.025110999999995,0.428638
2700,2.264725,1.436,40.7456586,63.9056028,0.4274704
2800,2.3871194000000004,1.278,42.298651,66.82759300000001,0.4280752
2900,2.487123,1.2610371093750001,43.715353,69.47458180000001,0.43470200000000003
3000,2.5771281999999998,1.3280332031250002,44.8700376,71.63557340000001,0.438418
3100,2.667752,1.31226171875,46.239425,74.1052446,0.4354228
3200,2.7441864,1.40615625,47.5608878,76.3486048,0.43483780000000005
3300,2.8360236,1.4499999999999997,48.8032064,78.4220556,0.438035
3400,2.9424982,1.42522265625,50.1137436,80.4943572,0.4407769999999999
3500,3.0466796,1.372951171875,51.141770400000006,81.959658,0.44056760000000006
3600,3.1683942,1.3025156249999998,52.316252399999996,83.7651662,0.44125139999999996
3700,3.2562296,1.376,53.38653760000001,85.32698780000001,0.4410622
3800,3.357548,1.3035,54.4430974,86.843045,0.4403916
3900,3.4316652000000003,1.404,55.28162519999999,88.1100336,0.4390366
4000,3.5235431999999998,1.392,56.1621152,89.4191122,0.437809
4100,3.6216466000000005,1.2988710937499999,56.9906746,90.62993220000001,0.4385344
4200,3.6976324,1.3333320312499999,58.00592279999999,92.32995120000001,0.4371848
4300,3.7860224000000002,1.3476308593749997,58.75845220000001,93.26216960000001,0.43854699999999996
4400,3.8728240000000005,1.3452226562500003,59.51065559999999,94.14305200000001,0.43807080000000004
4500,3.9422013999999996,1.430974609375,60.02134579999999,94.772791,0.4404566
4600,4.0321788000000005,1.404185546875,60.640200400000005,95.4683672,0.4425598
4700,4.1103296,1.41255859375,61.1602836,96.010568,0.44317320000000004
4800,4.2073182,1.3012480468749998,61.45209239999999,96.2082822,0.44319299999999995
4900,4.2738578,1.39135546875,61.767830200000006,96.43918500000001,0.44398300000000007
5000,4.353279,1.437685546875,61.93708779999999,96.6162664,0.44451
5100,4.4436938,1.48,62.234585,96.9283162,0.4442706
5200,4.5218654,1.502,62.4887736,97.233698,0.44621380000000005
5300,4.6410214000000005,1.3699999999999999,62.593940399999994,97.2789822,0.4482634
5400,4.7193784,1.3960000000000001,62.82034940000001,97.470683,0.4494458
5500,4.7951424,1.396,62.9525752,97.61532820000001,0.4516892
5600,4.8777906,1.338,63.353112800000005,98.0893908,0.452114
5700,4.9608544000000006,1.2442109375,63.63482180000001,98.52854219999999,0.4537972
5800,5.0340286,1.2351464843749997,63.8731586,98.75005019999999,0.45513820000000005
5900,5.144624800000001,1.2038574218749998,64.023801,98.80086500000002,0.45525020000000005
6000,5.2225459999999995,1.18044140625,64.2349852,98.94485560000001,0.4569216
6100,5.295550400000001,1.2076582031249998,64.332624,98.96951879999999,0.4586224
6200,5.3596674,1.285677734375,64.5752814,99.3909116,0.457307
6300,5.444042999999999,1.241787109375,64.7881146,99.5831452,0.4563708
6400,5.5070962,1.3213222656249999,64.9768878,99.8390588,0.4560094
6500,5.609431,1.1579453124999999,65.11345879999999,100.0041024,0.45617899999999995
6600,5.685598400000001,1.1359609374999997,65.229843,100.1209868,0.45719960000000004
6700,5.7638656,1.137427734375,65.4055226,100.3599272,0.4584236
6800,5.8318292,1.1586562500000002,65.56159299999999,100.5551368,0.45942160000000004
6900,5.896719,1.172083984375,65.6072264,100.58364759999999,0.46048900000000004
7000,5.9640814,1.162166015625,65.6824184,100.6579986,0.4608002
7100,6.0262340000000005,1.2244101562499998,65.6889634,100.58465219999998,0.46032980000000007
7200,6.0971846,1.2677109375,65.741805,100.63677480000001,0.4603332
7300,6.1661158,1.2818964843749998,65.8050002,100.610626,0.46038940000000006
7400,6.260571799999999,1.172302734375,65.82445700000001,100.56697700000001,0.4599174
7500,6.327876999999999,1.2088671875,65.806106,100.46727080000002,0.460177
7600,6.397226399999999,1.1845917968750002,65.789345,100.3414638,0.46022700000000005
7700,6.4835854,1.032828125,65.6956634,100.12380959999999,0.4598898
7800,6.538698999999999,1.0898515625,65.7241688,100.03785239999999,0.4587534
7900,6.6058601999999995,1.108392578125,65.7289592,99.93797959999999,0.4582268
8000,6.6713070000000005,1.132080078125,65.65515020000001,99.7569462,0.45862860000000005
8100,6.751409,1.0643320312500002,65.5572172,99.56769139999999,0.45887780000000006
8200,6.815279800000001,1.05961328125,65.463245,99.36703860000001,0.45954280000000003
8300,6.8901406,1.0515019531249998,65.4041168,99.2059452,0.45921600000000007
8400,6.9543914000000004,1.079888671875,65.3991848,99.13648280000001,0.4577956
8500,7.0133498,1.1004140625,65.6064552,99.25291460000001,0.45383579999999996
8600,7.068569599999999,1.15433984375,65.65313,99.1831424,0.45163739999999997
8700,7.12876,1.17257421875,65.69769679999999,99.1173206,0.4497206
8800,7.1991536,1.193208984375,65.7406016,99.06895119999999,0.4490918
8900,7.274530400000001,1.140853515625,65.77275660000001,99.0524002,0.4486454
9000,7.338832599999999,1.159634765625,65.7750288,98.95928039999998,0.4475358
9100,7.415682799999999,1.130078125,65.73221699999999,98.82284480000001,0.4472722
9200,7.4746148,1.1941953125,65.6395222,98.65717840000002,0.4475392
9300,7.5369664,1.2489433593750001,65.6502318,98.6305924,0.44793120000000003
9400,7.624813599999999,1.103259765625,65.62746940000001,98.615045,0.4487366
9500,7.6790742,1.144029296875,65.64847019999999,98.58710599999999,0.44878979999999996
9600,7.735550000000001,1.186412109375,65.5945366,98.48194339999999,0.448912
9700,7.793202600000001,1.231326171875,65.6605996,98.5125768,0.4489764
9800,7.8527528,1.2743203125,65.6939516,98.52231,0.44895359999999995
9900,7.9242230000000005,1.27075,65.64960920000001,98.4701266,0.4499212
10000,7.983471200000001,1.3110605468750003,65.69479140000001,98.51684320000001,0.44988039999999996
10100,8.043934400000001,1.3515546875,65.7239984,98.5662288,0.45041640000000005
10200,8.105955600000001,1.390150390625,65.7734768,98.63518000000002,0.4514024
10300,8.1690012,1.427484375,65.8540722,98.757722,0.45255980000000007
10400,8.2487884,1.397548828125,66.0595802,99.2646432,0.45312480000000005
