n_samples,time,memory,MAE,RMSE,R2
100,0.0319908,0.357705078125,83428.8872192,102129.2071182,-0.061055399999999996
200,0.1320762,0.046099609375,82977.67727860001,99193.4166406,-0.0350914
300,0.15786799999999998,0.35459179687500003,75438.8059654,93666.39643179999,0.11802779999999999
400,0.20466260000000003,0.46392773437500007,70062.4850568,87856.190024,0.2044232
500,0.2692558,0.42085156250000005,66769.5021968,84969.8925072,0.27279960000000003
600,0.3132556,0.5794277343750001,62937.1215618,81011.5693956,0.3290662
700,0.370157,0.702044921875,60557.17748400001,78784.72253439999,0.37488520000000003
800,0.42310820000000005,0.86165625,59055.0582804,76962.001568,0.38859699999999997
900,0.5053248,0.899443359375,58461.45501339999,76329.0266844,0.3875666000000001
1000,0.600643,0.921501953125,59046.3726962,76893.8336742,0.382046
1100,0.6712612,0.9877480468750001,59848.3844078,78006.22841780001,0.3905758
1200,0.7341246,1.1716093750000003,60226.1095964,78190.9529462,0.3823776
1300,0.8154665999999999,1.2280000000000002,59889.450709,77799.58092519999,0.3617532
1400,0.8883547999999999,1.3840000000000001,59421.92574980001,77199.4779994,0.33822640000000004
1500,1.0238884000000001,1.322,58865.7943218,76388.3827056,0.33202619999999994
1600,1.0870552,1.634,58367.2052144,75614.2101006,0.34041960000000004
1700,1.2015509999999998,1.7079999999999997,58416.6046614,75158.5607318,0.3519842
1800,1.3263302000000001,1.7479999999999998,58686.84200620001,74937.61386479999,0.3679136
1900,1.4269235999999998,1.786,58917.3290442,74946.9542506,0.36056600000000005
2000,1.515704,1.9119999999999997,58593.34065500001,74443.4359578,0.35107999999999995
2100,1.631052,1.78,58313.2827028,74196.8716122,0.36185619999999996
2200,1.7580802000000002,1.6420000000000001,58731.236921799995,74898.4573872,0.3981582
2300,1.8385258,1.8720000000000003,58487.95342260001,74713.61295119999,0.4137064
2400,1.9635436,1.8219999999999998,58091.97737400001,74203.93102660001,0.4227679999999999
2500,2.0647677999999994,1.9439999999999997,57529.1327466,73851.1874336,0.4253032
2600,2.182538,1.89,57630.924770800004,73900.5530354,0.4285604
2700,2.262039,2.098,57846.46232200001,73844.3645776,0.437664
2800,2.3843222,1.9799999999999998,57878.725764999996,73723.9968838,0.44144180000000005
2900,2.518029,2.036,57636.295812399985,73430.22995359999,0.443853
3000,2.6194694,2.198,57124.305504200005,72870.178162,0.4509404
3100,2.7679884,2.054,56717.332462,72379.6253306,0.45902560000000003
3200,2.8901522,2.018,56183.4417976,71713.294351,0.46678859999999994
3300,2.973425,2.288,55722.6423812,71204.8426456,0.47289919999999996
3400,3.1018673999999997,2.21,55225.805944600004,70696.65687440001,0.479158
3500,3.2093111999999997,2.276,54705.820964599996,70216.91014319999,0.48500119999999997
3600,3.2968821999999998,2.4219999999999997,54235.92119359999,69720.2271898,0.4899874000000001
3700,3.4644842,2.2600000000000002,53910.979804,69431.9989692,0.4907369999999999
3800,3.5525095999999996,2.438,53646.048942999994,69111.8746834,0.49210600000000004
3900,3.6977976,2.45,53447.9895422,68785.6064054,0.49247440000000003
4000,3.7935968000000004,2.6420000000000003,53361.0776512,68591.070458,0.4905952
4100,3.9360968,2.662,53389.79962060001,68722.7505114,0.49681600000000004
4200,4.074057,2.62,53591.458139600014,69041.6797684,0.4963212
4300,4.212495,2.6060000000000003,54101.93662760001,69689.3029402,0.4852176
4400,4.331711,2.548,55122.49080739999,71133.86598,0.46665340000000005
4500,4.4891778,2.162,55557.10540120001,71698.2305442,0.457031
4600,4.6213194,1.9440000000000002,56169.6590584,72778.5036264,0.46077779999999996
4700,4.760907,1.7220000000000002,57206.601702600005,74482.0918686,0.462635
4800,4.8395214,1.7399999999999998,58185.1082922,76333.3360948,0.4542908
4900,4.9179468,1.732,59446.28148320001,78422.35403740001,0.441127
5000,5.0015316,1.7380000000000002,59987.5892906,79279.9114928,0.43468439999999997
5100,5.0681586,1.8099999999999998,60097.738228999995,79625.93260039999,0.4255922
5200,5.1595048,1.81,60734.2706832,80782.32135800002,0.4153534
5300,5.2284338,1.886,61974.095591799996,82884.9275044,0.4020916
5400,5.2984382000000005,1.9300000000000002,62371.594724400005,83804.81973499998,0.39343540000000005
5500,5.3694194,1.9579999999999997,62302.5340692,83951.81535700001,0.388374
5600,5.4594406,1.7899999999999998,62054.4586118,83795.5322518,0.38600599999999996
5700,5.542403600000001,1.736,61846.96646819999,83529.674119,0.38468440000000004
5800,5.607351599999999,1.7920000000000003,61796.858687,83376.5291732,0.3967674
5900,5.6785282,1.906,62695.554835,84867.852005,0.41021719999999995
6000,5.762539200000001,2.008,63981.4329518,86734.620341,0.41103880000000004
6100,5.864131,1.9600000000000002,65015.8225526,88142.38843100001,0.41077640000000004
6200,5.951851400000001,1.9940000000000002,65312.083418400005,88540.8782172,0.4104444
6300,6.0293298,2.0940000000000003,65565.75000819999,88772.73004000001,0.4128031999999999
6400,6.107688400000001,2.1580000000000004,65602.9900326,88697.98065760001,0.4137346
6500,6.2304862,2.028,65475.8939882,88531.230471,0.4132424
6600,6.3261018,2.04,65357.23949500001,88309.1968604,0.41149779999999997
6700,6.4198302,2.0700000000000003,65157.63217720001,87992.5451826,0.4106368000000001
6800,6.523166599999999,2.092,64860.550268399995,87628.01959180001,0.4093464
6900,6.6292748,2.028,64587.3376324,87280.904547,0.40891780000000005
7000,6.7472592,1.9120000000000001,64557.8502526,87197.652329,0.4123914
7100,6.8202436,1.9760000000000002,64353.599847800004,86968.2697976,0.41556059999999995
7200,6.9175692,1.8940000000000001,64184.86313979999,86778.91925,0.4208274
7300,7.0242962,1.8219999999999998,64254.916056400005,86885.8370014,0.42765719999999996
7400,7.1313586,1.6800000000000002,64247.903731399994,86844.2823082,0.430176
7500,7.1963132000000005,1.7420000000000002,64027.570831799996,86571.0013736,0.4315982
7600,7.276272799999999,1.7439999999999998,63758.1350394,86239.3020576,0.4312466
7700,7.3444612,1.802,63491.982531400005,85916.30958839999,0.42953539999999996
7800,7.4183536000000005,1.748,63112.9698006,85522.0760692,0.4292872
7900,7.4818584,1.7619999999999998,62683.6088032,85089.0858554,0.42925820000000003
8000,7.5456938000000005,1.7740000000000002,62284.020984999996,84666.96007419999,0.4294818
8100,7.634129800000001,1.636,62042.569586800004,84333.997391,0.4298388
8200,7.6972578,1.6920000000000002,61875.822219999995,84070.7385974,0.4291238
8300,7.764087599999999,1.768,61702.2768146,83823.3399858,0.42844820000000006
8400,7.8330454000000005,1.8279999999999998,61425.8928346,83492.9991234,0.427292
8500,7.9046438,1.906,61169.71082420001,83181.6111732,0.42676400000000003
