n_samples,time,memory,MAE,RMSE,R2
100,0.0193192,0.096232421875,4.2991824,5.376394,-0.14742660000000002
200,0.042545599999999996,0.041591796874999996,4.1099828,5.109551,-0.0787272
300,0.06583900000000001,0.314708984375,3.9490900000000004,4.8918292,0.036733199999999994
400,0.0933264,0.366759765625,3.8669024,4.7690728,0.07598820000000002
500,0.12139959999999998,0.38307031249999995,3.8235094000000003,4.7042269999999995,0.1002426
600,0.1507658,0.37449609375,3.8180495999999997,4.668702399999999,0.1209782
700,0.17975460000000001,0.40566601562499993,3.7504286000000002,4.5846052,0.1439938
800,0.20927820000000003,0.40713671875,3.7268992000000005,4.549226599999999,0.152948
900,0.23878180000000002,0.4080351562500001,3.6980326000000003,4.504339399999999,0.16822140000000002
1000,0.2684946,0.40891992187500004,3.6693066,4.470717800000001,0.1810902
1100,0.297746,0.40894140625,3.6873166,4.4833174,0.186133
1200,0.32796459999999994,0.40895312500000003,3.6717459999999997,4.461267,0.189417
1300,0.357776,0.40896289062499996,3.655623,4.4400594,0.1911756
1400,0.387447,0.409130859375,3.653635,4.4353116,0.1980798
1500,0.41965,0.40872265625,3.6379546000000005,4.4144648,0.20684340000000004
1600,0.4558008,0.487349609375,3.6305962000000003,4.4051355999999995,0.20981880000000003
1700,0.4909084,0.586837890625,3.631827,4.4077912,0.21536340000000004
1800,0.5269292,0.684091796875,3.6105264,4.3869164,0.2201794
1900,0.5646054,0.7740917968750001,3.6016436,4.3752536,0.22591860000000002
2000,0.6047846,0.8300917968749999,3.5914116,4.3633084,0.2310566
2100,0.6471652,0.92391796875,3.5781763999999994,4.3502279999999995,0.2367018
2200,0.6910116,0.994294921875,3.5681005999999997,4.3369608,0.242886
2300,0.7368965999999999,1.029615234375,3.5559849999999997,4.321812,0.24690640000000003
2400,0.7827556,1.0606562499999999,3.5433794,4.3093686,0.2514328
2500,0.8299783999999999,1.078654296875,3.5380842,4.3000676,0.2545102
2600,0.8778012000000001,1.0934531250000001,3.5327911999999997,4.2929015999999995,0.25768199999999997
2700,0.9257861999999999,1.1099902343749999,3.5222156,4.2816694,0.2598232
2800,0.9746254000000001,1.122181640625,3.5106364,4.270019400000001,0.2640548
2900,1.023522,1.128205078125,3.5118766,4.2710894,0.2662504
3000,1.0752572,1.1465371093749999,3.5040672,4.2633612,0.2691534
3100,1.1275232,1.1905507812500002,3.4966500000000003,4.2554996,0.27133700000000005
3200,1.1816266,1.236720703125,3.4851918,4.2425458,0.2754816
3300,1.2344936,1.276728515625,3.4717764000000004,4.228981,0.2785976
3400,1.2881448,1.3067285156250001,3.4645734,4.2206876,0.27964839999999996
3500,1.3432826,1.3764570312499997,3.4584432,4.2138224,0.282372
3600,1.3991132,1.4275507812500001,3.4519007999999998,4.205666,0.2847028
3700,1.4565119999999998,1.46026171875,3.4441078,4.196842,0.28796079999999996
3800,1.5151788,1.48591015625,3.440365,4.1931872,0.2907412
3900,1.5747288,1.4906621093749999,3.4315388,4.1845558,0.2925178
4000,1.6336164,1.5255136718749998,3.4240161999999996,4.1749508,0.2957176
4100,1.6934421999999998,1.544091796875,3.4137428,4.1652188,0.29765159999999996
4200,1.7557824000000004,1.5650273437500002,3.4063727999999998,4.1578124,0.3004204
4300,1.8179882000000003,1.652716796875,3.3975432,4.1486632,0.3032638
4400,1.8812372,1.7012597656250001,3.3906368000000002,4.1407694,0.3065506
