n_samples,time,memory,MAE,RMSE,R2
100,0.0512238,0.8503046874999999,28984.6276114,43168.4544304,-0.045170999999999996
200,0.4118938,0.49439453124999994,28064.267131599998,39729.707330799996,-0.0291734
300,0.46892179999999994,1.32,27486.922664399997,39049.947591599994,-0.0212212
400,0.8832927999999999,0.351830078125,26858.1504404,40737.335069,-0.0162412
500,0.9433702,1.1793359374999999,27561.560574599996,43503.128940799994,-0.010123400000000001
600,1.1891274,0.7533671875,28180.561270399998,47000.1111564,-0.007193399999999998
700,1.3455574000000001,0.9725566406249999,29478.096477199997,51690.3951256,-0.005720199999999999
800,1.5066663999999999,1.4798593749999998,30011.1990836,53977.190551399995,0.0146288
900,1.6953792,1.2689453125,30530.6279568,54853.94943960001,0.0173026
1000,1.8495096,1.356998046875,30381.657582800002,54674.4913712,0.021639400000000003
1100,1.9915492000000001,1.9356679687499998,30448.6006536,54450.5996182,0.0435738
1200,2.2185248,2.148,30713.3227174,54349.06848160001,0.0635514
1300,2.3691763999999997,2.646,30473.999074600004,53483.45788840001,0.073877
1400,2.683906,2.104,30569.410451000003,53497.6820438,0.082136
1500,2.8549718000000004,2.247162109375,30613.141038200003,53292.212462200005,0.08920259999999999
1600,2.9967722,2.7399999999999998,30547.332921400004,53135.7255002,0.0936938
1700,3.2407367999999996,2.9213359374999994,30461.429925000004,52909.0243858,0.100356
1800,3.4647710000000003,3.122,30195.006368399998,52449.6100762,0.10271939999999999
1900,3.6649983999999995,3.2339999999999995,30099.507890800003,52067.5750242,0.1080476
2000,3.8946116,3.408,29775.891626800003,51386.014002799995,0.10939079999999998
2100,4.1334532,3.55,29636.2755092,51013.2203542,0.11113840000000001
2200,4.4547138,2.966,29565.6034776,50891.952708200006,0.1176398
2300,4.6838999999999995,3.1399999999999997,29322.152771400004,50468.644318599996,0.122472
2400,5.013574,2.822,29247.0071216,50287.4794568,0.1240062
2500,5.137527199999999,3.5460000000000003,29210.0102404,50048.8590458,0.131463
2600,5.3711262,3.692,29252.9244656,50282.0311706,0.1398034
2700,5.5996264,3.662,29160.84178,50213.339773800006,0.14278640000000004
2800,5.783017200000001,3.854,29140.6302348,50241.689962799996,0.1464966
2900,6.023961399999999,3.7840000000000003,29263.0711428,50457.087303,0.15372559999999996
3000,6.1688028,4.246,29372.999650399997,50562.71680440001,0.1564112
3100,6.5457068000000005,3.4120000000000004,29440.7196048,50557.149172599995,0.1584142
3200,6.796247800000001,3.3280000000000003,29499.6811796,50696.2615628,0.1599336
3300,6.9572196,3.3880000000000003,29494.656283,50734.50567599999,0.1612766
3400,7.088880399999999,3.7659999999999996,29454.208388599996,50582.1936164,0.16116840000000002
3500,7.3856374,3.532,29490.925576600002,50537.506842200004,0.1618924
3600,7.5431028,3.9579999999999997,29478.9126408,50304.202577000004,0.163501
3700,7.691918599999999,4.366,29453.9749702,50106.2232992,0.16127799999999998
3800,8.065275199999999,3.446,29394.0158076,49881.885473999995,0.1622818
3900,8.1957968,3.782000000000001,29306.020614600002,49722.424318000005,0.1640482
4000,8.419345,3.806,29248.477132,49600.5386112,0.1639068
4100,8.6086134,3.714,29320.445982800004,49855.84373959999,0.16416219999999998
4200,8.782010199999998,3.7860000000000005,29281.064202800004,49750.9338668,0.1647224
4300,9.0128744,3.808,29261.065559799998,49716.969640200005,0.1674912
4400,9.1656042,4.151999999999999,29183.725811599998,49537.92595,0.1693862
4500,9.5232942,3.696,29156.2562088,49488.52017640001,0.1738234
4600,9.694684200000001,3.7339999999999995,29100.7459092,49484.3634246,0.1749544
4700,9.8334988,4.077999999999999,29047.9614696,49620.6204884,0.174395
4800,10.0662576,3.62,29039.061542000003,49583.0000092,0.173124
4900,10.2449356,3.47,28999.858490199997,49518.214130399996,0.1755642
5000,10.386683999999999,3.7300000000000004,29043.511121800002,49709.366016600005,0.1787528
5100,10.524033399999999,3.9900000000000007,28987.4357926,49666.720839400004,0.18171520000000002
5200,10.6689604,4.248,28950.360072,49685.194946999996,0.18512599999999999
5300,10.947001799999999,3.7319999999999993,28857.565442,49498.1054962,0.1857452
5400,11.117111399999999,3.65,28794.40194,49367.428768800004,0.1851652
5500,11.2516678,3.8939999999999997,28736.113063999997,49246.862984,0.18599839999999998
5600,11.3924296,4.116,28692.858385399995,49251.03551919999,0.18775619999999998
5700,11.5414798,4.35,28664.488430799996,49220.27310020001,0.1907384
5800,11.7636182,4.316000000000001,28615.271609800002,49103.5749464,0.19191940000000002
5900,11.9516314,4.226,28527.1730584,48976.6329672,0.19343559999999999
6000,12.1841556,4.12,28470.253901999997,48898.8482696,0.1943474
6100,12.3299722,4.312,28366.5060426,48714.648934,0.19528079999999998
6200,12.4823218,4.526,28308.443334,48538.8799726,0.19759359999999998
6300,12.6975582,4.17,28259.5202338,48444.3132182,0.1994938
6400,12.911737399999998,3.714,28207.607859399996,48454.730211,0.20026739999999998
6500,13.078005199999998,3.6,28190.468242000003,48507.8625504,0.20003359999999998
6600,13.208890400000001,3.806,28174.243462799997,48459.102054400006,0.2003358
6700,13.4071466,3.778,28118.630867399996,48354.4571278,0.20085160000000002
6800,13.5655498,3.9939999999999998,28086.7008754,48327.1754164,0.2025928
6900,13.7749988,3.554,28038.0833666,48216.9683654,0.204922
7000,13.984979200000001,3.4519999999999995,27965.4189214,48104.64100240001,0.2060988
7100,14.112329599999999,3.646,27870.391165,47947.120548599996,0.2066476
7200,14.2789536,3.5239999999999996,27764.6622826,47792.1353302,0.2067294
7300,14.407499000000001,3.7019999999999995,27676.129203800003,47674.673179000005,0.20745580000000002
7400,14.6030732,3.6759999999999997,27625.244473600003,47555.141867599996,0.2107452
7500,14.738228799999998,3.912,27625.437626000006,47493.377442799996,0.2110764
7600,14.941726799999998,3.8640000000000008,27612.691998000002,47408.5660882,0.21111440000000004
7700,15.136026999999999,3.848,27598.748878000002,47327.077584800005,0.21057520000000002
7800,15.3409364,3.3980000000000006,27598.607435400005,47399.7295024,0.2115612
7900,15.4747296,3.596,27599.594413199997,47460.7899464,0.21232679999999998
8000,15.603692600000002,3.7840000000000003,27564.915799600003,47417.6108906,0.2126544
8100,15.771318200000001,3.6340000000000003,27504.814896000004,47260.5253306,0.2130962
