n_samples,time,memory,MAE,RMSE,R2
100,0.0367364,0.45640625,28984.6276114,43168.4544304,-0.045170999999999996
200,0.09269659999999999,0.44391406250000004,28064.267131599998,39729.707330799996,-0.0291734
300,0.1314072,0.55458984375,27927.854845999995,39236.3488888,-0.0311338
400,0.191499,0.149912109375,27373.522964599997,40914.1543638,-0.0246018
500,0.2250874,0.5444140625,27881.311418800004,43233.8622554,0.0028154
600,0.2701666,0.5399199218749999,28475.593312599998,46631.5897906,0.0082784
700,0.32446080000000005,0.6740097656249999,29709.8099164,51047.233454,0.019174200000000002
800,0.3682998,0.84895703125,30275.0974324,53610.583765799995,0.0276292
900,0.4269337999999999,0.80665625,30782.924222999998,54691.7286544,0.0229018
1000,0.4799787999999999,0.95028515625,30665.897997600005,54618.23752560001,0.023878
1100,0.5304588,1.09,30842.3530196,54790.762216999996,0.031778
1200,0.5972644,1.0617890625,31016.405093999998,55138.941619599995,0.0366526
1300,0.6532224,1.1599999999999997,30813.946072600003,54446.3494044,0.0405164
1400,0.7154961999999999,1.328,30848.358152200002,54507.2265292,0.0471562
1500,0.7783226000000001,1.3940000000000001,30933.980822,54439.5743336,0.049738399999999995
1600,0.8447924,1.478,30880.9222458,54320.86660560001,0.05274720000000001
1700,0.9179168000000001,1.4,30750.807330599997,54131.5547548,0.05860639999999999
1800,0.9854452,1.3176660156249997,30452.9464844,53579.4477992,0.0638216
1900,1.049713,1.2379863281249999,30326.49398,53290.290654,0.0660376
2000,1.1082502,1.21066796875,30048.1607014,52571.41617,0.06804839999999998
2100,1.1815912000000002,0.8918652343750001,29907.538339799998,52179.483435,0.07023579999999999
2200,1.2307394,1.023134765625,29762.7270386,52118.4703134,0.0749396
2300,1.2837838,1.05456640625,29452.0674584,51750.152981,0.07783580000000001
2400,1.3322635999999999,1.1532734375,29294.0004978,51498.975786,0.081728
2500,1.3831077999999999,1.23809765625,29232.6688632,51333.4154078,0.0864446
2600,1.4356082000000001,1.2961289062499999,29275.755610400003,51808.7464242,0.086784
2700,1.48968,1.3480175781250001,29167.35652,51796.7453676,0.08814079999999999
2800,1.5455174,1.4040000000000004,29147.911247599997,51781.0724422,0.09356539999999999
2900,1.6072237999999999,1.452,29248.725329200002,52131.520165999995,0.0968078
3000,1.665194,1.49,29240.150719599995,52269.4299884,0.0987796
3100,1.7274630000000002,1.532,29196.947013599995,52297.109732,0.0997346
3200,1.7911376,1.4588417968749998,29127.7921822,52445.233453999994,0.1013082
3300,1.8496245999999998,1.5299999999999998,29038.548709200004,52429.86826920001,0.10473220000000001
3400,1.9092466000000001,1.572,28912.679852399997,52180.8517018,0.10760080000000001
3500,1.9755937999999997,1.464,28878.697533600003,52107.267112,0.10941479999999999
3600,2.0388104,1.4080000000000001,28816.447067200002,51836.0539994,0.11226119999999999
3700,2.0984308,1.4300000000000002,28686.265375600004,51501.221558799996,0.114428
3800,2.1557134,1.4899999999999998,28572.2930604,51256.2873578,0.1160714
3900,2.2224442,1.4787109375,28411.253073,51090.5855314,0.1178228
4000,2.284625,1.4313281249999998,28304.970382599997,50938.49694,0.118646
4100,2.3424898,1.500376953125,28329.9208354,51212.0809534,0.1184742
4200,2.4057966,1.4770703125,28311.6966532,51129.5561434,0.118249
4300,2.4648156,1.544,28297.5848928,51193.5058172,0.1180204
4400,2.5282411999999996,1.536,28205.054718,50984.006562400005,0.120721
4500,2.5921638,1.5420000000000003,28196.208583599997,51012.759034999995,0.1225576
4600,2.6592186,1.4540000000000002,28147.125878399995,51044.2084148,0.12271119999999999
4700,2.717473,1.542,28099.5674162,51233.2259646,0.12025059999999999
4800,2.7816842,1.6039999999999999,28033.8912062,51155.17082680001,0.12035259999999999
4900,2.8435118000000004,1.6620000000000001,27978.7951488,51097.4019396,0.122605
5000,2.9066644,1.7120000000000002,28046.2907622,51411.8618462,0.12204860000000002
5100,2.9713491999999997,1.7619999999999998,28020.1205574,51428.0996428,0.12303300000000002
5200,3.0373784,1.8219999999999998,28005.913930000002,51537.3890862,0.1237464
5300,3.1044538,1.8560000000000003,27914.285641399998,51317.356535599996,0.1252758
5400,3.1891346,1.8039999999999998,27832.699249600002,51104.4576488,0.12726739999999997
5500,3.2552644,1.832,27768.6014506,50956.3938104,0.1289604
5600,3.3221132000000004,1.8699999999999999,27739.383535200002,50968.9756874,0.1305336
5700,3.3934206,1.762,27715.332191199996,50978.9560562,0.132373
5800,3.4637634,1.64,27684.1748446,50846.9208716,0.1339468
5900,3.5255752,1.658,27594.3366652,50723.4905246,0.1352522
6000,3.594069,1.4865820312499998,27529.073054200002,50625.070137799994,0.1368202
6100,3.6550781999999997,1.41526171875,27423.174015000004,50428.2195162,0.1380296
6200,3.7138416,1.369197265625,27369.4713422,50260.1941172,0.14000300000000002
6300,3.769442,1.4003554687500002,27311.9918368,50132.9935256,0.14304240000000001
6400,3.8286784,1.3479375,27269.607380399997,50154.79016700001,0.14358479999999998
6500,3.8899389999999996,1.2236757812499999,27260.727168999998,50199.077848400004,0.1436382
6600,3.9447594,1.1838320312500001,27220.5597582,50122.1793254,0.1448764
6700,3.9961919999999997,1.270470703125,27170.855682399997,49986.072466000005,0.1463992
6800,4.0494962,1.33082421875,27152.4124612,49958.788398,0.1481112
6900,4.1036026,1.3875019531250001,27128.190062600002,49878.3480888,0.1495222
7000,4.1687444,1.2637636718749998,27070.913041600004,49754.0920854,0.15102140000000003
7100,4.2238564,1.3236660156249997,26987.494780800003,49579.435582399994,0.1520388
7200,4.277463200000001,1.3589453125,26882.819289,49406.637499000004,0.15258980000000003
7300,4.332285199999999,1.40641015625,26802.7163956,49275.484530999995,0.153707
