n_samples,time,memory,MAE,RMSE,R2
100,0.021782799999999998,0.056537109375000005,1869.6976872,2139.4932022000003,-0.0977058
200,0.0403918,0.02388671875,1895.1336058000002,2138.7776462,-0.0509066
300,0.0580516,0.06910546875,1833.7208318,2094.7229460000003,-0.0399498
400,0.076072,0.076318359375,1819.142497,2078.0622226,-0.031850199999999995
500,0.0960768,0.0798203125,1792.9759559999998,2050.1962928000003,-0.022385799999999997
600,0.11447960000000001,0.085013671875,1811.7087796,2057.7084729999997,-0.0170048
700,0.13449299999999997,0.088171875,1813.2887758000002,2058.3455688000004,-0.0137602
800,0.1525506,0.08949609374999999,1811.5527886,2053.895037,-0.011336200000000001
900,0.1710022,0.0898515625,1816.469199,2055.1306904000003,-0.0089528
1000,0.1908804,0.07631054687500001,1829.4820412000001,2067.0057974,-0.0085408
1100,0.20991179999999998,0.08203125,1827.226894,2066.3306198,-0.0103074
1200,0.2282612,0.082482421875,1832.121588,2072.2561622000003,-0.0103994
1300,0.2468896,0.08475390624999998,1830.1815823999998,2070.0946000000004,-0.0092694
1400,0.2652078,0.09441992187499999,1815.0848144000004,2057.9707697999997,-0.0080134
1500,0.283477,0.095828125,1817.919455,2060.6697719999997,-0.0079858
1600,0.30249819999999994,0.094578125,1807.9842816,2052.2586149999997,-0.006579
1700,0.3213778,0.091916015625,1808.1445882,2052.3182372,-0.0078212
1800,0.3392838,0.09652148437500001,1805.9579134,2049.4131515999998,-0.00564
1900,0.3576738,0.101744140625,1796.1665944000001,2039.726989,-0.0042721999999999994
2000,0.37615260000000006,0.103587890625,1791.0451573999999,2034.6013242000001,-0.0024511999999999997
2100,0.3950108,0.10215820312499999,1782.0896269999998,2027.345897,-0.0022884
2200,0.41306619999999994,0.105837890625,1782.9502459999999,2027.3599552,-0.003297
2300,0.4313098,0.11059765625,1774.6696002,2020.1414644000001,-0.0015155999999999995
2400,0.45028500000000005,0.10875585937500001,1762.1169923999998,2008.5643234,9.019999999999992e-05
2500,0.468251,0.11012695312500001,1747.9943805999999,1995.607536,0.0036002000000000004
2600,0.48667419999999995,0.115912109375,1739.0445156,1986.2921374000002,0.0036580000000000002
2700,0.5051095999999999,0.11349609375,1734.7281624,1981.6049702,0.0038158
2800,0.5233378,0.11380078125,1732.7084919999998,1979.9382460000002,0.0029446
2900,0.54095,0.114302734375,1727.6603784,1974.7260356,0.0031831999999999997
3000,0.5587344,0.1146484375,1729.5020823999998,1976.2502112000002,0.0034954
3100,0.5764006,0.10985937500000001,1730.0242464000003,1977.1039700000001,0.0030216
3200,0.5942027999999999,0.110171875,1731.3392335999997,1979.3603248,0.0022760000000000002
3300,0.6118310000000001,0.11040625,1731.0492848,1978.8107946,0.0019831999999999996
3400,0.6290446000000001,0.11040625,1733.8563242,1981.6889802,0.0017405999999999997
3500,0.6463425999999999,0.11229101562500002,1735.1955125999998,1982.4786278,0.0011887999999999998
3600,0.6641556,0.11236718750000001,1733.6995310000002,1981.1115763999999,0.001356
3700,0.6816853999999999,0.115845703125,1731.5783158,1979.0909760000002,0.0023152
3800,0.6990386000000001,0.11626953124999999,1729.781028,1978.1452768,0.0027274
3900,0.7171216,0.115232421875,1732.0332922000002,1980.9914342,0.0029106
4000,0.7341342,0.115232421875,1731.816319,1981.4666863999998,0.0033824
4100,0.7513333999999999,0.1103828125,1730.8018932,1981.1156384,0.0036657999999999994
4200,0.7677744,0.11053125,1728.8513334,1979.5586470000003,0.0041906
4300,0.7839521999999999,0.11053125,1726.7792015999999,1977.9313398000002,0.0038469999999999997
4400,0.8004892,0.112234375,1728.0261444,1979.0043178,0.0039314
4500,0.8169603999999999,0.112421875,1729.2343494000002,1980.1398776,0.0036872000000000003
4600,0.8334147999999999,0.11600976562500001,1729.9045666000002,1980.9091368000002,0.0041253999999999996
4700,0.849689,0.11617773437500001,1729.3610836,1980.6580393999998,0.005316400000000001
4800,0.8660866,0.11804882812499999,1729.5984438,1981.0403412,0.0058498000000000005
4900,0.8824729999999998,0.1180546875,1730.7704534,1982.413266,0.0069711999999999994
5000,0.8988524,0.1180546875,1732.3756615999998,1983.814988,0.0073348
5100,0.9151656000000001,0.1180546875,1733.698586,1985.3958476,0.0070646
5200,0.9314768000000001,0.1180546875,1736.7257847999997,1988.3956483999998,0.0067134
5300,0.947837,0.1180546875,1735.2906902,1987.4186163999998,0.0068162
5400,0.9642010000000001,0.11813085937499998,1734.7404397999999,1987.3072227999996,0.006453400000000001
5500,0.9807658,0.12243750000000002,1737.3338866,1989.8335579999998,0.007211200000000001
5600,0.9979175999999998,0.121048828125,1739.832855,1992.7679768000003,0.006766599999999999
5700,1.0145108,0.1217265625,1742.1812213999997,1995.278612,0.0061142
5800,1.0311772000000001,0.12045312500000001,1742.2068754,1995.2930888000003,0.006141999999999999
5900,1.0479850000000002,0.12298046875000002,1743.9694188,1997.461909,0.0056890000000000005
6000,1.0651468,0.12227343750000001,1744.7105508,1998.7725404,0.0060983999999999995
6100,1.0822536,0.125935546875,1744.9365446,1999.2781738,0.0056048
6200,1.0994165999999999,0.12351953125000001,1746.8627196000002,2001.5444481999998,0.004547799999999999
6300,1.1165482,0.12376367187500001,1749.7535811999999,2004.3057875999998,0.0041076
6400,1.1336292000000001,0.127255859375,1749.1057666000002,2004.289663,0.0031812
6500,1.1507854,0.13086328125000002,1751.8618706000002,2006.7798626,0.0029509999999999996
6600,1.168282,0.13031640625000002,1751.7916416,2006.7997158000003,0.002913
6700,1.1858758,0.13932031250000002,1754.4919544,2009.4878132,0.0028637999999999997
6800,1.2032382,0.14361718750000002,1755.6624884,2010.9297602,0.0025474
6900,1.2208612,0.14842382812500002,1758.4371913999998,2013.3075238000001,0.0026018000000000005
7000,1.2388418,0.14063867187500004,1758.2988304000003,2013.4611225999997,0.0020756
7100,1.2559491999999999,0.141486328125,1760.7978304,2016.0294568000002,0.0012406000000000001
