n_samples,time,memory,MAE,RMSE,R2
100,0.05399919999999999,0.2661015625,0.021575399999999998,0.027985,-0.051500000000000004
200,0.11210880000000001,0.028828125,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.1760384,0.4835078125000001,0.0226274,0.028774999999999995,-0.019708200000000002
400,0.232447,0.49344140625,0.023021000000000003,0.029154999999999997,0.018275399999999997
500,0.2929724,0.548234375,0.0230486,0.029160600000000002,0.052005800000000005
600,0.35629,0.5774765625,0.023059600000000003,0.029187800000000003,0.0651832
700,0.41694319999999996,0.642103515625,0.0228694,0.0289366,0.07134299999999999
800,0.4854852,0.687828125,0.0231016,0.029090000000000005,0.0810198
900,0.5515746,0.8439589843749999,0.022842800000000003,0.028816800000000004,0.0914518
1000,0.6171234,0.9227695312499999,0.022795000000000003,0.0286606,0.0934496
1100,0.7045756,0.9751249999999999,0.0226374,0.028433999999999997,0.1034842
1200,0.7817966,1.15896875,0.022496000000000002,0.0282084,0.11753279999999999
1300,0.8551603999999999,1.238,0.0223968,0.0280464,0.1260192
1400,0.9321813999999999,1.286,0.022299000000000003,0.027913,0.125615
1500,1.008508,1.3119999999999998,0.022175999999999998,0.027741,0.12793459999999998
1600,1.0882078,1.2239999999999998,0.022146199999999998,0.027674400000000005,0.1269498
1700,1.167915,1.228,0.022059200000000004,0.0275362,0.1317672
1800,1.2421336,1.252,0.0220044,0.027448,0.1413052
1900,1.315542,1.33,0.0218738,0.0272748,0.15064840000000002
2000,1.3920356000000003,1.334,0.0218326,0.027190399999999997,0.1599222
2100,1.4743074,1.366,0.021707,0.027066200000000002,0.162333
2200,1.5497334,1.432,0.0216084,0.0269754,0.1692434
2300,1.6280173999999998,1.442,0.0215766,0.0269574,0.1769308
2400,1.7098520000000001,1.4540000000000002,0.021564,0.026930600000000006,0.1792718
2500,1.7936048,1.514,0.021504600000000002,0.026865,0.1816892
2600,1.8787434,1.512,0.021508,0.026851200000000002,0.1847158
2700,1.9666846,1.498,0.0214962,0.026823599999999996,0.18369039999999998
2800,2.0470908000000003,1.6179999999999999,0.021436,0.0267466,0.19098500000000002
2900,2.1281144,1.6640000000000001,0.021373999999999997,0.0266716,0.20002179999999997
3000,2.2105492,1.688,0.0212384,0.0265224,0.20692880000000002
3100,2.2928422,1.6960000000000002,0.0210894,0.0263704,0.21457120000000002
3200,2.3797276,1.6480000000000001,0.020989599999999997,0.0262608,0.2200856
3300,2.4641088,1.636,0.0208946,0.026162,0.2257186
3400,2.545266,1.6620000000000001,0.0208156,0.026068800000000003,0.2295382
3500,2.628607,1.6759999999999997,0.0207732,0.0260028,0.22976459999999999
3600,2.7140215999999997,1.698,0.0207718,0.025984,0.23192719999999997
3700,2.7965686,1.7280000000000002,0.0207568,0.025948,0.234822
3800,2.8808324,1.7280000000000002,0.020721800000000002,0.025892599999999998,0.23812439999999996
3900,2.9681392000000004,1.688,0.0206706,0.025814399999999998,0.243084
4000,3.0530394,1.7719999999999998,0.020599,0.025734200000000002,0.24740539999999997
4100,3.140124,1.7239999999999998,0.0205474,0.0256822,0.2511212
4200,3.2384354,1.704,0.020477000000000002,0.025601999999999996,0.25566159999999993
4300,3.3249844000000004,1.6940000000000002,0.0204318,0.0255388,0.2604108
4400,3.4112525999999996,1.7440000000000002,0.0203804,0.0254766,0.2636662
4500,3.496619,1.7759999999999998,0.0203344,0.025412199999999996,0.2664874
4600,3.5794539999999997,1.814,0.020301800000000002,0.025373800000000002,0.26974099999999995
4700,3.6685092,1.812,0.020281200000000003,0.0253486,0.27458020000000005
4800,3.7524178,1.83,0.0202068,0.025278799999999997,0.27830980000000005
4900,3.8364295999999998,1.844,0.0201568,0.0252222,0.28161959999999997
5000,3.9220302000000005,1.8519999999999999,0.020103199999999998,0.0251568,0.28469939999999994
5100,4.0078334,1.8760000000000001,0.0200448,0.0250878,0.2881444
5200,4.0966344,1.8379999999999999,0.0199992,0.0250278,0.2940874
5300,4.1822088,1.814,0.0199678,0.0249922,0.3010656
5400,4.2688918,1.8380000000000003,0.019939400000000003,0.0249564,0.3055084
5500,4.3555246,1.83,0.019913,0.0249236,0.3087044
5600,4.4404528,1.8719999999999999,0.019882,0.0248812,0.3133194
5700,4.5253802,1.888,0.0198544,0.0248448,0.3176556
5800,4.612641,1.8939999999999997,0.019847399999999998,0.024824999999999996,0.3188368
5900,4.700396,1.8559999999999999,0.019797199999999997,0.024769,0.32196600000000003
6000,4.7850222,1.86,0.0197506,0.0247146,0.3254186
6100,4.872941,1.8699999999999999,0.019701200000000002,0.0246568,0.32885719999999996
6200,4.9576844,1.8739999999999999,0.0196658,0.0246132,0.33167460000000004
6300,5.043661999999999,1.834,0.019617,0.0245546,0.333897
6400,5.1294004,1.8399999999999999,0.019577,0.024506800000000002,0.336166
6500,5.2126506,1.8439999999999999,0.019540199999999997,0.0244646,0.338146
6600,5.297521999999999,1.798,0.019502,0.0244186,0.3398756
6700,5.3826892,1.816,0.019462,0.024377799999999998,0.34177500000000005
6800,5.4653346,1.83,0.01943,0.0243366,0.34464940000000005
6900,5.5515292,1.798,0.019408,0.024308,0.34715280000000004
7000,5.6331114,1.8039999999999998,0.0193592,0.024255199999999998,0.3499314
7100,5.71702,1.716,0.019318,0.024210000000000002,0.35209999999999997
7200,5.7997038000000005,1.6299999999999997,0.0192832,0.0241742,0.3537794
7300,5.878097599999999,1.598,0.0192534,0.0241438,0.3568442
7400,5.956960199999999,1.518,0.0192204,0.024103000000000003,0.35976339999999996
7500,6.031915,1.548,0.019195999999999998,0.024071799999999997,0.3617194
7600,6.106320999999999,1.568,0.0191816,0.0240484,0.36462859999999997
7700,6.1810127999999995,1.5739999999999998,0.0191622,0.024029000000000002,0.3670592
7800,6.257031400000001,1.5819999999999999,0.0191262,0.0239896,0.3687686
7900,6.3331436000000005,1.584,0.019082,0.0239422,0.37113680000000004
8000,6.407959,1.5879999999999999,0.019047,0.023905799999999998,0.373895
8100,6.485761400000001,1.5939999999999999,0.0190152,0.0238682,0.3767838
