n_samples,time,memory,MAE,RMSE,R2
100,0.0884064,1.4759999999999998,0.021575399999999998,0.027985,-0.051500000000000004
200,0.4604286,0.028544921875,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.5417726,1.572,0.0220366,0.0279866,0.035475799999999995
400,0.6845498,2.876,0.0221378,0.0281044,0.087843
500,0.9617108,3.056,0.0223006,0.0281752,0.1149672
600,1.3853464,2.85,0.0223976,0.028328200000000005,0.11936639999999998
700,1.6948684,2.686,0.022121399999999996,0.028014,0.12944779999999997
800,1.9027418,3.4799999999999995,0.022171800000000002,0.0281202,0.141102
900,2.0988074,4.678,0.021889799999999997,0.027867799999999998,0.15021520000000002
1000,2.586293,3.44,0.021671199999999998,0.027637600000000002,0.15708799999999998
1100,2.8267302,4.29,0.021366200000000002,0.0272872,0.17434880000000003
1200,3.1949484000000004,4.102,0.0212204,0.0271034,0.1852292
1300,3.4446163999999997,4.914,0.0210024,0.026859,0.1984108
1400,3.7226592,5.6739999999999995,0.0207602,0.0265988,0.20590760000000002
1500,4.1333548,5.494,0.0205358,0.0263326,0.214167
1600,4.5453958,5.395999999999999,0.020379599999999998,0.026127799999999996,0.2216634
1700,4.797172,6.754,0.0201836,0.025906600000000002,0.2313032
1800,5.0980712,8.022,0.020014999999999998,0.0256974,0.24724340000000003
1900,5.473611,8.746,0.0197932,0.0254106,0.2626906
2000,5.9660896,9.006,0.019686200000000004,0.0252382,0.2760106
2100,6.433310799999999,9.250000000000002,0.0195592,0.025057999999999997,0.2819236
2200,6.922856399999999,9.508,0.019395600000000002,0.0248786,0.29319379999999995
2300,7.405423000000001,9.67,0.019226,0.0246764,0.3102048
2400,7.8757176,9.794,0.0190642,0.0244886,0.3212074
2500,8.3081278,10.302,0.0188852,0.0243002,0.3303138
2600,8.7942476,10.831999999999999,0.0187814,0.0241446,0.3406758
2700,9.3856158,11.024000000000001,0.0186378,0.0239844,0.34716040000000004
2800,9.813766,12.012,0.0184852,0.023808999999999997,0.35876620000000004
2900,10.617750599999999,11.185999999999998,0.018351,0.023642600000000003,0.37128700000000003
3000,11.3119908,10.389999999999999,0.0181692,0.0234416,0.3803192
3100,11.802305,10.95,0.0180302,0.023275,0.38796780000000003
3200,12.3084102,11.496,0.017915000000000004,0.023134599999999998,0.3945804
3300,13.3626944,8.941999999999998,0.017795200000000004,0.022995599999999998,0.4017264
3400,13.753724,9.47,0.017651,0.022825400000000003,0.4092180000000001
3500,14.2300892,10.006,0.017542,0.022687999999999996,0.41349739999999996
3600,14.719053399999998,9.966,0.017433200000000003,0.0225546,0.4212064
