n_samples,time,memory,MAE,RMSE,R2
100,0.0300126,0.0834609375,0.8226522,1.1614542,-0.4037146
200,0.057916800000000004,0.037658203125,0.7698094,1.0336698,-0.2244774
300,0.08471240000000001,0.119134765625,0.7432956000000001,0.9997804,-0.16406939999999998
400,0.1104668,0.11378124999999999,0.7413944,0.9866455999999999,-0.1253794
500,0.1385788,0.147580078125,0.736849,0.9798229999999999,-0.09531
600,0.16477879999999998,0.165728515625,0.7354786,0.9735745999999998,-0.0757902
700,0.1917106,0.17506640624999997,0.7273274,0.9584151999999999,-0.052768999999999996
800,0.21863420000000003,0.18531640625,0.7153916,0.9387383999999999,-0.029651
900,0.24602380000000004,0.187279296875,0.7082189999999999,0.9237138000000001,-0.012985
1000,0.27261900000000006,0.20556640625,0.7103902,0.9238396000000002,-0.004968
1100,0.301552,0.19939453124999998,0.711191,0.9211522000000001,0.004572999999999999
1200,0.32979780000000003,0.2151875,0.7100074,0.9176703999999999,0.0149198
1300,0.356914,0.24460156249999998,0.7107922,0.9180386,0.0187386
1400,0.3848914,0.253349609375,0.7072982,0.9125302,0.0275964
1500,0.4129506,0.261919921875,0.703445,0.9053974,0.0365292
1600,0.44093980000000005,0.26381249999999995,0.700287,0.8990718,0.0449332
1700,0.46959819999999997,0.2756171875,0.7015241999999999,0.8988533999999999,0.05351399999999999
1800,0.49794740000000004,0.284466796875,0.7005554,0.8955472,0.0615514
1900,0.5293460000000001,0.277005859375,0.7007492,0.8944604,0.06610619999999999
2000,0.5589148,0.30416796875,0.7006236,0.8925908,0.0723712
2100,0.5877934,0.30599609375000003,0.7002978,0.8911750000000002,0.0774096
2200,0.6163612,0.314427734375,0.7011529999999999,0.8920256000000002,0.0772116
2300,0.6458296000000001,0.310908203125,0.6988674,0.8889290000000001,0.0765754
2400,0.6767258,0.324646484375,0.697337,0.8859619999999999,0.0790642
2500,0.7063718,0.337107421875,0.6949318,0.8822692,0.0816362
2600,0.7361028000000001,0.35418359375,0.6948133999999999,0.8813978,0.08376259999999999
2700,0.7659686000000001,0.36380859375,0.6944768,0.8792275999999999,0.08678820000000001
2800,0.7960038,0.371529296875,0.6927284,0.877398,0.0870058
2900,0.826797,0.34504296875,0.6907832,0.8750028000000001,0.08954759999999999
3000,0.854954,0.34933398437499996,0.6900658,0.8737516,0.09232660000000001
3100,0.8842328,0.346580078125,0.6902584,0.8742394000000001,0.09220160000000001
3200,0.9128373999999999,0.35204296875,0.6893066000000001,0.8722286,0.0947436
3300,0.9429394,0.356345703125,0.6886363999999999,0.8708112,0.0962066
3400,0.9724012,0.35905078125,0.6890213999999999,0.8712964,0.0950508
3500,1.0006499999999998,0.365234375,0.6880016,0.8699014,0.09752960000000001
3600,1.0288564,0.37251953125000004,0.6852374,0.8667503999999999,0.0993072
3700,1.057611,0.36653906249999996,0.6829972,0.8648928,0.09962800000000001
3800,1.0866913999999999,0.349265625,0.6814734,0.864382,0.09902340000000001
3900,1.1137116,0.354826171875,0.6795118,0.8629822,0.0995808
4000,1.1414756000000001,0.348873046875,0.6782125999999999,0.8620125999999999,0.0994568
4100,1.1691554,0.3410703125,0.6763024,0.8600159999999999,0.100925
4200,1.1959621999999999,0.34299023437500004,0.6747672,0.8583170000000001,0.10171160000000001
4300,1.2233412,0.3420234375,0.6727755999999999,0.8560146,0.1032592
4400,1.2506304,0.338900390625,0.6708086,0.8536086,0.1054796
4500,1.2773808,0.3435078125,0.6683424,0.8505716,0.10720299999999998
4600,1.3043033999999998,0.33419140625,0.666612,0.8484674,0.1084444
4700,1.3306466000000001,0.33527343750000005,0.664278,0.8461290000000001,0.109425
4800,1.3574389999999998,0.32658398437499997,0.6619122000000001,0.8435106000000001,0.1099516
4900,1.3834946000000001,0.32833203125,0.6606949999999999,0.8420690000000001,0.1111638
5000,1.4109786,0.31597265625,0.6592704,0.8404422,0.1108268
5100,1.4366949999999998,0.324423828125,0.658488,0.8401084000000001,0.111918
5200,1.4633118,0.328466796875,0.6579767999999999,0.8396778000000001,0.11217300000000001
